"Plot Title: upstream_test"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20954780, SEN S/N: 20954780)","Temp, °C (LGR S/N: 20954780, SEN S/N: 20954780)","Coupler Detached (LGR S/N: 20954780)","Coupler Attached (LGR S/N: 20954780)","Host Connected (LGR S/N: 20954780)","Stopped (LGR S/N: 20954780)","End Of File (LGR S/N: 20954780)"
159,07/21/21 01:03:30 PM,44.4,7.22,,,,,
160,07/21/21 01:03:40 PM,44.8,7.22,,,,,
161,07/21/21 01:03:50 PM,44.4,7.21,,,,,
162,07/21/21 01:04:00 PM,44.4,7.22,,,,,
163,07/21/21 01:04:10 PM,44.4,7.22,,,,,
164,07/21/21 01:04:20 PM,44.4,7.22,,,,,
165,07/21/21 01:04:30 PM,44.4,7.22,,,,,
166,07/21/21 01:04:40 PM,44.4,7.22,,,,,
167,07/21/21 01:04:50 PM,44.4,7.22,,,,,
168,07/21/21 01:05:00 PM,44.4,7.22,,,,,
169,07/21/21 01:05:10 PM,44.8,7.22,,,,,
170,07/21/21 01:05:20 PM,44.4,7.22,,,,,
171,07/21/21 01:05:30 PM,44.4,7.21,,,,,
172,07/21/21 01:05:40 PM,44.8,7.22,,,,,
173,07/21/21 01:05:50 PM,44.4,7.23,,,,,
174,07/21/21 01:06:00 PM,44.8,7.23,,,,,
175,07/21/21 01:06:10 PM,44.8,7.23,,,,,
176,07/21/21 01:06:20 PM,44.8,7.23,,,,,
177,07/21/21 01:06:30 PM,44.8,7.25,,,,,
178,07/21/21 01:06:40 PM,44.8,7.25,,,,,
179,07/21/21 01:06:50 PM,44.4,7.23,,,,,
180,07/21/21 01:07:00 PM,44.8,7.25,,,,,
181,07/21/21 01:07:10 PM,44.8,7.23,,,,,
182,07/21/21 01:07:20 PM,44.8,7.23,,,,,
183,07/21/21 01:07:30 PM,44.8,7.25,,,,,
184,07/21/21 01:07:40 PM,44.8,7.25,,,,,
185,07/21/21 01:07:50 PM,44.8,7.23,,,,,
186,07/21/21 01:08:00 PM,44.8,7.23,,,,,
187,07/21/21 01:08:10 PM,44.8,7.25,,,,,
188,07/21/21 01:08:20 PM,44.8,7.25,,,,,
189,07/21/21 01:08:30 PM,44.8,7.25,,,,,
190,07/21/21 01:08:40 PM,44.8,7.25,,,,,
191,07/21/21 01:08:50 PM,44.8,7.25,,,,,
192,07/21/21 01:09:00 PM,44.8,7.25,,,,,
193,07/21/21 01:09:10 PM,44.8,7.25,,,,,
194,07/21/21 01:09:20 PM,44.8,7.25,,,,,
195,07/21/21 01:09:30 PM,44.8,7.25,,,,,
196,07/21/21 01:09:40 PM,44.8,7.25,,,,,
197,07/21/21 01:09:50 PM,44.8,7.23,,,,,
198,07/21/21 01:10:00 PM,44.8,7.25,,,,,
199,07/21/21 01:10:10 PM,44.8,7.26,,,,,
200,07/21/21 01:10:20 PM,44.8,7.26,,,,,
201,07/21/21 01:10:30 PM,44.8,7.25,,,,,
202,07/21/21 01:10:40 PM,44.8,7.25,,,,,
203,07/21/21 01:10:50 PM,44.8,7.26,,,,,
204,07/21/21 01:11:00 PM,44.8,7.25,,,,,
205,07/21/21 01:11:10 PM,44.8,7.25,,,,,
206,07/21/21 01:11:20 PM,44.8,7.26,,,,,
207,07/21/21 01:11:30 PM,45.2,7.25,,,,,
208,07/21/21 01:11:40 PM,44.8,7.25,,,,,
209,07/21/21 01:11:50 PM,44.8,7.26,,,,,
210,07/21/21 01:12:00 PM,44.8,7.26,,,,,
211,07/21/21 01:12:10 PM,44.8,7.26,,,,,
212,07/21/21 01:12:20 PM,44.8,7.26,,,,,
213,07/21/21 01:12:30 PM,44.8,7.25,,,,,
214,07/21/21 01:12:40 PM,44.8,7.25,,,,,
215,07/21/21 01:12:50 PM,44.8,7.26,,,,,
216,07/21/21 01:13:00 PM,44.8,7.26,,,,,
217,07/21/21 01:13:10 PM,44.8,7.25,,,,,
218,07/21/21 01:13:20 PM,44.8,7.26,,,,,
219,07/21/21 01:13:30 PM,44.8,7.25,,,,,
220,07/21/21 01:13:40 PM,44.4,7.25,,,,,
221,07/21/21 01:13:50 PM,44.8,7.26,,,,,
222,07/21/21 01:14:00 PM,44.8,7.26,,,,,
223,07/21/21 01:14:10 PM,44.4,7.23,,,,,
224,07/21/21 01:14:20 PM,44.4,7.23,,,,,
225,07/21/21 01:14:30 PM,44.4,7.25,,,,,
226,07/21/21 01:14:40 PM,44.4,7.25,,,,,
227,07/21/21 01:14:50 PM,44.4,7.25,,,,,
228,07/21/21 01:15:00 PM,44.4,7.23,,,,,
229,07/21/21 01:15:10 PM,44.4,7.23,,,,,
230,07/21/21 01:15:20 PM,44.4,7.25,,,,,
231,07/21/21 01:15:30 PM,44.4,7.23,,,,,
232,07/21/21 01:15:40 PM,44.0,7.23,,,,,
233,07/21/21 01:15:50 PM,44.0,7.23,,,,,
234,07/21/21 01:16:00 PM,44.0,7.23,,,,,
235,07/21/21 01:16:10 PM,44.0,7.23,,,,,
236,07/21/21 01:16:20 PM,44.0,7.23,,,,,
237,07/21/21 01:16:30 PM,44.0,7.25,,,,,
238,07/21/21 01:16:40 PM,44.0,7.23,,,,,
239,07/21/21 01:16:50 PM,44.0,7.23,,,,,
240,07/21/21 01:17:00 PM,44.0,7.23,,,,,
241,07/21/21 01:17:10 PM,44.0,7.23,,,,,
242,07/21/21 01:17:20 PM,44.0,7.23,,,,,
243,07/21/21 01:17:30 PM,44.4,7.23,,,,,
244,07/21/21 01:17:40 PM,44.4,7.25,,,,,
