Serial_number:
2020421
Project ID:

Location:

Station01
UNIT: kPa
Offset: 0,000000 kPa
TEMPERATURE
UNIT: °C
Date;Time;ms;Station01;TEMPERATURE
31 dic. 2021;14:15:00;0;63,9081;10,092
31 dic. 2021;14:30:00;0;63,8996;10,116
31 dic. 2021;14:45:00;0;63,8880;10,139
31 dic. 2021;15:00:00;0;63,8833;10,159
31 dic. 2021;15:15:00;0;63,8708;10,176
31 dic. 2021;15:30:00;0;63,8745;10,193
31 dic. 2021;15:45:00;0;63,8672;10,208
31 dic. 2021;16:00:00;0;63,8629;10,221
31 dic. 2021;16:15:00;0;63,8661;10,231
31 dic. 2021;16:30:00;0;63,8809;10,243
31 dic. 2021;16:45:00;0;63,8796;10,252
31 dic. 2021;17:00:00;0;63,8783;10,261
31 dic. 2021;17:15:00;0;63,8847;10,268
31 dic. 2021;17:30:00;0;63,8861;10,270
31 dic. 2021;17:45:00;0;63,8851;10,267
31 dic. 2021;18:00:00;0;63,8860;10,264
31 dic. 2021;18:15:00;0;63,8969;10,257
31 dic. 2021;18:30:00;0;63,9102;10,246
31 dic. 2021;18:45:00;0;63,9063;10,230
31 dic. 2021;19:00:00;0;63,9241;10,216
31 dic. 2021;19:15:00;0;63,9339;10,203
31 dic. 2021;19:30:00;0;63,9423;10,188
31 dic. 2021;19:45:00;0;63,9610;10,171
31 dic. 2021;20:00:00;0;63,9849;10,153
31 dic. 2021;20:15:00;0;64,0107;10,135
31 dic. 2021;20:30:00;0;64,0224;10,117
31 dic. 2021;20:45:00;0;64,0324;10,100
31 dic. 2021;21:00:00;0;64,0416;10,083
31 dic. 2021;21:15:00;0;64,0459;10,072
31 dic. 2021;21:30:00;0;64,0513;10,058
31 dic. 2021;21:45:00;0;64,0563;10,046
31 dic. 2021;22:00:00;0;64,0624;10,030
31 dic. 2021;22:15:00;0;64,0632;10,015
31 dic. 2021;22:30:00;0;64,0734;10,001
31 dic. 2021;22:45:00;0;64,0698;9,984
31 dic. 2021;23:00:00;0;64,0662;9,963
31 dic. 2021;23:15:00;0;64,0613;9,948
31 dic. 2021;23:30:00;0;64,0618;9,930
31 dic. 2021;23:45:00;0;64,0465;9,915
1 ene. 2022;00:00:00;0;64,0374;9,910
1 ene. 2022;00:15:00;0;64,0217;9,901
1 ene. 2022;00:30:00;0;64,0102;9,880
1 ene. 2022;00:45:00;0;63,9934;9,862
1 ene. 2022;01:00:00;0;63,9874;9,851
1 ene. 2022;01:15:00;0;63,9737;9,839
1 ene. 2022;01:30:00;0;63,9639;9,823
1 ene. 2022;01:45:00;0;63,9499;9,812
1 ene. 2022;02:00:00;0;63,9372;9,800
