Weland,Lat,Lon,Date,EOS_no,Flux_ave,CO2_ppm_ave,Tract,Point,Tract_2,Point_2,Notes
GAVI,-78.20155,-0.33135,6/22/2021,EOS_2,0.1,709.1,1,7,3,7,"Large Trib, enters Gavi, river left"
GAVI,-78.201535,-0.331484,6/23/2021,EOS_2,0.03,164.9307018,2,8,3,8,"Large Trib, enters Gavi, river left"
GAVI,-78.201437,-0.331227,6/23/2021,EOS_2,0.655,510.6833929,2,9,3,9,"Large Trib, enters Gavi, river left"
GAVI,-78.202139,-0.331147,6/23/2021,EOS_2,0.855,927.1016071,2,10,3,10,"Large Trib, enters Gavi, river left"
GAVI,-78.201066,-0.331125,6/23/2021,EOS_2,0.415,2247.595,2,11,3,11,"Large Trib, enters Gavi, river left"
GAVI,-78.20317,-0.3312167,6/23/2021,EOS_1,2.28,924.7272727,1,1,4,1,"Large Trib enters below station 4, runs toward wetland below refuge"
GAVI,-78.20313,-0.3309667,6/23/2021,EOS_1,2.59,961.5535714,1,2,4,2,"Large Trib enters below station 4, runs toward wetland below refuge"
GAVI,-78.203133,-0.3307,6/23/2021,EOS_1,0.5,1329.339286,1,3,4,3,"Large Trib enters below station 4, runs toward wetland below refuge"
GAVI,-78.20308,-0.3305667,6/23/2021,EOS_1,0.655,2277.490909,1,4,4,4,"Large Trib enters below station 4, runs toward wetland below refuge"
GAVI,-78.20243,-0.3306333,6/23/2021,EOS_1,0.29,1898.196429,2,1,5,1,"Small Trib, enters mainstem btw point 9, EOS1 6/22 and point 14 EOS1 6/18"
GAVI,-78.20242,-0.3305333,6/23/2021,EOS_1,0.945,1685.892857,2,2,5,2,"Small Trib, enters mainstem btw point 9, EOS1 6/22 and point 14 EOS1 6/18"
GAVI,-78.202417,-0.3304667,6/23/2021,EOS_1,0.65,3530.660714,2,3,5,3,"Small Trib, enters mainstem btw point 9, EOS1 6/22 and point 14 EOS1 6/18"
GAVI,-78.202267,-0.3305,6/23/2021,EOS_1,1.335,3189.736842,3,1,6,1,"Small Trib from small weland above station, enters mainstem above point 14, 6/18"
GAVI,-78.20215,-0.3301833,6/23/2021,EOS_1,0.68,1541.947368,3,2,6,2,"Small Trib from small weland above station, enters mainstem above point 14, 6/18"
GAVI,-78.202,-0.33,6/23/2021,EOS_1,1.34,1601.333333,3,3,6,3,"Small Trib from small weland above station, enters mainstem above point 14, 6/18"
GAVI,-78.201933,-0.3298,6/23/2021,EOS_1,0.82,1711.410714,3,4,6,4,"Small Trib from small weland above station, enters mainstem above point 14, 6/18"
GAVI,-78.20195,-0.3295833,6/23/2021,EOS_1,0.585,1280.857143,3,5,6,5,"Small Trib from small weland above station, enters mainstem above point 14, 6/18"
GAVI,-78.201917,-0.3294667,6/23/2021,EOS_1,1.015,2987.607143,3,6,6,6,"Small Trib from small weland above station, enters mainstem above point 14, 6/18"
GAVI,-78.201867,-0.3293,6/23/2021,EOS_1,0.93,1258,3,7,6,7,"Small Trib from small weland above station, enters mainstem above point 14, 6/18"
GAVI,-78.20174005,-0.329199666,6/29/2021,EOS_1,0.345,1350.39,1,1,6,8,"Small Trib from small weland above station, enters mainstem above point 14, 6/18"
GAVI,-78.20160217,-0.329128001,6/29/2021,EOS_1,1.15,4886.8135,1,2,6,9,"Small Trib from small weland above station, enters mainstem above point 14, 6/18"
GAVI,-78.20158934,-0.328979306,6/29/2021,EOS_1,0.205,660.3868333,1,3,6,10,"Small Trib from small weland above station, enters mainstem above point 14, 6/18"
GAVI,-78.20154274,-0.328833461,6/29/2021,EOS_1,3.005,10000,1,4,6,11,"Small Trib from small weland above station, enters mainstem above point 14, 6/18"
GAVI,-78.20153184,-0.328469351,6/29/2021,EOS_1,1.26,2010.397333,1,5,6,12,"Small Trib from small weland above station, enters mainstem above point 14, 6/18"
GAVI,-78.20156755,-0.328423753,6/29/2021,EOS_1,1.675,10000,1,6,6,13,"Small Trib from small weland above station, enters mainstem above point 14, 6/18"
GAVI,-78.20075509,-0.3273167,6/29/2021,EOS_1,0.905,2151.687333,2,1,7,1,"small trib, enters GAVI arriba"
GAVI,-78.20096212,-0.327123804,6/29/2021,EOS_1,0.105,906.3513333,2,2,7,2,"small trib, enters GAVI arriba"
GAVI,-78.20113211,-0.326919369,6/29/2021,EOS_1,1.1,2462.460333,2,3,7,3,"small trib, enters GAVI arriba"
GAVI,-78.202139,-0.331269,6/23/2021,EOS_2,0.05,998.3789286,3,1,8,1,"Smallish trib, goes From "
GAVI,-78.202035,-0.331034,6/23/2021,EOS_2,0.525,1204.744464,3,2,8,2,trib?
GAVI,-78.201913,-0.3309,6/23/2021,EOS_2,0.265,1517.340357,3,3,8,3,trib?
GAVI,-78.201894,-0.330688,6/23/2021,EOS_2,0.39,1016.89,3,4,8,4,trib?
GAVI,-78.201689,-0.330559,6/23/2021,EOS_2,0.21,1351.190357,3,5,8,5,trib?
GAVI,-78.201754,-0.330225,6/23/2021,EOS_2,0.515,2584.641429,3,6,8,6,trib?
GAVI,-78.201696,-0.330142,6/23/2021,EOS_2,2.165,1332.430877,4,1,9,1,This trib is a side channel that branches from mainstem of GAVI and then enters track 3 somewhere… I think?
GAVI,-78.201568,-0.329992,6/23/2021,EOS_2,2.34,2757.379643,4,2,9,2,This trib is a side channel that branches from mainstem of GAVI and then enters track 3 somewhere… I think?
GAVI,-78.201497,-0.329797,6/23/2021,EOS_2,0.58,3597.036429,4,3,9,3,This trib is a side channel that branches from mainstem of GAVI and then enters track 3 somewhere… I think?
GAVI,-78.201389,-0.33,6/23/2021,EOS_2,3.765,3996.965,4,4,9,4,This trib is a side channel that branches from mainstem of GAVI and then enters track 3 somewhere… I think?
GAVI,-78.20314,-0.32817,6/29/2021,EOS_2,3.7,3776.495798,6,4,9,5,This trib is a side channel that branches from mainstem of GAVI and then enters track 3 somewhere… I think?
GAVI,-78.20116,-0.32943,6/29/2021,EOS_2,6.45,11244.3,6,5,9,6,This trib is a side channel that branches from mainstem of GAVI and then enters track 3 somewhere… I think?
GAVI,-78.19978,-0.32605,6/29/2021,EOS_2,0.61,607.0784884,7,2,10,1,"Mainstem, above GAVI arriba, where inlination starts"
GAVI,-78.19968,-0.32562,6/29/2021,EOS_2,0.16,218.4488136,7,3,10,2,"Mainstem, above GAVI arriba, where inlination starts"
GAVI,-78.19969,-0.32574,6/29/2021,EOS_2,1.91,NA,7,1,10,3,"Mainstem, above GAVI arriba, where inlination starts"
GAVI,-78.19968,-0.32535,6/29/2021,EOS_2,0.54,401.7448598,7,4,10,4,"Mainstem, above GAVI arriba, where inlination starts"
GAVI,-78.19962,-0.3251,6/29/2021,EOS_2,0.105,488.0076336,7,5,10,5,"Mainstem, above GAVI arriba, where inlination starts"
GAVI,-78.19962,-0.32482,6/29/2021,EOS_2,2.605,417.4536752,7,6,10,6,"Mainstem, above GAVI arriba, where inlination starts"
GAVI,-78.19959,-0.32436,6/29/2021,EOS_2,1.22,615.4989744,7,7,10,7,"Mainstem, above GAVI arriba, where inlination starts"
GAVI,-78.19986,-0.3261,6/30/2021,EOS_2,0.43,521.4201681,7,8,10,8,"Mainstem, above GAVI arriba, where inlination starts"
GAVI,-78.19987,-0.32634,6/30/2021,EOS_2,0.145,535.2198582,7,9,10,9,"Mainstem, above GAVI arriba, where inlination starts"
GAVI,-78.19971,-0.32578,6/30/2021,EOS_2,0.09,627.3978495,7,10,10,10,"Mainstem, above GAVI arriba, where inlination starts"
GAVI,-78.19979,-0.32539,6/30/2021,EOS_2,0.015,372.8846154,7,11,10,11,"Mainstem, above GAVI arriba, where inlination starts, below waterfall, very turbulent"
GAVI,-78.19988,-0.32504,6/30/2021,EOS_2,0.295,414.1914894,7,12,10,12,"Mainstem, above GAVI arriba, where inlination starts"
GAVI,-78.19965,-0.32467,6/30/2021,EOS_2,0.235,519.6016949,7,13,10,13,"Mainstem, above GAVI arriba, where inlination starts"
GAVI,-78.19962,-0.32421,6/30/2021,EOS_2,0.09,373.5968992,7,14,10,14,"Mainstem, above GAVI arriba, where inlination starts"
GAVI,-78.20093,-0.3271833,6/30/2021,EOS_1,0.255,500.774,1,1,11,1,Little trib entering main GAVI
GAVI,-78.20068,-0.3270833,6/30/2021,EOS_1,0.465,854.5613333,2,1,12,1,Little trib entering main GAVI
GAVI,-78.20078,-0.3269833,6/30/2021,EOS_1,0.105,772.6536667,2,2,12,2,Little trib entering main GAVI
GAVI,-78.20095,-0.3268667,6/30/2021,EOS_1,0.155,749.0935,2,3,12,3,Little trib entering main GAVI
GAVI,-78.19983,-0.3263833,6/30/2021,EOS_1,0.075,426.6018333,4,1,13,1,"Little trib entering main GAVI, almost certain this is water from after the watefall"
GAVI,-78.1998,-0.32645,6/30/2021,EOS_1,0.395,273.1031667,4,2,13,2,"Little trib entering main GAVI, almost certain this is water from after the watefall"
GAVI,-78.19957,-0.3265667,6/30/2021,EOS_1,0.225,437.2266667,4,3,13,3,"Little trib entering main GAVI, almost certain this is water from after the watefall"
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"ADD Point of convergence, below station 4"
