Wetland,x,w,d,notes,,Waypoint,lat,lon,ele,time,x_new,,,,,
ANTE,265,30,14,,,65,-0.315990038,-78.19266697,4303.527344,2021-07-12T17:14:25Z,195,,,,,
ANTE,270,12,15,,,,,,,,190,,,,,
ANTE,275,57,6,,,,,,,,185,,,,,
ANTE,280,71,3,,,,,,,,180,,,,,
ANTE,282,NA,NA,,,66,-0.316130016,-78.19260797,4303.749023,2021-07-12T17:17:57Z,178,,,,,
ANTE,285,79,26,,,,,,,,175,,,,,
ANTE,290,41,10,,,,,,,,170,,,,,
ANTE,295,48,13,,,,,,,,165,,,,,
ANTE,300,20,4,,,,,,,,160,,,,,
ANTE,305,50,14,,,,,,,,155,,,,,
ANTE,310,67,10,,,,,,,,150,,,,,
ANTE,315,160,30,,,67,-0.316223977,-78.19237696,4311.739746,2021-07-12T17:22:02Z,145,,,,,
ANTE,316,NA,NA,waterfall 167 cm,,,,,,,144,,,,,
ANTE,320,105,8,,,,,,,,140,,,,,
ANTE,325,35,14,,,,,,,,135,,,,,
ANTE,330,22,5,,,,,,,,130,,,,,
ANTE,332,NA,NA,wetland outlet,,68,-0.316374013,-78.19233103,4312.38623,2021-07-12T17:27:43Z,128,,,,,
ANTE,335,240,8,,,,,,,,125,,,,,
ANTE,340,250,7,,,,,,,,120,,,,,
ANTE,345,20,11,"wetland inlet, little waterfalls",,69,-0.316407038,-78.19220102,4308.109863,2021-07-12T17:30:53Z,115,,,,,
ANTE,350,42,7,wetland outlet,,,,,,,110,,,,,
ANTE,355,29,19,,,,,,,,105,,,,,
ANTE,360,16,15,,,,,,,,100,,,,,
ANTE,365,40,22,,,70,-0.316552967,-78.19215903,4316.330078,2021-07-12T17:33:51Z,95,,,,,
ANTE,410,NA,NA,synop ?,,71,-0.317031993,-78.19220698,4312.292969,2021-07-12T17:39:36Z,50,,,,,
ANTE,416,NA,NA,"wetland inlet, little waterfalls",,72,-0.317078009,-78.19220597,4313.82373,2021-07-12T17:40:36Z,44,W1 = 13 cm,W2 = 13 cm,d = 3 cm,v= .11 cm,0.000429
ANTE,420,26,5,,,,,,,,40,,,,,
ANTE,425,17,8,,,,,,,,35,,,,,
ANTE,430,16,11,,,,,,,,30,,,,,
ANTE,435,32,4,,,,,,,,25,,,,,
ANTE,440,23,5,,,,,,,,20,,,,,
ANTE,445,54,4,,,,,,,,15,,,,,
ANTE,450,22,3,,,,,,,,10,,,,,
ANTE,455,13,2,,,73,-0.317448992,-78.19215601,4324.983887,2021-07-12T17:46:40Z,5,,,,,
ANTE,460,10,3,,,74,-0.317504983,-78.19215501,4322.055664,2021-07-12T17:47:22Z,0,,,,,
