OBJECTID,pointid,grid_code,RASTERVALU
1542,1542,4108.333984,4108.333984
1543,1543,4108.274414,4108.274414
1544,1544,4108.283203,4108.283203
1545,1545,4108.296387,4108.296387
1546,1546,4108.287109,4108.287109
1547,1547,4108.283203,4108.283203
1548,1548,4108.287109,4108.287109
1549,1549,4108.296387,4108.296387
1550,1550,4108.252441,4108.252441
1551,1551,4108.26709,4108.26709
1552,1552,4108.240723,4108.240723
1553,1553,4108.240234,4108.240234
1554,1554,4108.240723,4108.240723
1555,1555,4108.23584,4108.23584
1556,1556,4108.242676,4108.242676
1557,1557,4108.240723,4108.240723
1558,1558,4108.253906,4108.253906
1559,1559,4108.249512,4108.249512
1560,1560,4108.262695,4108.262695
1561,1561,4108.258301,4108.258301
1562,1562,4108.277832,4108.277832
1563,1563,4108.269043,4108.269043
1564,1564,4108.260742,4108.260742
1565,1565,4108.278809,4108.278809
1566,1566,4108.274902,4108.274902
1567,1567,4108.288086,4108.288086
1568,1568,4108.277832,4108.277832
1569,1569,4108.306152,4108.306152
1570,1570,4108.283203,4108.283203
1571,1571,4108.318359,4108.318359
1572,1572,4108.291016,4108.291016
1573,1573,4108.374023,4108.374023
1574,1574,4108.314941,4108.314941
1575,1575,4108.410645,4108.410645
1576,1576,4108.357422,4108.357422
1577,1577,4108.41748,4108.41748
1578,1578,4108.390625,4108.390625
1579,1579,4108.437988,4108.437988
1580,1580,4108.399902,4108.399902
1581,1581,4108.437988,4108.437988
1582,1582,4108.437988,4108.437988
1583,1583,4108.410645,4108.410645
1584,1584,4108.437988,4108.437988
1585,1585,4108.41748,4108.41748
1586,1586,4108.140137,4108.140137
1587,1587,4108.140137,4108.140137
1588,1588,4107.929199,4107.929199
1589,1589,4107.933594,4107.933594
1590,1590,4107.92334,4107.92334
1591,1591,4107.913086,4107.913086
1592,1592,4107.915039,4107.915039
1593,1593,4107.911621,4107.911621
1594,1594,4107.912109,4107.912109
1595,1595,4107.911621,4107.911621
1596,1596,4107.892578,4107.892578
1597,1597,4107.904785,4107.904785
1598,1598,4107.856934,4107.856934
1599,1599,4107.870605,4107.870605
1600,1600,4107.822266,4107.822266
1601,1601,4107.835938,4107.835938
1602,1602,4107.745605,4107.745605
1603,1603,4107.745605,4107.745605
1604,1604,4107.683594,4107.683594
1605,1605,4107.614746,4107.614746
1606,1606,4107.65918,4107.65918
1607,1607,4107.577148,4107.577148
1608,1608,4107.612793,4107.612793
