"","lat_fit","lon_fit","ele_fit","dist","Date","Point","Flux_ave","CO2_ppm_ave","adjusted_ppm","DOC","TDN","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","VaisalaType","EOS_no"
"1168",-0.330500993153572,-78.2022627957739,4077.06641714089,345.85571563371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1169",-0.330499993153572,-78.2022614157098,4077.08093286246,345.665997901346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1170",-0.330498993153572,-78.2022600345733,4077.09535544744,345.476183499232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1171",-0.330497993153572,-78.2022586523654,4077.10968263212,345.286272473843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1172",-0.330496993153572,-78.2022572690868,4077.12391214631,345.096264872885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1173",-0.330495993153572,-78.2022558847383,4077.13804171306,344.906160748774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1174",-0.330494993153572,-78.202254499321,4077.15206904906,344.71596015285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1175",-0.330493993153572,-78.2022531128356,4077.16599186397,344.525663145771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1176",-0.330492993153572,-78.2022517252831,4077.17980786109,344.335269787131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1177",-0.330491993153572,-78.2022503366646,4077.19351473684,344.144780143541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1178",-0.330490993153572,-78.202248946981,4077.20711018193,343.954194272517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1179",-0.330489993153572,-78.2022475562334,4077.22059187895,343.763512255824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1180",-0.330488993153572,-78.2022461644229,4077.23395750548,343.572734155804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1181",-0.330487993153572,-78.2022447715505,4077.2472047314,343.381860054452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1182",-0.330486993153572,-78.2022433776175,4077.26033122069,343.190890026992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1183",-0.330485993153572,-78.202241982625,4077.27333463029,342.999824159108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1184",-0.330484993153572,-78.2022405865742,4077.28621261107,342.808662532017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1185",-0.330483993153572,-78.2022391894663,4077.29896280724,342.617405232796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1186",-0.330482993153572,-78.2022377913027,4077.31158285618,342.426052355573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1187",-0.330481993153572,-78.2022363920846,4077.32407038945,342.234603987676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1188",-0.330480993153572,-78.2022349918134,4077.33642303102,342.043060236159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1189",-0.330479993153572,-78.2022335904903,4077.34863839984,341.851421188604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1190",-0.330478993153572,-78.2022321881169,4077.36071410712,341.659686955788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1191",-0.330477993153572,-78.2022307846946,4077.37264775831,341.467857640538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1192",-0.330476993153572,-78.2022293802248,4077.38443695207,341.275933355058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1193",-0.330475993153572,-78.202227974709,4077.39607928128,341.083914203595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1194",-0.330474993153572,-78.2022265681487,4077.40757233179,340.891800304399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1195",-0.330473993153572,-78.2022251605456,4077.41891368297,340.699591780453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1196",-0.330472993153572,-78.2022237519011,4077.43010090848,340.507288746825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1197",-0.330471993153572,-78.2022223422169,4077.44113157534,340.31489132679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1198",-0.330470993153572,-78.2022209314947,4077.45199185441,340.122399642622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1199",-0.330469993153572,-78.2022195197361,4077.46267009107,339.929813834061,"2021-06-18",13,0.505,1339.76307692308,1485.95788990062,NA,NA,7.67625,62.4765,7.817,627.2534,"new","EOS1"
"1200",-0.330468993153572,-78.2022181069428,4077.47316711334,339.737134030609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1201",-0.330467993153572,-78.2022166931167,4077.48348375257,339.544360366525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1202",-0.330466993153572,-78.2022152782594,4077.49362084376,339.351492976231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1203",-0.330465993153572,-78.2022138623728,4077.50357922493,339.15853200585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1204",-0.330464993153572,-78.2022124454587,4077.51335973795,338.965477598204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1205",-0.330463993153572,-78.2022110275189,4077.52296322792,338.772329904355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1206",-0.330462993153572,-78.2022096085555,4077.53239054397,338.579089068589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1207",-0.330461993153572,-78.2022081885702,4077.5416425383,338.385755246916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1208",-0.330460993153572,-78.2022067675651,4077.55072006688,338.192328594345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1209",-0.330459993153572,-78.2022053455422,4077.55962398896,337.998809274164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1210",-0.330458993153572,-78.2022039225034,4077.56835516766,337.805197446334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
