lat_fit,lon_fit,ele_fit,x_pred,ele_arcpro,x,d,w,date,Flux_ave,adjusted_ppm,DOC,TDN,AirTemp_c,Total_hPa,VaisalaType,EOS_no,notes,dist_diff_middle,ele_diff_mid,slope_mid,dist_diff_up,ele_diff_mid,slope_up,Q_m_s,WaterTemp_c,cathment_pixel,catchment_ha
-0.342074411,-78.19867324,3931.062159,282.427916,3931.770264,290,100,40,,NA,NA,,,,,,,,,,,,,,,,116518,104.8662
-0.342136411,-78.19860841,3930.669343,292.4179264,3931.503662,300,29,46,44384,0.625,1011.31155,,,6.872,625.9294,old,EOS_2,syn 7,20.6672409,-0.351319,0.016998834,19.9800208,-0.929688,0.046530882,,7.882,117029,105.3261
-0.342143411,-78.19860107,3930.625095,293.4856495,3931.503662,301,NA,NA,,NA,NA,,,,,,,little trib come in,,,,,,,,,117029,105.3261
-0.342201411,-78.19853818,3930.256991,303.0951569,3931.418945,310,72,62,,NA,NA,,,,,,,,,,,,,,,,117176,105.4584
-0.342261411,-78.19846347,3929.875136,313.7723873,3931.287598,320,96,64,,NA,NA,,,,,,,,,,,,,,,,117257,105.5313
-0.342314411,-78.19838358,3929.554782,324.4496177,3930.820801,330,51,30,,NA,NA,,,,,,,,,,,,,,,,117292,105.5628
-0.342352411,-78.19831724,3929.358948,332.9914021,3930.222168,338,NA,NA,,NA,NA,,,,,,,"lots of wetland planTs in river, then water spreads out wide, lots of sixta, but still a channel runs through",,,,,,,,,117303,105.5727
-0.342361411,-78.19830049,3929.317228,335.1268482,3930.051025,340,42,80,,NA,NA,,,,,,,,,,,,,,,,117371,105.6339
-0.342405411,-78.19821444,3929.133973,345.8040786,3929.794678,350,107,50,,NA,NA,,,,,,,syn 8,,,,,,,,,117916,106.1244
-0.342443411,-78.19813696,3928.991438,355.3804133,3929.671143,360,80,30,,NA,NA,,,,,,,,,,,,,,,,118062,106.2558
-0.342447411,-78.1981288,3928.978877,356.3380468,3929.671143,361,NA,NA,,NA,NA,,,,,,,inflow of small lake,,,,,,,,,118062,106.2558
-0.342481411,-78.1980604,3928.92821,364.956748,3929.55127,370,NA,NA,,NA,NA,,,,,,,no channel,,,,,,,,,118267,106.4403
-0.342521411,-78.197985,3928.957834,374.5330827,3929.471191,380,70,400,,NA,NA,,,,,,,,,,,,,,,,119827,107.8443
-0.342566411,-78.19791141,3929.033885,384.1094174,3929.425537,390,30,70,,NA,NA,,,,,,,,,,,,,,,,184350,165.915
-0.342597411,-78.1978696,3929.081848,389.8552182,3929.425537,396,NA,NA,,NA,NA,,,,,,,outflow of small lake,,,,,,,,,184507,166.0563
-0.342620411,-78.19784369,3929.108069,393.6857521,3929.425537,400,71,140,,NA,NA,,,,,,,,,,,,,,,,184539,166.0851
-0.342624411,-78.19783963,3929.111674,394.3199652,3929.425537,,,,44384,2.45,1273.369103,,,6.873,625.5694,old,EOS_2,,21.8485425,-0.193115,0.008838805,19.7868825,-0.045654,0.002307286,,8.0325,184539,166.0851
-0.342663411,-78.19780683,3929.131746,399.9920551,3929.425537,407,NA,NA,,NA,NA,,,,,,,channel spreads into wetland,,,,,,,,,184543,166.0887
-0.342684411,-78.19779388,3929.131643,402.6947564,3929.419189,410,55,170,,NA,NA,,,,,,,,,,,,,,,,184548,166.0932
-0.342760411,-78.19776789,3929.081517,411.7037607,3929.232422,420,22,140,,NA,NA,,,,,,,,,,,,,,,,184609,166.1481
-0.342840411,-78.19775714,3929.030204,420.7127649,3928.985352,430,80,170,,NA,NA,,,,,,,,,,,,,,,,184757,166.2813
-0.342920411,-78.19774444,3928.986154,429.7217692,3928.959473,440,69,90,,NA,NA,,,,,,,,,,,,,,,,184897,166.4073
-0.342959411,-78.19773617,3928.962777,434.2262713,3928.959473,445,NA,NA,44384,0.485,1055.136888,,,6.872,625.7914,new,EOS_1,syn 9,18.7166115,0,0,22.5225106,-0.272949,0.012118942,,7.983,184898,166.4082
-0.342974411,-78.19773291,3928.952947,435.8891252,3928.959473,,,,44384,2.08,1384.809342,,,6.875,625.6154,new,EOS_1,,18.7166115,0,0,24.1853645,-0.272949,0.01128571,,7.983,184958,166.4622
-0.342999411,-78.19772783,3928.935206,438.7307735,3928.959473,450,85,130,,NA,NA,,,,,,,,,,,,,,,,184958,166.4622
-0.343086411,-78.19772039,3928.85519,448.4383807,3928.959473,460,25,50,,NA,NA,,,,,,,,,,,,,,,,188460,169.614
-0.343170411,-78.1977415,3928.732243,458.1459879,3928.885986,470,23,54,,NA,NA,,,,,,,,,,,,,,,,188469,169.6221
-0.343244411,-78.19778552,3928.550072,467.8535951,3928.735107,480,32,23,,NA,NA,,,,,,,Wetland drains and becomes turbulent,,,,,,,,,188613,169.7517
-0.343313411,-78.19783968,3928.279901,477.5612023,3928.168945,490,16,40,,NA,NA,,,,,,,,,,,,,,,,188632,169.7688
-0.343381411,-78.19789407,3927.929547,487.2688095,3927.251953,500,14,75,,NA,NA,,,,,,,syn 10,,,,,,,,,188675,169.8075
-0.343413411,-78.1979178,3927.750997,491.7076347,3926.946533,,,,44384,2.31,1250.423056,,,6.875,625.6154,old,EOS_2,,19.2103751,-1.204101,0.062679724,14.1464324,-1.222412,0.086411327,,8.182,188690,169.821
-0.343451411,-78.19794362,3927.536654,496.8739971,3926.683594,510,90,80,,NA,NA,,,,,,,,,,,,,,,,188691,169.8219
-0.343525411,-78.19798824,3927.12514,506.4791846,3926.047852,520,40,31,,NA,NA,,,,,,,,,,,,,,,,188693,169.8237
-0.343599411,-78.19803355,3926.729032,516.0843722,3925.167725,530,82,90,,NA,NA,,,,,,,,,,,,,,,,189584,170.6256
-0.343659411,-78.19807668,3926.430387,524.3889457,3924.699707,,,,44384,2.105,1019.784908,,,6.877,625.5754,new,EOS_1,,19.2103751,-0.810059,0.042167787,17.9097611,-1.348145,0.075274315,,8.182,189587,170.6283
-0.343668411,-78.19808396,3926.388273,525.6895598,3924.699707,540,56,73,,NA,NA,,,,,,,,,,,,,,,,189587,170.6283
-0.343733411,-78.19814063,3926.102649,535.2947473,3924.357666,550,37,72,,NA,NA,,,,,,,,,,,,,,,,189589,170.6301
-0.343762411,-78.19816773,3925.97816,539.6931612,3923.982178,560,55,41,,NA,NA,,,,,,,,,,,,,,,,190070,171.063
-0.343791411,-78.19819422,3925.856374,544.0915752,3923.717285,570,96,67,,NA,NA,,,,,,,,,,,,,,,,190071,171.0639
-0.343821411,-78.19822009,3925.732377,548.4899891,3923.432129,580,50,40,,NA,NA,,,,,,,,,,,,,,,,190072,171.0648
-0.343852411,-78.19824346,3925.607449,552.888403,3923.113281,590,100,100,,NA,NA,,,,,,,syn 11,,,,,,,,,190073,171.0657
-0.343886411,-78.1982639,3925.473951,557.2868169,3922.74707,600,116,80,44384,1.95,1218.528675,,,6.877,625.5754,old,EOS_2,,14.0622555,-0.55957,0.039792336,8.7968278,-0.685059,0.077875686,,8.182,190269,171.2421
-0.343969411,-78.19828117,3925.171964,566.9506585,3922.553711,610,26,95,,NA,NA,,,,,,,,,,,,,,,,191436,172.2924
-0.344050411,-78.1982526,3924.860575,576.6145001,3922.373291,620,16,120,,NA,NA,,,,,,,,,,,,,,,,191531,172.3779
-0.344086411,-78.19822971,3924.706989,581.4464209,3922.308838,625,NA,NA,,NA,NA,,,,,,,syn 12,,,,,,,,,191536,172.3824
-0.344104411,-78.19821715,3924.628748,583.8437892,3922.213623,,,,44384,1.185,1313.90785,,,6.879,625.5334,new,EOS_1,,19.3276832,-0.546387,0.028269658,16.8931307,-0.340088,0.020131733,,8.232,191572,172.4148
-0.344122411,-78.19820485,3924.551611,586.2783417,3922.116211,630,45,130,,NA,NA,,,,,,,,,,,,,,,,191577,172.4193
-0.344197411,-78.19816312,3924.252769,595.9421833,3921.826904,640,13,71,,NA,NA,,,,,,,,,,,,,,,,191649,172.4841
-0.344281411,-78.19816314,3923.976473,605.606025,3921.699951,650,13,20,,NA,NA,,,,,,,,,,,,,,,,191693,172.5237
-0.344323411,-78.19818839,3923.845476,611.138713,3921.699951,,,,44384,1.23,1340.152269,,,6.881,625.6254,old,EOS_2,,20.5462801,0,0,24.8603713,-0.41626,0.016743917,,8.282,191694,172.5246
-0.344354411,-78.19821808,3923.743901,615.879165,3921.699951,660,38,40,,NA,NA,,,,,,,"syn 13, mostly underground but turbulent when apears",,,,,,,,,191695,172.5255
-0.344410411,-78.19829095,3923.540769,626.1523051,3921.699951,670,70,60,,NA,NA,,,,,,,mostly underground but turbulent when apears,,,,,,,,,191697,172.5273
-0.344430411,-78.19832123,3923.458056,630.2615611,3921.699951,674,NA,NA,,NA,NA,,,,,,,"above ground, turbulent",,,,,,,,,191698,172.5282
-0.344460411,-78.19836905,3923.317001,636.4254452,3921.699951,680,45,140,,NA,NA,,,,,,,,,,,,,,,,191700,172.53
-0.344508411,-78.19844623,3923.03363,646.6985853,3921.699951,690,60,60,,NA,NA,,,,,,,,,,,,,,,,192324,173.0916
-0.344560411,-78.19852286,3922.723752,656.9717253,3921.699951,700,35,90,44384,4.315,1318.547174,,,,,,,,33.5821135,-0.404785,0.012053589,20.5462801,0,0,,8.382,192811,173.5299
-0.344713411,-78.19866212,3921.977448,680.2806988,3921.295166,720,20,40,,NA,NA,,,,,,,,,,,,,,,,193456,174.1104
-0.344770411,-78.1986922,3921.645672,687.5236374,3920.249023,760,22,92,,NA,NA,,,,,,,estimate x,,,,,,,,,193998,174.5982
-0.344879411,-78.1987816,3920.967518,703.3632552,3920.207764,770,57,130,,NA,NA,,,,,,,estimate x,,,,,,,,,194043,174.6387
-0.344888411,-78.19879254,3920.878012,704.947217,3920.207764,771,NA,NA,,NA,NA,,,,,,,syn ?,,,,,,,,,194043,174.6387
-0.344892411,-78.19879791,3920.832835,705.6929331,3920.541748,750,10,43,,NA,NA,,,,,,,,,,,,,,,,193688,174.3192
-0.344893411,-78.19879927,3920.821138,705.8818349,3921.01416,730,45,144,,NA,NA,,,,,,,,,,,,,,,,193619,174.2571
-0.344894411,-78.19880065,3920.809175,705.9762857,3920.751953,740,55,65,,NA,NA,,,,,,,,,,,,,,,,193672,174.3048
-0.344894411,-78.19880065,3920.809175,706.0235111,3920.751953,745,NA,NA,,NA,NA,,,,,,,syn 15,,,,,,,,,193672,174.3048
-0.344894411,-78.19880065,3920.809175,706.0707366,3921.527832,710,62,80,,NA,NA,,,,,,,syn 14,,,,,,,,,193249,173.9241
-0.344923411,-78.19884387,3920.413776,711.8209568,3919.793213,780,54,109,,NA,NA,,,,,,,,,,,,,,,,194094,174.6846
-0.344956411,-78.19890284,3919.832317,719.4584456,3919.342529,790,9,135,,NA,NA,,,,,,,,,,,,,,,,194164,174.7476
-0.344986411,-78.19896506,3919.173709,727.0959343,3919.095703,800,24,85,,NA,NA,,,,,,,,,,,,,,,,194221,174.7989
-0.345018411,-78.19903949,3918.340136,736.1014107,3918.617188,810,29,115,,NA,NA,,,,,,,,,,,,,,,,194513,175.0617
-0.345048411,-78.19911465,3917.467148,745.1068871,3917.923828,820,24,120,,NA,NA,,,,,,,,,,,,,,,,194731,175.2579
-0.345077411,-78.19918994,3916.501066,754.1123636,3917.619629,830,24,130,,NA,NA,,,,,,,,,,,,,,,,194847,175.3623
-0.345106411,-78.19926629,3915.369003,763.11784,3917.619629,840,35,124,,NA,NA,,,,,,,,,,,,,,,,194919,175.4271
-0.345135411,-78.19934098,3914.252072,772.1233165,3917.619629,850,20,136,,NA,NA,,,,,,,,,,,,,,,,194981,175.4829
-0.345182411,-78.19945321,3912.841318,785.6321834,3917.619629,860,20,75,,NA,NA,,,,,,,,,,,,,,,,195046,175.5414
-0.345237411,-78.19956134,3911.738302,799.1410503,3917.619629,870,38,164,44384,0.33,1245.17563,,,6.893,625.6874,old,EOS_2,,27.0177338,0,0,27.0177338,0,0,,,195127,175.6143
-0.345311411,-78.19965679,3910.722947,812.6499172,3917.619629,880,42,92,,NA,NA,,,,,,,,,,,,,,,,195156,175.6404
-0.345340411,-78.19967813,3910.408893,816.7025773,3917.619629,883,NA,NA,,NA,NA,,,,,,,entrance to culvert,,,,,,,,,197404,177.6636
-0.345420411,-78.19970035,3909.609812,826.1587841,3915.863281,890,8,157,,NA,NA,,,,,,,,,,,,,,,,197408,177.6672
-0.345527411,-78.19969326,3908.495848,838.1040354,3910.070313,921,16,142,,NA,NA,,,,,,,syn 9,,,,,,,,,208536,187.6824
-0.345541411,-78.19969287,3908.357122,839.667651,3912.754883,902,NA,NA,,NA,NA,,,,,,,"Waterfall, upsteam, where exsits culvert",,,,,,,,,197426,177.6834
-0.345541411,-78.19969287,3908.357122,839.667651,3911.470215,915,NA,NA,,NA,NA,,,,,,,downstream of big waterfall from culvert,,,,,,,,,197426,177.6834
-0.345541411,-78.19969287,3908.357122,839.667651,3912.754883,900,11,182,,NA,NA,,,,,,,,,,,,,,,,197434,177.6906
-0.345541411,-78.19969287,3908.357122,839.667651,3911.470215,910,35,163,,NA,NA,,,,,,,in waterfall,,,,,,,,,197434,177.6906
-0.345541411,-78.19969287,3908.357122,839.667651,3910.070313,920,27,102,,NA,NA,,,,,,,,,,,,,,,,208536,187.6824
-0.345614411,-78.19970309,3907.579946,847.9696001,3908.401367,930,19,164,,NA,NA,,,,,,,,,,,,,,,,208553,187.6977
-0.345702411,-78.199746,3906.23972,858.9313386,3906.325195,940,22,150,44384,0,754.3712352,,,6.890692308,625.6620154,new,EOS_1,,21.9234771,-2.31665,0.105669826,19.2636876,-3.745118,0.194413348,,8.507923077,208565,187.7085
-0.345782411,-78.19980392,3904.797578,869.8930772,3906.084717,950,28,165,,NA,NA,,,,,,,,,,,,,,,,209236,188.3124
-0.345839411,-78.19984534,3903.69967,877.6950609,3906.084717,960,20,143,,NA,NA,,,,,,,,,,,,,,,,209248,188.3232
-0.345850411,-78.1998528,3903.480185,879.2554576,3906.084717,962,NA,NA,,NA,NA,,,,,,,waterfall,,,,,,,,,209278,188.3502
-0.345874411,-78.19986784,3903.034014,882.3762511,3906.084717,966,23,143,44384,0.785,764.1083701,,,6.897,625.6534,new,EOS_1,syn 8,17.0095912,-0.314942,0.018515554,23.4449125,-0.240478,0.010257151,,8.581,211473,190.3257
-0.345902411,-78.19988335,3902.602311,885.8986514,3906.084717,970,10,161,,NA,NA,,,,,,,,,,,,,,,,211550,190.395
-0.345975411,-78.19991239,3901.571235,894.7046521,3905.769775,980,25,112,,NA,NA,,,,,,,,,,,,,,,,211554,190.3986
-0.346052411,-78.19992794,3900.507303,903.5106529,3904.266602,990,24,121,,NA,NA,,,,,,,"turbulent, rock substrate",,,,,,,,,211571,190.4139
-0.346131411,-78.19993661,3899.620365,912.3166536,3902.342041,1000,22,100,44384,1.81,819.375235,,,6.899,625.6314,new,EOS_1,syn 7,19.1460681,-3.34668,0.174797247,17.6120015,-3.427734,0.194624898,,8.68,211642,190.4778
-0.346140411,-78.19993751,3899.541458,913.3506604,3902.342041,1001,NA,NA,,NA,NA,,,,,,,entrance to culvert,,,,,,,,,211642,190.4778
-0.346223411,-78.19994794,3899.004827,922.656721,3900.919922,1010,NA,NA,,NA,NA,,,,,,,underground in culvert,,,,,,,,,211754,190.5786
-0.346315411,-78.19996169,3898.701595,932.9967884,3899.588135,1020,85,NA,,NA,NA,,,,,,,top of wetland culvert,,,,,,,,,211835,190.6515
-0.346324411,-78.19996283,3898.685133,934.0240138,3899.588135,1021,85,250,44384,0.135,836.6046946,,,6.899,625.6314,old,EOS_2,syn 6,20.6123209,-1.92041,0.093168062,20.6733534,-2.753906,0.133210416,,8.68,211835,190.6515
-0.346407411,-78.19996719,3898.615105,943.2690419,3898.999512,1030,22,380,,NA,NA,,,,,,,,,,,,,,,,212126,190.9134
-0.346498411,-78.19995203,3898.650087,953.5412953,3898.608398,1040,NA,800,,NA,NA,,,,,,,,,,,,,,,,214653,193.1877
-0.346523411,-78.19994344,3898.669519,956.5147518,3898.608398,,,,44384,0.08,1345.388003,,,6.903,625.7264,old,EOS_2,,22.7645023,-0.391114,0.017180872,22.490738,-0.979737,0.043561799,,8.7295,214778,193.3002
-0.346541411,-78.19993614,3898.684069,958.6774221,3898.608398,1045,NA,1000,44384,0.44,1257.75926,,,6.888,625.6324,old,EOS_2,,22.0754721,0,0,15.4083802,-0.391114,0.0253832,,8.481,214842,193.3578
-0.346600411,-78.19990645,3898.722957,966.0335442,3898.608398,1050,NA,1000,,NA,NA,,,,,,,,,,,,,,,,214888,193.3992
-0.346673411,-78.19986186,3898.718332,975.6167674,3898.608398,1060,100,600,,NA,NA,,,,,,,,,,,,,,,,215130,193.617
-0.346747411,-78.19981624,3898.767249,985.1999907,3898.608398,1070,11,400,,NA,NA,,,,,,,,,,,,,,,,215240,193.716
-0.346824411,-78.19977775,3898.868493,994.7832139,3898.608398,1080,50,600,,NA,NA,,,,,,,,,,,,,,,,215315,193.7835
-0.346898411,-78.19975497,3898.956914,1003.408115,3898.608398,1089,NA,NA,,NA,NA,,,,,,,wetland outlet,,,,,,,,,215340,193.806
-0.346906411,-78.1997534,3898.964267,1004.366437,3898.608398,1090,48,50,,NA,NA,,,,,,,,,,,,,,,,215340,193.806
-0.346923411,-78.19975058,3898.977913,1006.283082,3898.608398,1092,18,140,44383,0.22,849.2232479,,,6.847928571,626.9213643,new,EOS_1,syn 5,22.5719861,0,0,21.0830913,0,0,,6.978,215342,193.8078
-0.346984411,-78.19974562,3898.99939,1013.099867,3898.608398,1100,11,138,,NA,NA,,,,,,,,,,,,,,,,215343,193.8087
-0.347022411,-78.19974535,3898.989145,1017.3552,3898.608398,1104,NA,NA,,NA,NA,,,,,,,very turbulent,,,,,,,,,215345,193.8105
-0.347032411,-78.19974547,3898.98563,1018.419034,3898.608398,1105,NA,NA,,NA,NA,,,,,,,Tribs come in (small),,,,,,,,,215345,193.8105
-0.347070411,-78.19974609,3898.970739,1022.674367,3898.608398,1109,18,88,44383,1.485,1103.597847,,,6.847,626.9664,old,EOS_2,syn4 ,20.771458,0,0,16.391285,0,0,,6.978,215347,193.8123
-0.347079411,-78.19974621,3898.966843,1023.692273,3898.608398,1110,22,104,,NA,NA,,,,,,,,,,,,,,,,215347,193.8123
-0.347171411,-78.19974352,3898.918119,1033.871325,3898.608398,1120,19,121,,NA,NA,,,,,,,,,,,,,,,,215350,193.815
-0.347261411,-78.19973326,3898.852594,1044.050378,3898.608398,1130,7,60,,NA,NA,,,,,,,,,,,,,,,,215353,193.8177
-0.347352411,-78.19972582,3898.76624,1054.229431,3898.608398,1140,10,60,,NA,NA,,,,,,,,,,,,,,,,215357,193.8213
-0.347425411,-78.19973268,3898.678627,1062.372673,3898.608398,1148,NA,NA,,NA,NA,,,,,,,small wf streams change -> more shallow,,,,,,,,,215358,193.8222
-0.347443411,-78.19973663,3898.651352,1064.408483,3898.608398,1150,13,83,,NA,NA,,,,,,,,21.395908,0,0,20.358105,0,0,,,215361,193.8249
-0.347508411,-78.19975655,3898.532376,1071.979626,3898.608398,1156,31,58,44383,1.005,921.4522092,,,6.849,626.8694,new,EOS_1,syn 3,21.395908,0,0,17.750195,0,0,,6.978,215362,193.8258
-0.347539411,-78.19976745,3898.467636,1075.625339,3898.608398,1160,33,122,,NA,NA,,,,,,,,,,,,,,,,215364,193.8276
-0.347618411,-78.19978878,3898.298952,1084.739621,3898.608398,1170,48,87,,NA,NA,,,,,,,,,,,,,,,,215367,193.8303
-0.347699411,-78.19978561,3898.141116,1093.853903,3898.608398,1180,65,105,,NA,NA,,,,,,,,,,,,,,,,215370,193.833
-0.347775411,-78.1997546,3898.017583,1102.968186,3898.608398,1190,43,142,,NA,NA,,,,,,,,,,,,,,,,215373,193.8357
-0.347845411,-78.19971281,3897.920924,1112.082468,3898.608398,1200,31,181,,NA,NA,,,,,,,,,,,,,,,,215375,193.8375
-0.347931411,-78.1996683,3897.811599,1122.876847,3898.608398,1210,17,91,44383,2.15,987.1542729,,,6.852,626.8684,old,EOS_2,syn 2,20.01859,0,0,19.908661,0,0,,7.079,215378,193.8402
-0.347979411,-78.19965397,3897.755011,1128.411373,3898.608398,1216,NA,NA,,NA,NA,,,,,,,Tribs come in (small),,,,,,,,,215381,193.8429
-0.348011411,-78.199649,3897.717741,1132.101058,3898.608398,1220,70,80,,NA,NA,,,,,,,,,,,,,,,,215382,193.8438
-0.348094411,-78.19964679,3897.642505,1141.325269,3898.608398,1230,100,98,,NA,NA,,,,,,,,,,,,,,,,215385,193.8465
-0.348177411,-78.19964048,3897.605846,1150.54948,3898.608398,1240,44,78,,NA,NA,,,,,,,,,,,,,,,,215388,193.8492
-0.348253411,-78.19960969,3897.578148,1159.773691,3898.608398,1250,30,170,,NA,NA,,,,,,,Station 5,,,,,,,0.08249643,,215391,193.8519
-0.348293411,-78.1995808,3897.553152,1165.262869,3898.608398,1260,54,102,,NA,NA,,,,,,,,,,,,,,,,215395,193.8555
-0.348319411,-78.19955821,3897.527715,1169.105293,3898.608398,1267,25,100,44383,1.06,979.2442331,,,6.853,626.7424,new,EOS_1,syn 1,18.993999,0,0,9.331602,0,0,,7.129,215828,194.2452
