lat_fit,lon_fit,ele_fit,x_pred,x,d,w,date,Flux_ave,adjusted_ppm,DOC,TDN,AirTemp_c,Total_hPa,VaisalaType,EOS_no,notes,ele_arcpro,dist_diff,slope,Q_m_s
-0.346923411,-78.19975058,3898.977913,1006.283082,1092,18,140,,NA,NA,,,,,,,syn 5,3898.608398,,,
-0.346924411,-78.19975044,3898.978626,1006.395488,,,,44383,0.22,849.2232479,,,6.847928571,626.9213643,new,EOS_1,,,,,
-0.346984411,-78.19974562,3898.99939,1013.099867,1100,11,138,,NA,NA,,,,,,,,3898.608398,20,-0.000128809,
-0.347022411,-78.19974535,3898.989145,1017.3552,1104,NA,NA,,NA,NA,,,,,,,very turbulent,3898.608398,,,
-0.347032411,-78.19974547,3898.98563,1018.419034,1105,NA,NA,,NA,NA,,,,,,,Tribs come in (small),3898.608398,,,
-0.347070411,-78.19974609,3898.970739,1022.674367,1109,18,88,,NA,NA,,,,,,,syn4 ,3898.608398,,,
-0.347079411,-78.19974621,3898.966843,1023.692273,1110,22,104,,NA,NA,,,,,,,,3898.608398,20,0.004063539,
-0.347171411,-78.19974352,3898.918119,1033.871325,1120,19,121,,NA,NA,,,,,,,,3898.608398,20,0.005712436,
-0.347234411,-78.19973675,3898.874272,1040.979861,,,,44383,1.485,1103.597847,,,6.847,626.9664,old,EOS_2,,,,,
-0.347261411,-78.19973326,3898.852594,1044.050378,1130,7,60,,NA,NA,,,,,,,,3898.608398,20,0.007593938,
-0.347352411,-78.19972582,3898.76624,1054.229431,1140,10,60,,NA,NA,,,,,,,,3898.608398,20,0.010062112,
-0.347425411,-78.19973268,3898.678627,1062.372673,1148,NA,NA,,NA,NA,,,,,,,small wf streams change -> more shallow,3898.608398,,,
-0.347443411,-78.19973663,3898.651352,1064.408483,1150,13,83,,NA,NA,,,,,,,,3898.608398,20,0.014930209,
-0.347508411,-78.19975655,3898.532376,1071.979626,1156,31,58,,NA,NA,,,,,,,syn 3,3898.608398,,,
-0.347535411,-78.19976606,3898.476155,1075.166165,,,,44383,1.005,921.4522092,,,6.849,626.8694,new,EOS_1,,,,,
-0.347539411,-78.19976745,3898.467636,1075.625339,1160,33,122,,NA,NA,,,,,,,,3898.608398,20,0.017620003,
-0.347618411,-78.19978878,3898.298952,1084.739621,1170,48,87,,NA,NA,,,,,,,,3898.608398,20,0.016326028,
-0.347699411,-78.19978561,3898.141116,1093.853903,1180,65,105,,NA,NA,,,,,,,,3898.608398,20,0.014068427,
-0.347775411,-78.1997546,3898.017583,1102.968186,1190,43,142,,NA,NA,,,,,,,,3898.608398,20,0.01100958,
-0.347845411,-78.19971281,3897.920924,1112.082468,1200,31,181,,NA,NA,,,,,,,,3898.608398,20,0.010299213,
-0.347923411,-78.19967152,3897.821263,1121.916762,,,,44383,2.15,987.1542729,,,6.852,626.8684,old,EOS_2,,,,,
-0.347931411,-78.1996683,3897.811599,1122.876847,1210,17,91,,NA,NA,,,,,,,syn 2,3898.608398,20,0.010159171,
-0.347979411,-78.19965397,3897.755011,1128.411373,1216,NA,NA,,NA,NA,,,,,,,Tribs come in (small),3898.608398,,,
-0.348011411,-78.199649,3897.717741,1132.101058,1220,70,80,,NA,NA,,,,,,,,3898.608398,20,0.008454722,
-0.348094411,-78.19964679,3897.642505,1141.325269,1230,100,98,,NA,NA,,,,,,,,3898.608398,20,0.00559471,
-0.348177411,-78.19964048,3897.605846,1150.54948,1240,44,78,,NA,NA,,,,,,,,3898.608398,20,0.003217844,
-0.348253411,-78.19960969,3897.578148,1159.773691,1250,30,170,,NA,NA,,,,,,,Station 5,3898.608398,20,0.002634729,0.08249643
-0.348293411,-78.1995808,3897.553152,1165.262869,1260,54,102,,NA,NA,,,,,,,,3898.608398,20,0.004076647,
-0.348310411,-78.19956629,3897.537569,1167.758746,,,,44383,1.06,979.2442331,,,6.853,626.7424,new,EOS_1,,,,,
-0.348319411,-78.19955821,3897.527715,1169.105293,1267,25,100,,NA,NA,,,,,,,syn 1,3898.608398,,,
-0.348342411,-78.19953675,3897.496615,1172.60181,1270,78,40,,NA,NA,,,,,,,,3898.608398,20,0.009455484,
