Device Name:,,OM-CP-VOLT101A,,,,,,,,
Device Description:,,Voltage Data Logger,,,,,,,,
Serial Number:,,R37298,,,,,,,,
Device ID:,,SynopticNew,,,,,,,,
,,,,,,,,,,
,,Channel 1,,,,,,,,
Date,Time,Voltage (ppm),Tract,Description,Point,XCoordinate,Ycoordinate,WaterSample,Notes,Notes_2
6/29/2021,10:01:23 AM,1264.01,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:01:28 AM,1273.28,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:01:33 AM,1279.54,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:01:38 AM,1294.58,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:01:43 AM,1303.6,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:01:48 AM,1312.12,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:01:53 AM,1317.38,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:01:58 AM,1320.89,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:02:03 AM,1329.91,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:02:08 AM,1333.92,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:02:13 AM,1338.93,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:02:18 AM,1342.94,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:02:23 AM,1349.96,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:02:28 AM,1358.23,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:02:33 AM,1370.26,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:02:38 AM,1378.03,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:02:43 AM,1385.54,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:02:48 AM,1388.55,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:02:53 AM,1393.31,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:02:58 AM,1398.83,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:03:03 AM,1402.33,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:03:08 AM,1406.85,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:03:13 AM,1410.86,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:03:18 AM,1420.88,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:03:23 AM,1425.89,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:03:28 AM,1433.91,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:03:33 AM,1438.17,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:03:38 AM,1447.69,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:03:43 AM,1452.7,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:03:48 AM,1460.22,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:03:53 AM,1464.98,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:03:58 AM,1468.74,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,10:04:03 AM,1475.76,1,"Starting after last point on 2021-06-23 above road, near guard station",1,-0.329199666,-78.20174005,957,NA,
6/29/2021,10:04:08 AM,1477.51,1,"Starting after last point on 2021-06-23 above road, near guard station",1,-0.329199666,-78.20174005,957,NA,
6/29/2021,10:04:13 AM,1481.52,1,"Starting after last point on 2021-06-23 above road, near guard station",1,-0.329199666,-78.20174005,957,NA,
