Device Name:,,OM-CP-VOLT101A,,,,,,
Device Description:,,Voltage Data Logger,,,,,,
Serial Number:,,R37298,,,,,,
Device ID:,,Box05,,,,,,
,,,,,,,,
,,Channel 1,,,,,,
Date,Time,Voltage (ppm),Tract,Description,Point,X,Y,WaterSample
6/23/2021,10:30:09 AM,116.28,NA,NA,NA,NA,NA,NA
6/23/2021,10:30:14 AM,117.78,NA,NA,NA,NA,NA,NA
6/23/2021,10:30:19 AM,120.04,NA,NA,NA,NA,NA,NA
6/23/2021,10:30:24 AM,121.54,NA,NA,NA,NA,NA,NA
6/23/2021,10:30:29 AM,121.29,NA,NA,NA,NA,NA,NA
6/23/2021,10:30:34 AM,120.29,NA,NA,NA,NA,NA,NA
6/23/2021,10:30:39 AM,112.52,NA,NA,NA,NA,NA,NA
6/23/2021,10:30:44 AM,111.52,NA,NA,NA,NA,NA,NA
6/23/2021,10:30:49 AM,111.26,NA,NA,NA,NA,NA,NA
6/23/2021,10:30:54 AM,114.02,NA,NA,NA,NA,NA,NA
6/23/2021,10:30:59 AM,115.02,NA,NA,NA,NA,NA,NA
6/23/2021,10:31:04 AM,115.27,NA,NA,NA,NA,NA,NA
6/23/2021,10:31:09 AM,113.52,NA,NA,NA,NA,NA,NA
6/23/2021,10:31:14 AM,114.02,NA,NA,NA,NA,NA,NA
6/23/2021,10:31:19 AM,113.52,NA,NA,NA,NA,NA,NA
6/23/2021,10:31:24 AM,114.02,NA,NA,NA,NA,NA,NA
6/23/2021,10:31:29 AM,113.52,NA,NA,NA,NA,NA,NA
6/23/2021,10:31:34 AM,113.02,NA,NA,NA,NA,NA,NA
6/23/2021,10:31:39 AM,112.27,NA,NA,NA,NA,NA,NA
6/23/2021,10:31:44 AM,113.02,NA,NA,NA,NA,NA,NA
6/23/2021,10:31:49 AM,113.52,NA,NA,NA,NA,NA,NA
6/23/2021,10:31:54 AM,114.27,NA,NA,NA,NA,NA,NA
6/23/2021,10:31:59 AM,113.52,NA,NA,NA,NA,NA,NA
6/23/2021,10:32:04 AM,114.27,NA,NA,NA,NA,NA,NA
6/23/2021,10:32:09 AM,113.52,NA,NA,NA,NA,NA,NA
6/23/2021,10:32:14 AM,115.52,NA,NA,NA,NA,NA,NA
6/23/2021,10:32:19 AM,114.77,NA,NA,NA,NA,NA,NA
6/23/2021,10:32:24 AM,115.52,NA,NA,NA,NA,NA,NA
6/23/2021,10:32:29 AM,113.52,NA,NA,NA,NA,NA,NA
6/23/2021,10:32:34 AM,114.27,NA,NA,NA,NA,NA,NA
6/23/2021,10:32:39 AM,113.27,NA,NA,NA,NA,NA,NA
6/23/2021,10:32:44 AM,114.27,NA,NA,NA,NA,NA,NA
6/23/2021,10:32:49 AM,114.77,NA,NA,NA,NA,NA,NA
6/23/2021,10:32:54 AM,115.27,NA,NA,NA,NA,NA,NA
6/23/2021,10:32:59 AM,114.77,NA,NA,NA,NA,NA,NA
6/23/2021,10:33:04 AM,115.52,NA,NA,NA,NA,NA,NA
6/23/2021,10:33:09 AM,114.77,NA,NA,NA,NA,NA,NA
6/23/2021,10:33:14 AM,115.27,NA,NA,NA,NA,NA,NA
6/23/2021,10:33:19 AM,114.77,NA,NA,NA,NA,NA,NA
6/23/2021,10:33:24 AM,117.78,NA,NA,NA,NA,NA,NA
6/23/2021,10:33:29 AM,120.29,NA,NA,NA,NA,NA,NA
6/23/2021,10:33:34 AM,121.54,NA,NA,NA,NA,NA,NA
6/23/2021,10:33:39 AM,122.54,NA,NA,NA,NA,NA,NA
6/23/2021,10:33:44 AM,122.79,NA,NA,NA,NA,NA,NA
6/23/2021,10:33:49 AM,122.54,NA,NA,NA,NA,NA,NA
6/23/2021,10:33:54 AM,122.79,NA,NA,NA,NA,NA,NA
6/23/2021,10:33:59 AM,121.29,NA,NA,NA,NA,NA,NA
6/23/2021,10:34:04 AM,121.54,NA,NA,NA,NA,NA,NA
6/23/2021,10:34:09 AM,120.29,NA,NA,NA,NA,NA,NA
6/23/2021,10:34:14 AM,118.78,NA,NA,NA,NA,NA,NA
6/23/2021,10:34:19 AM,116.28,NA,NA,NA,NA,NA,NA
6/23/2021,10:34:24 AM,115.02,NA,NA,NA,NA,NA,NA
6/23/2021,10:34:29 AM,115.02,NA,NA,NA,NA,NA,NA
6/23/2021,10:34:34 AM,115.27,NA,NA,NA,NA,NA,NA
6/23/2021,10:34:39 AM,115.02,NA,NA,NA,NA,NA,NA
6/23/2021,10:34:44 AM,113.77,NA,NA,NA,NA,NA,NA
6/23/2021,10:34:49 AM,112.52,NA,NA,NA,NA,NA,NA
6/23/2021,10:34:54 AM,111.26,NA,NA,NA,NA,NA,NA
6/23/2021,10:34:59 AM,111.26,NA,NA,NA,NA,NA,NA
6/23/2021,10:35:04 AM,111.26,NA,NA,NA,NA,NA,NA
6/23/2021,10:35:09 AM,111.26,NA,NA,NA,NA,NA,NA
6/23/2021,10:35:14 AM,110.01,NA,NA,NA,NA,NA,NA
6/23/2021,10:35:19 AM,110.01,NA,NA,NA,NA,NA,NA
6/23/2021,10:35:24 AM,108.76,NA,NA,NA,NA,NA,NA
6/23/2021,10:35:29 AM,109.01,NA,NA,NA,NA,NA,NA
6/23/2021,10:35:34 AM,108.76,NA,NA,NA,NA,NA,NA
6/23/2021,10:35:39 AM,110.01,NA,NA,NA,NA,NA,NA
6/23/2021,10:35:44 AM,111.26,NA,NA,NA,NA,NA,NA
6/23/2021,10:35:49 AM,114.02,NA,NA,NA,NA,NA,NA
6/23/2021,10:35:54 AM,115.02,NA,NA,NA,NA,NA,NA
6/23/2021,10:35:59 AM,117.78,NA,NA,NA,NA,NA,NA
6/23/2021,10:36:04 AM,118.78,NA,NA,NA,NA,NA,NA
6/23/2021,10:36:09 AM,119.03,NA,NA,NA,NA,NA,NA
6/23/2021,10:36:14 AM,119.78,NA,NA,NA,NA,NA,NA
6/23/2021,10:36:19 AM,120.54,NA,NA,NA,NA,NA,NA
6/23/2021,10:36:24 AM,119.78,NA,NA,NA,NA,NA,NA
6/23/2021,10:36:29 AM,120.54,NA,NA,NA,NA,NA,NA
6/23/2021,10:36:34 AM,119.78,NA,NA,NA,NA,NA,NA
6/23/2021,10:36:39 AM,119.28,NA,NA,NA,NA,NA,NA
6/23/2021,10:36:44 AM,118.53,NA,NA,NA,NA,NA,NA
6/23/2021,10:36:49 AM,119.28,NA,NA,NA,NA,NA,NA
6/23/2021,10:36:54 AM,118.53,NA,NA,NA,NA,NA,NA
6/23/2021,10:36:59 AM,118.03,NA,NA,NA,NA,NA,NA
6/23/2021,10:37:04 AM,117.28,NA,NA,NA,NA,NA,NA
6/23/2021,10:37:09 AM,119.03,NA,NA,NA,NA,NA,NA
6/23/2021,10:37:14 AM,118.78,NA,NA,NA,NA,NA,NA
6/23/2021,10:37:19 AM,119.03,NA,NA,NA,NA,NA,NA
6/23/2021,10:37:24 AM,118.78,NA,NA,NA,NA,NA,NA
6/23/2021,10:37:29 AM,119.03,NA,NA,NA,NA,NA,NA
6/23/2021,10:37:34 AM,120.04,NA,NA,NA,NA,NA,NA
6/23/2021,10:37:39 AM,120.29,NA,NA,NA,NA,NA,NA
6/23/2021,10:37:44 AM,121.54,NA,NA,NA,NA,NA,NA
6/23/2021,10:37:49 AM,120.04,NA,NA,NA,NA,NA,NA
6/23/2021,10:37:54 AM,120.29,NA,NA,NA,NA,NA,NA
6/23/2021,10:37:59 AM,120.29,NA,NA,NA,NA,NA,NA
6/23/2021,10:38:04 AM,120.04,NA,NA,NA,NA,NA,NA
6/23/2021,10:38:09 AM,120.29,NA,NA,NA,NA,NA,NA
6/23/2021,10:38:14 AM,120.29,NA,NA,NA,NA,NA,NA
6/23/2021,10:38:19 AM,120.04,NA,NA,NA,NA,NA,NA
6/23/2021,10:38:24 AM,120.29,NA,NA,NA,NA,NA,NA
6/23/2021,10:38:29 AM,118.78,NA,NA,NA,NA,NA,NA
6/23/2021,10:38:34 AM,119.03,NA,NA,NA,NA,NA,NA
6/23/2021,10:38:39 AM,118.78,NA,NA,NA,NA,NA,NA
6/23/2021,10:38:44 AM,119.03,NA,NA,NA,NA,NA,NA
6/23/2021,10:38:49 AM,118.78,NA,NA,NA,NA,NA,NA
6/23/2021,10:38:54 AM,119.03,NA,NA,NA,NA,NA,NA
6/23/2021,10:38:59 AM,118.53,NA,NA,NA,NA,NA,NA
6/23/2021,10:39:04 AM,120.54,NA,NA,NA,NA,NA,NA
6/23/2021,10:39:09 AM,121.04,NA,NA,NA,NA,NA,NA
6/23/2021,10:39:14 AM,121.79,NA,NA,NA,NA,NA,NA
6/23/2021,10:39:19 AM,121.04,NA,NA,NA,NA,NA,NA
6/23/2021,10:39:24 AM,121.79,NA,NA,NA,NA,NA,NA
6/23/2021,10:39:29 AM,121.04,NA,NA,NA,NA,NA,NA
6/23/2021,10:39:34 AM,121.79,NA,NA,NA,NA,NA,NA
6/23/2021,10:39:39 AM,121.04,NA,NA,NA,NA,NA,NA
6/23/2021,10:39:44 AM,121.79,NA,NA,NA,NA,NA,NA
6/23/2021,10:39:49 AM,121.04,NA,NA,NA,NA,NA,NA
