Serial_number:
2020435
Project ID:

Location:
BelowLake_Downstream
BelowLake_Downstream
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,BelowLake_Downstream,TEMPERATURE
8/22/2021,12:00:00 am,0,62.9404,5.160
8/22/2021,12:15:00 am,0,62.9322,5.116
8/22/2021,12:30:00 am,0,62.9299,5.072
8/22/2021,12:45:00 am,0,62.9156,5.031
8/22/2021,01:00:00 am,0,62.8926,5.001
8/22/2021,01:15:00 am,0,62.8791,4.975
8/22/2021,01:30:00 am,0,62.8589,4.950
8/22/2021,01:45:00 am,0,62.8486,4.924
8/22/2021,02:00:00 am,0,62.8322,4.895
8/22/2021,02:15:00 am,0,62.8150,4.866
8/22/2021,02:30:00 am,0,62.8092,4.839
8/22/2021,02:45:00 am,0,62.8028,4.814
8/22/2021,03:00:00 am,0,62.7885,4.782
8/22/2021,03:15:00 am,0,62.7867,4.756
8/22/2021,03:30:00 am,0,62.7762,4.735
8/22/2021,03:45:00 am,0,62.7736,4.718
8/22/2021,04:00:00 am,0,62.7796,4.706
8/22/2021,04:15:00 am,0,62.7655,4.693
8/22/2021,04:30:00 am,0,62.7640,4.675
8/22/2021,04:45:00 am,0,62.7603,4.658
8/22/2021,05:00:00 am,0,62.7765,4.642
8/22/2021,05:15:00 am,0,62.7803,4.623
8/22/2021,05:30:00 am,0,62.7947,4.607
8/22/2021,05:45:00 am,0,62.7981,4.592
8/22/2021,06:00:00 am,0,62.8014,4.576
8/22/2021,06:15:00 am,0,62.8204,4.562
8/22/2021,06:30:00 am,0,62.8346,4.549
8/22/2021,06:45:00 am,0,62.8566,4.541
8/22/2021,07:00:00 am,0,62.8695,4.534
8/22/2021,07:15:00 am,0,62.8767,4.525
8/22/2021,07:30:00 am,0,62.8865,4.517
8/22/2021,07:45:00 am,0,62.8980,4.515
8/22/2021,08:00:00 am,0,62.9057,4.521
8/22/2021,08:15:00 am,0,62.9250,4.525
8/22/2021,08:30:00 am,0,62.9365,4.529
8/22/2021,08:45:00 am,0,62.9489,4.542
8/22/2021,09:00:00 am,0,62.9566,4.572
8/22/2021,09:15:00 am,0,62.9637,4.613
