Device Name:,,OM-CP-VOLT101A,,,,,,
Device Description:,,Voltage Data Logger,,,,,,
Serial Number:,,R37297,,,,,,
Device ID:,,SynopticOld,,,,,,
,,,,,,,,
,,Channel 1,,,,,,
Date,Time,Voltage (ppm),Tract,Description,Point,X,Y,WaterSample
6/29/2021,9:34:49 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:34:54 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:34:59 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:35:04 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:35:09 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:35:14 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:35:19 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:35:24 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:35:29 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:35:34 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:35:39 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:35:44 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:35:49 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:35:54 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:35:59 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:36:04 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:36:09 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:36:14 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:36:19 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:36:24 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:36:29 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:36:34 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:36:39 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:36:44 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:36:49 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:36:54 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:36:59 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:37:04 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:37:09 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:37:14 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:37:19 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:37:24 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:37:29 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:37:34 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:37:39 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:37:44 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:37:49 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:37:54 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:37:59 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:38:04 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:38:09 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:38:14 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:38:19 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:38:24 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:38:29 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:38:34 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:38:39 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:38:44 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:38:49 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:38:54 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:38:59 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:39:04 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:39:09 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:39:14 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:39:19 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:39:24 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:39:29 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:39:34 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:39:39 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:39:44 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:39:49 AM,396,NA,NA,NA,NA,NA,NA
6/29/2021,9:39:54 AM,396,NA,NA,NA,NA,NA,NA
6/29/2021,9:39:59 AM,396,NA,NA,NA,NA,NA,NA
6/29/2021,9:40:04 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:40:09 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:40:14 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:40:19 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:40:24 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:40:29 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:40:34 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:40:39 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:40:44 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:40:49 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:40:54 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:40:59 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:41:04 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:41:09 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:41:14 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:41:19 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:41:24 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:41:29 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:41:34 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:41:39 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:41:44 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:41:49 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:41:54 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:41:59 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:42:04 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:42:09 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:42:14 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:42:19 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:42:24 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:42:29 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:42:34 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:42:39 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:42:44 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:42:49 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:42:54 AM,396,NA,NA,NA,NA,NA,NA
6/29/2021,9:42:59 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:43:04 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:43:09 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:43:14 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:43:19 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:43:24 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:43:29 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:43:34 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:43:39 AM,391,NA,NA,NA,NA,NA,NA
6/29/2021,9:43:44 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:43:49 AM,386,NA,NA,NA,NA,NA,NA
6/29/2021,9:43:54 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:43:59 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:44:04 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:44:09 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:44:14 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:44:19 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:44:24 AM,371,NA,NA,NA,NA,NA,NA
6/29/2021,9:44:29 AM,366,NA,NA,NA,NA,NA,NA
6/29/2021,9:44:34 AM,366,NA,NA,NA,NA,NA,NA
6/29/2021,9:44:39 AM,371,NA,NA,NA,NA,NA,NA
6/29/2021,9:44:44 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:44:49 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:44:54 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:44:59 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:45:04 AM,371,NA,NA,NA,NA,NA,NA
6/29/2021,9:45:09 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:45:14 AM,376,NA,NA,NA,NA,NA,NA
6/29/2021,9:45:19 AM,381,NA,NA,NA,NA,NA,NA
6/29/2021,9:45:24 AM,381,NA,NA,NA,NA,NA,NA
