metadata																													
ID	name	desc	time	keywords	minlat	minlon	maxlat	maxlon																					
1			2021-07-01T16:48:47Z		-0.32983996	-78.20278552	-0.324336737	-78.19913671																					
																													
author																													
ID	name	email																											
																													
copyright																													
year	license	author																											
																													
link																													
metadataID	authorID	wptID	rteptID	trkptID	rteID	trkID	text	type	href																				
1							Garmin International		http://www.garmin.com																				
																													
rte																													
ID	name	cmt	desc	src	number	type	IsAutoNamed	DisplayColor	TransportationMode	TripName	Date	DayNumber																	
																													
rtept																													
ID	rteID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	DepartureTime	StopDuration	ArrivalTime	CalculationMode	ElevationMode	NamedRoad_Name	NamedRoad_Id	NamedRoad_ProductId	TransportationMode
																													
wpt																													
ID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Proximity	Temperature	Depth	DisplayMode	Samples	Expiration	CreationTime			
																													
Address																													
wptID	StreetAddress1	StreetAddress2	City	State	Country	PostalCode																							
																													
PhoneNumber																													
wptID	Category	value																											
129	1	-0.329654384	-78.20265627	4076.13	6/29/2021	14:47:16	9:47:16																						
130	1	-0.329661006	-78.2026494	4076.13	6/29/2021	14:47:17	9:47:17																						
131	1	-0.329692354	-78.20260716	4076.61	6/29/2021	14:47:23	9:47:23																						
132	1	-0.329710795	-78.20259785	4075.65	6/29/2021	14:47:25	9:47:25																						
133	1	-0.329773156	-78.20251856	4075.65	6/29/2021	14:47:37	9:47:37																						
134	1	-0.32982328	-78.20242787	4075.17	6/29/2021	14:47:49	9:47:49																						
135	1	-0.329820849	-78.20238319	4075.17	6/29/2021	14:47:55	9:47:55																						
136	1	-0.329799308	-78.2023324	4075.17	6/29/2021	14:48:01	9:48:01																						
137	1	-0.329787238	-78.20226635	4076.13	6/29/2021	14:48:09	9:48:09																						
138	1	-0.329784723	-78.20217406	4076.61	6/29/2021	14:48:21	9:48:21																						
139	1	-0.329796961	-78.20211413	4075.17	6/29/2021	14:48:29	9:48:29																						
140	1	-0.329816071	-78.20206954	4075.65	6/29/2021	14:48:35	9:48:35																						
141	1	-0.32981934	-78.20196175	4077.57	6/29/2021	14:48:50	9:48:50																						
142	1	-0.329832332	-78.20191196	4076.61	6/29/2021	14:48:56	9:48:56																						
143	1	-0.329838367	-78.20183074	4076.61	6/29/2021	14:49:06	9:49:06																						
144	1	-0.32983996	-78.2018092	4077.09	6/29/2021	14:49:09	9:49:09																						
145	1	-0.329782544	-78.20171784	4078.05	6/29/2021	14:49:23	9:49:23																						
146	1	-0.329738706	-78.20161097	4078.05	6/29/2021	14:49:39	9:49:39																						
147	1	-0.329723619	-78.20149655	4079.49	6/29/2021	14:49:54	9:49:54																						
148	1	-0.329671232	-78.20143428	4079.49	6/29/2021	14:50:06	9:50:06																						
149	1	-0.329595711	-78.20139932	4079.97	6/29/2021	14:50:20	9:50:20																						
150	1	-0.329561597	-78.20132104	4080.45	6/29/2021	14:50:33	9:50:33																						
151	1	-0.3295564	-78.20132573	4080.45	6/29/2021	14:50:53	9:50:53																						
152	1	-0.32955992	-78.20132481	4080.45	6/29/2021	14:51:10	9:51:10																						
153	1	-0.32955925	-78.20132573	4079.97	6/29/2021	14:51:16	9:51:16																						
154	1	-0.329556316	-78.2013269	4079.97	6/29/2021	14:51:40	9:51:40																						
155	1	-0.329556148	-78.20132841	4078.53	6/29/2021	14:52:02	9:52:02																						
156	1	-0.329556065	-78.20132833	4074.2	6/29/2021	14:52:04	9:52:04																						
157	1	-0.329555981	-78.20132833	4080.45	6/29/2021	14:52:05	9:52:05																						
158	1	-0.329555981	-78.20132841	4076.61	6/29/2021	14:52:07	9:52:07																						
159	1	-0.329555981	-78.2013285	4081.41	6/29/2021	14:52:08	9:52:08																						
160	1	-0.329556065	-78.20132841	4075.65	6/29/2021	14:52:11	9:52:11																						
161	1	-0.329556065	-78.20132841	4081.41	6/29/2021	14:52:12	9:52:12																						
162	1	-0.329556232	-78.20132833	4078.53	6/29/2021	14:52:16	9:52:16																						
163	1	-0.329556232	-78.20132833	4066.99	6/29/2021	14:52:17	9:52:17																						
164	1	-0.329556148	-78.20132833	4079.01	6/29/2021	14:52:18	9:52:18																						
165	1	-0.329556148	-78.20132841	4091.03	6/29/2021	14:52:19	9:52:19																						
166	1	-0.329556148	-78.20132841	4079.97	6/29/2021	14:52:20	9:52:20																						
167	1	-0.329551706	-78.20132732	4079.49	6/29/2021	14:52:43	9:52:43																						
168	1	-0.329545671	-78.20132598	4076.13	6/29/2021	14:52:44	9:52:44																						
169	1	-0.329538295	-78.20132456	4082.86	6/29/2021	14:52:45	9:52:45																						
170	1	-0.329531841	-78.2013254	4080.93	6/29/2021	14:52:46	9:52:46																						
171	1	-0.329523711	-78.20133026	4079.97	6/29/2021	14:52:48	9:52:48																						
172	1	-0.329471072	-78.20136152	4079.01	6/29/2021	14:52:56	9:52:56																						
173	1	-0.329369651	-78.20144274	4079.01	6/29/2021	14:53:18	9:53:18																						
174	1	-0.329330759	-78.2014699	4084.3	6/29/2021	14:53:38	9:53:38																						
175	1	-0.329334699	-78.20147183	4080.45	6/29/2021	14:53:39	9:53:39																						
176	1	-0.329339812	-78.20147493	4079.49	6/29/2021	14:53:41	9:53:41																						
177	1	-0.329436874	-78.20140268	4080.45	6/29/2021	14:54:06	9:54:06																						
178	1	-0.329477694	-78.20138147	4079.49	6/29/2021	14:54:12	9:54:12																						
179	1	-0.329509377	-78.20135792	4082.38	6/29/2021	14:54:16	9:54:16																						
180	1	-0.329546509	-78.20132925	4079.01	6/29/2021	14:54:19	9:54:19																						
181	1	-0.329555143	-78.20132263	4081.9	6/29/2021	14:54:21	9:54:21																						
182	1	-0.329560423	-78.20132146	4081.9	6/29/2021	14:54:22	9:54:22																						
183	1	-0.329568386	-78.20132104	4079.97	6/29/2021	14:54:24	9:54:24																						
184	1	-0.329552209	-78.20133587	4080.45	6/29/2021	14:54:41	9:54:41																						
185	1	-0.32955531	-78.20133906	4080.45	6/29/2021	14:54:57	9:54:57																						
186	1	-0.329556484	-78.20133671	4073.24	6/29/2021	14:55:01	9:55:01																						
187	1	-0.329556484	-78.20133671	4079.49	6/29/2021	14:55:02	9:55:02																						
188	1	-0.329556484	-78.2013368	4086.7	6/29/2021	14:55:03	9:55:03																						
189	1	-0.329556568	-78.20133671	4079.97	6/29/2021	14:55:04	9:55:04																						
190	1	-0.32955464	-78.20133738	4079.97	6/29/2021	14:55:31	9:55:31																						
191	1	-0.32955464	-78.20133713	4078.53	6/29/2021	14:55:43	9:55:43																						
192	1	-0.32955464	-78.20133705	4081.9	6/29/2021	14:55:44	9:55:44																						
193	1	-0.329564027	-78.20132154	4070.36	6/29/2021	14:55:53	9:55:53																						
194	1	-0.329564195	-78.20132162	4081.41	6/29/2021	14:55:54	9:55:54																						
195	1	-0.329564111	-78.20132188	4079.97	6/29/2021	14:55:57	9:55:57																						
196	1	-0.329585653	-78.2013316	4081.9	6/29/2021	14:56:01	9:56:01																						
197	1	-0.329562686	-78.20134208	4081.41	6/29/2021	14:56:14	9:56:14																						
198	1	-0.329553299	-78.20134417	4081.41	6/29/2021	14:56:46	9:56:46																						
199	1	-0.329554556	-78.20133235	4082.86	6/29/2021	14:57:10	9:57:10																						
200	1	-0.329555813	-78.20133126	4080.93	6/29/2021	14:57:12	9:57:12																						
201	1	-0.329553047	-78.20133277	4081.9	6/29/2021	14:57:45	9:57:45																						
202	1	-0.329552209	-78.20132858	4080.93	6/29/2021	14:58:00	9:58:00																						
203	1	-0.329552712	-78.2013295	4082.38	6/29/2021	14:58:02	9:58:02																						
204	1	-0.329552209	-78.20133034	4079.01	6/29/2021	14:58:05	9:58:05																						
205	1	-0.329553466	-78.20132992	4081.9	6/29/2021	14:58:08	9:58:08																						
206	1	-0.329561261	-78.20133839	4081.9	6/29/2021	14:58:27	9:58:27																						
207	1	-0.329559669	-78.20133671	4081.41	6/29/2021	14:59:01	9:59:01																						
208	1	-0.329558747	-78.20133654	4081.41	6/29/2021	14:59:04	9:59:04																						
209	1	-0.329560591	-78.20133512	4081.9	6/29/2021	14:59:42	9:59:42																						
210	1	-0.329559334	-78.2013373	4081.9	6/29/2021	15:00:08	10:00:08																						
211	1	-0.329559417	-78.20133713	4081.41	6/29/2021	15:00:32	10:00:32																						
212	1	-0.329560507	-78.20133738	4081.41	6/29/2021	15:00:58	10:00:58																						
213	1	-0.329559166	-78.2013316	4081.41	6/29/2021	15:01:31	10:01:31																						
214	1	-0.32955925	-78.20133151	4079.97	6/29/2021	15:01:37	10:01:37																						
215	1	-0.329554807	-78.20132967	4083.34	6/29/2021	15:01:44	10:01:44																						
216	1	-0.329551036	-78.20132934	4079.49	6/29/2021	15:01:48	10:01:48																						
217	1	-0.3295507	-78.20132942	4083.34	6/29/2021	15:01:54	10:01:54																						
218	1	-0.329545084	-78.20132523	4081.41	6/29/2021	15:02:19	10:02:19																						
219	1	-0.329550533	-78.20132984	4081.9	6/29/2021	15:02:46	10:02:46																						
220	1	-0.329551119	-78.20133344	4081.41	6/29/2021	15:03:14	10:03:14																						
221	1	-0.329540977	-78.20134384	4073.72	6/29/2021	15:03:30	10:03:30																						
222	1	-0.329539971	-78.201344	4085.74	6/29/2021	15:03:31	10:03:31																						
223	1	-0.329539385	-78.20134426	4081.9	6/29/2021	15:03:32	10:03:32																						
224	1	-0.329543324	-78.20134652	4081.41	6/29/2021	15:04:01	10:04:01																						
225	1	-0.329535697	-78.20135197	4081.9	6/29/2021	15:04:27	10:04:27																						
226	1	-0.32953159	-78.20135247	4081.9	6/29/2021	15:04:51	10:04:51																						
227	1	-0.329544581	-78.20133973	4080.45	6/29/2021	15:05:02	10:05:02																						
228	1	-0.329544833	-78.20134023	4081.41	6/29/2021	15:05:24	10:05:24																						
229	1	-0.329543659	-78.20134032	4081.41	6/29/2021	15:05:53	10:05:53																						
230	1	-0.329544162	-78.20133956	4081.9	6/29/2021	15:06:22	10:06:22																						
231	1	-0.329542486	-78.20133948	4081.9	6/29/2021	15:06:52	10:06:52																						
232	1	-0.329514993	-78.20131182	4081.41	6/29/2021	15:07:16	10:07:16																						
233	1	-0.329519268	-78.20132053	4081.41	6/29/2021	15:07:44	10:07:44																						
234	1	-0.32952874	-78.20133294	4081.41	6/29/2021	15:08:11	10:08:11																						
235	1	-0.329530165	-78.20133621	4080.93	6/29/2021	15:08:35	10:08:35																						
236	1	-0.329560842	-78.20136689	4080.45	6/29/2021	15:08:59	10:08:59																						
237	1	-0.32955179	-78.20135088	4081.41	6/29/2021	15:09:25	10:09:25																						
238	1	-0.329551958	-78.2013523	4081.41	6/29/2021	15:09:50	10:09:50																						
