OBJECTID,pointid,FloAccu,lat,lon,ele
1659,185063,1028,-0.3387895,-78.19903056,3960
1660,185064,96709,-0.33878926,-78.19819578,3965
1661,185065,614,-0.33878924,-78.19814193,3965
1662,185066,5609,-0.33878888,-78.1968763,3989
1663,185141,438,-0.33881803,-78.20390458,4069
1664,185142,439,-0.33881802,-78.20387765,4068
1665,185143,440,-0.33881802,-78.20385073,4067
1666,185144,441,-0.33881801,-78.2038238,4066
1667,185145,442,-0.338818,-78.20379687,4065
1668,185146,443,-0.33881799,-78.20376994,4064
1669,185147,444,-0.33881798,-78.20374301,4063
1670,185148,445,-0.33881798,-78.20371608,4062
1671,185149,630,-0.33881797,-78.20368916,4061
1672,185150,631,-0.33881796,-78.20366223,4061
1673,185151,632,-0.33881795,-78.2036353,4060
1674,185152,636,-0.33881795,-78.20360837,4059
1675,185153,637,-0.33881794,-78.20358144,4059
1676,185154,638,-0.33881793,-78.20355451,4058
1677,185155,639,-0.33881792,-78.20352759,4057
1678,185156,1110,-0.33881772,-78.20282745,4044
1679,185157,6200,-0.33881748,-78.2020196,4018
1680,185158,785,-0.33881747,-78.20196574,4017
1681,185159,354,-0.33881732,-78.2014541,4003
1682,185160,1293,-0.3388171,-78.20070011,3995
1683,185161,2104,-0.33881664,-78.19913827,3959
1684,185162,1169,-0.33881662,-78.19905748,3959
1685,185163,1029,-0.33881661,-78.19903055,3959
1686,185164,96710,-0.33881637,-78.19819578,3964
1687,185165,680,-0.33881635,-78.19814192,3964
1688,185166,5620,-0.33881599,-78.19690322,3989
1689,185240,444,-0.33884503,-78.20352758,4057
1690,185241,445,-0.33884502,-78.20350065,4057
1691,185242,446,-0.33884502,-78.20347372,4056
1692,185243,1979,-0.33884501,-78.20344679,4055
1693,185244,1980,-0.338845,-78.20341986,4055
1694,185245,1981,-0.33884499,-78.20339294,4054
1695,185246,1982,-0.33884498,-78.20336601,4054
1696,185247,1983,-0.33884498,-78.20333908,4053
1697,185248,1984,-0.33884497,-78.20331215,4053
1698,185249,1985,-0.33884496,-78.20328522,4052
1699,185250,1986,-0.33884495,-78.20325829,4052
1700,185251,1987,-0.33884494,-78.20323137,4052
1701,185252,1988,-0.33884494,-78.20320444,4051
1702,185253,2000,-0.33884493,-78.20317751,4051
1703,185254,1124,-0.33884482,-78.20280051,4043
1704,185255,1125,-0.33884481,-78.20277358,4043
1705,185256,1126,-0.3388448,-78.20274665,4042
1706,185257,1127,-0.3388448,-78.20271973,4041
1707,185258,1128,-0.33884479,-78.2026928,4040
1708,185259,1129,-0.33884478,-78.20266587,4039
1709,185260,6201,-0.33884458,-78.20199266,4017
1710,185261,787,-0.33884458,-78.20196573,4016
1711,185262,355,-0.33884443,-78.20145409,4002
1712,185263,1299,-0.33884422,-78.20072703,3995
1713,185264,2119,-0.33884375,-78.19911133,3959
1714,185265,1170,-0.33884373,-78.19905747,3959
1715,185266,1030,-0.33884372,-78.19903055,3959
1716,185267,96717,-0.33884349,-78.1982227,3963
1717,185268,704,-0.33884346,-78.19814191,3964
1718,185269,5621,-0.3388431,-78.19690321,3989
1719,185336,434,-0.3388722,-78.20371607,4062
1720,185337,435,-0.33887219,-78.20368914,4062
1721,185338,436,-0.33887218,-78.20366221,4061
1722,185339,437,-0.33887217,-78.20363528,4060
1723,185340,438,-0.33887216,-78.20360836,4060
1724,185341,439,-0.33887216,-78.20358143,4059
1725,185342,440,-0.33887215,-78.2035545,4058
1726,185343,1530,-0.33887212,-78.20347371,4056
1727,185344,2178,-0.33887203,-78.20315057,4050
1728,185345,2179,-0.33887202,-78.20312364,4050
1729,185346,2180,-0.33887202,-78.20309672,4050
1730,185347,2181,-0.33887201,-78.20306979,4049
1731,185348,2182,-0.338872,-78.20304286,4049
1732,185349,2183,-0.33887199,-78.20301593,4049
1733,185350,2184,-0.33887198,-78.202989,4048
1734,185351,2185,-0.33887198,-78.20296207,4048
1735,185352,2186,-0.33887197,-78.20293515,4047
1736,185353,2187,-0.33887196,-78.20290822,4047
1737,185354,2188,-0.33887195,-78.20288129,4046
1738,185355,2189,-0.33887194,-78.20285436,4045
1739,185356,2190,-0.33887194,-78.20282743,4044
1740,185357,2191,-0.33887193,-78.2028005,4043
1741,185358,2192,-0.33887192,-78.20277358,4043
1742,185359,2193,-0.33887191,-78.20274665,4042
1743,185360,2194,-0.33887191,-78.20271972,4041
1744,185361,2195,-0.3388719,-78.20269279,4040
1745,185362,3326,-0.33887189,-78.20266586,4039
1746,185363,6990,-0.33887169,-78.20196572,4015
1747,185364,358,-0.33887153,-78.20142716,4001
1748,185365,1353,-0.33887133,-78.20075395,3994
1749,185366,2134,-0.33887085,-78.19908439,3958
1750,185367,1171,-0.33887084,-78.19905747,3958
1751,185368,1305,-0.33887083,-78.19903054,3958
1752,185369,96718,-0.3388706,-78.19822269,3963
1753,185370,725,-0.33887058,-78.19816883,3963
1754,185371,5648,-0.33887021,-78.19690321,3989
1755,185435,344,-0.33889931,-78.20374299,4063
1756,185436,1519,-0.33889928,-78.20363528,4060
1757,185437,1520,-0.33889927,-78.20360835,4060
1758,185438,1521,-0.33889927,-78.20358142,4059
1759,185439,1525,-0.33889926,-78.20355449,4058
1760,185440,1526,-0.33889925,-78.20352756,4058
1761,185441,1527,-0.33889924,-78.20350063,4057
1762,185442,846,-0.33889904,-78.2028005,4043
1763,185443,847,-0.33889903,-78.20277357,4043
1764,185444,848,-0.33889902,-78.20274664,4042
1765,185445,849,-0.33889901,-78.20271971,4041
1766,185446,850,-0.33889901,-78.20269278,4040
1767,185447,851,-0.338899,-78.20266585,4039
1768,185448,3327,-0.33889899,-78.20263893,4039
1769,185449,6993,-0.3388988,-78.20196572,4014
1770,185450,361,-0.33889863,-78.20140022,4000
1771,185451,1355,-0.33889844,-78.20075394,3994
1772,185452,2135,-0.33889796,-78.19908439,3958
1773,185453,1172,-0.33889795,-78.19905746,3958
1774,185454,1306,-0.33889794,-78.19903053,3958
1775,185455,96719,-0.33889771,-78.19822268,3962
1776,185456,805,-0.3388977,-78.19819575,3962
1777,185457,5664,-0.33889732,-78.1969032,3989
1778,185525,1515,-0.3389264,-78.2036622,4061
1779,185526,771,-0.33892631,-78.20336598,4054
1780,185527,772,-0.3389263,-78.20333906,4054
1781,185528,795,-0.3389263,-78.20331213,4053
1782,185529,796,-0.33892629,-78.2032852,4053
1783,185530,812,-0.33892628,-78.20325827,4052
1784,185531,813,-0.33892627,-78.20323134,4052
1785,185532,814,-0.33892627,-78.20320441,4051
1786,185533,815,-0.33892626,-78.20317749,4051
1787,185534,816,-0.33892625,-78.20315056,4050
1788,185535,817,-0.33892624,-78.20312363,4050
1789,185536,818,-0.33892623,-78.2030967,4050
1790,185537,819,-0.33892623,-78.20306977,4049
1791,185538,820,-0.33892622,-78.20304284,4049
1792,185539,821,-0.33892621,-78.20301592,4049
1793,185540,822,-0.3389262,-78.20298899,4048
1794,185541,823,-0.33892619,-78.20296206,4048
1795,185542,824,-0.33892619,-78.20293513,4047
1796,185543,825,-0.33892618,-78.2029082,4047
1797,185544,826,-0.33892617,-78.20288127,4046
1798,185545,827,-0.33892616,-78.20285434,4045
1799,185546,828,-0.33892616,-78.20282742,4044
1800,185547,858,-0.3389261,-78.20263892,4038
1801,185548,4187,-0.33892609,-78.20261199,4037
1802,185549,4189,-0.33892609,-78.20258506,4036
1803,185550,4191,-0.33892608,-78.20255813,4035
1804,185551,4193,-0.33892607,-78.2025312,4034
1805,185552,4218,-0.33892606,-78.20250428,4033
1806,185553,4221,-0.33892605,-78.20247735,4032
1807,185554,4224,-0.33892605,-78.20245042,4031
1808,185555,4229,-0.33892604,-78.20242349,4030
1809,185556,7004,-0.3389259,-78.20193878,4013
1810,185557,362,-0.33892574,-78.20140021,4000
1811,185558,1364,-0.33892556,-78.20078086,3993
1812,185559,2136,-0.33892507,-78.19908438,3958
1813,185560,1173,-0.33892506,-78.19905745,3958
1814,185561,1307,-0.33892505,-78.19903052,3958
1815,185562,96720,-0.33892481,-78.19822267,3962
1816,185563,807,-0.33892481,-78.19819575,3962
1817,185564,5689,-0.33892444,-78.19693012,3988
1818,185634,1511,-0.33895352,-78.20368912,4062
