OBJECTID,pointid,FloAccu,Ele,lat,lon
9216,167784,446,4010,-0.33401809,-78.19841257
9217,167785,655,4010,-0.33401808,-78.19838564
9218,167786,370,4010,-0.33401806,-78.19830486
9219,167787,46555,4026,-0.33401774,-78.1972008
9220,167883,1214,4043,-0.3340461,-78.20156318
9221,167884,4712,4043,-0.3340461,-78.20153625
9222,167885,1280,4044,-0.33404597,-78.20110539
9223,167886,863,4009,-0.33404554,-78.19959741
9224,167887,644,4009,-0.33404549,-78.19940891
9225,167888,903,4009,-0.33404546,-78.19932813
9226,167889,996,4009,-0.33404545,-78.19927427
9227,167890,1104,4009,-0.3340452,-78.19841256
9228,167891,373,4010,-0.33404518,-78.19833178
9229,167892,46560,4026,-0.33404485,-78.19720079
9230,167988,1215,4043,-0.33407321,-78.20156317
9231,167989,4713,4043,-0.33407321,-78.20153624
9232,167990,1281,4044,-0.33407308,-78.20110539
9233,167991,864,4008,-0.33407265,-78.1995974
9234,167992,645,4008,-0.3340726,-78.1994089
9235,167993,919,4008,-0.33407258,-78.19935505
9236,167994,1031,4009,-0.33407256,-78.19927426
9237,167995,1108,4009,-0.33407232,-78.19843949
9238,167996,377,4009,-0.33407229,-78.1983587
9239,167997,46573,4026,-0.33407196,-78.19720079
9240,168079,1216,4043,-0.33410032,-78.20156316
9241,168080,4714,4043,-0.33410032,-78.20153623
9242,168081,1282,4044,-0.33410019,-78.20110538
9243,168082,1108,4008,-0.33409976,-78.19959739
9244,168083,646,4008,-0.33409971,-78.1994089
9245,168084,920,4008,-0.33409969,-78.19935504
9246,168085,1035,4008,-0.33409967,-78.19930118
9247,168086,1112,4008,-0.33409943,-78.19846641
9248,168087,379,4009,-0.33409941,-78.19838562
9249,168088,46577,4026,-0.33409907,-78.19720078
9250,168182,1217,4043,-0.33412743,-78.20156315
9251,168183,4715,4043,-0.33412743,-78.20153622
9252,168184,1283,4044,-0.3341273,-78.20110537
9253,168185,1118,4007,-0.33412686,-78.19957046
9254,168186,647,4008,-0.33412681,-78.19940889
9255,168187,922,4008,-0.3341268,-78.19935503
9256,168188,1036,4008,-0.33412678,-78.19930117
9257,168189,1113,4008,-0.33412654,-78.1984664
9258,168190,383,4008,-0.33412653,-78.19841254
9259,168191,46578,4026,-0.33412618,-78.19720077
9260,168294,1218,4043,-0.33415454,-78.20156314
9261,168295,4716,4043,-0.33415453,-78.20153622
9262,168296,1360,4043,-0.33415441,-78.20110536
9263,168297,1119,4007,-0.33415397,-78.19957045
9264,168298,648,4007,-0.33415392,-78.19940888
9265,168299,1016,4007,-0.33415392,-78.19938195
9266,168300,1043,4008,-0.33415389,-78.19930117
9267,168301,1114,4008,-0.33415365,-78.19846639
9268,168302,385,4008,-0.33415365,-78.19843946
9269,168303,46629,4025,-0.33415329,-78.19720076
9270,168379,1219,4043,-0.33418165,-78.20156314
9271,168380,4717,4043,-0.33418164,-78.20153621
9272,168381,1366,4043,-0.33418151,-78.20107843
9273,168382,1130,4006,-0.33418107,-78.19954351
9274,168383,1666,4007,-0.33418103,-78.19940887
9275,168384,1047,4007,-0.33418101,-78.19932809
9276,168385,1502,4007,-0.33418076,-78.19846638
9277,168386,46783,4025,-0.3341804,-78.19720076
9278,168482,1401,4042,-0.33420876,-78.20156313
9279,168483,4718,4042,-0.33420875,-78.2015362
9280,168484,1367,4043,-0.33420862,-78.20107842
9281,168485,1131,4006,-0.33420818,-78.19954351
9282,168486,1672,4006,-0.33420815,-78.19943579
9283,168487,1049,4007,-0.33420813,-78.19935501
9284,168488,1503,4007,-0.33420787,-78.19846638
9285,168489,365,4008,-0.33420782,-78.19827788
9286,168490,46789,4025,-0.33420751,-78.19720075
9287,168586,1402,4042,-0.33423587,-78.20156312
9288,168587,4913,4042,-0.33423585,-78.20150926
9289,168588,1473,4043,-0.33423573,-78.20107841
9290,168589,1396,4006,-0.33423529,-78.1995435
9291,168590,1673,4006,-0.33423526,-78.19943579
9292,168591,1053,4006,-0.33423524,-78.19938193
9293,168592,1759,4007,-0.33423498,-78.19846637
9294,168593,388,4008,-0.33423494,-78.19833173
9295,168594,386,4008,-0.33423493,-78.1983048
9296,168595,46796,4025,-0.33423462,-78.19720074
9297,168596,431,4071,-0.33423411,-78.19542348
9298,168597,419,4071,-0.3342341,-78.19539655
9299,168701,1403,4042,-0.33426298,-78.20156311
9300,168702,4915,4042,-0.33426296,-78.20150926
9301,168703,1477,4043,-0.33426284,-78.2010784
9302,168704,1457,4005,-0.33426239,-78.19951656
9303,168705,1679,4005,-0.33426238,-78.19946271
9304,168706,1055,4006,-0.33426235,-78.19938192
9305,168707,305,4006,-0.33426211,-78.19852022
9306,168708,1886,4006,-0.3342621,-78.19849329
9307,168709,462,4007,-0.33426206,-78.19835865
9308,168710,46797,4025,-0.33426173,-78.19720073
9309,168711,438,4070,-0.33426122,-78.1954504
9310,168786,1404,4042,-0.33429009,-78.20156311
9311,168787,5019,4041,-0.33429007,-78.20148232
9312,168788,1517,4042,-0.33428994,-78.20105147
9313,168789,1458,4005,-0.3342895,-78.19951655
9314,168790,1680,4005,-0.33428949,-78.1994627
9315,168791,1059,4005,-0.33428947,-78.19940884
9316,168792,306,4006,-0.33428921,-78.19852021
9317,168793,1887,4006,-0.33428921,-78.19849328
9318,168794,475,4007,-0.33428918,-78.19838557
9319,168795,46813,4024,-0.33428884,-78.19720072
9320,168796,463,4070,-0.33428833,-78.19545039
9321,168885,1465,4041,-0.3343172,-78.2015631
9322,168886,5020,4041,-0.33431718,-78.20148231
9323,168887,1518,4042,-0.33431705,-78.20105146
9324,168888,1572,4005,-0.33431661,-78.19951655
9325,168889,1681,4005,-0.3343166,-78.19946269
9326,168890,1141,4005,-0.33431658,-78.19940883
9327,168891,307,4006,-0.33431632,-78.1985202
9328,168892,1888,4006,-0.33431632,-78.19849327
9329,168893,479,4006,-0.33431629,-78.19841249
9330,168894,46823,4024,-0.33431594,-78.19720072
9331,168895,471,4069,-0.33431545,-78.19547731
9332,168997,383,4042,-0.33434435,-78.20169773
9333,168998,1469,4041,-0.3343443,-78.20153616
9334,168999,5021,4041,-0.33434428,-78.20148231
9335,169000,1547,4042,-0.33434416,-78.20105145
9336,169001,1656,4004,-0.33434371,-78.19948961
9337,169002,1682,4004,-0.3343437,-78.19946268
9338,169003,1145,4004,-0.3343437,-78.19943575
9339,169004,308,4006,-0.33434343,-78.19852019
9340,169005,1889,4006,-0.33434343,-78.19849326
9341,169006,480,4006,-0.3343434,-78.19841248
9342,169007,46885,4024,-0.33434305,-78.19720071
9343,169008,505,4069,-0.33434256,-78.1954773
9344,169095,384,4042,-0.33437146,-78.20169772
9345,169096,1473,4040,-0.3343714,-78.20150923
9346,169097,5050,4040,-0.33437139,-78.2014823
9347,169098,1565,4042,-0.33437127,-78.20105144
9348,169099,1657,4004,-0.33437082,-78.1994896
9349,169100,1683,4004,-0.33437081,-78.19946268
9350,169101,1146,4004,-0.33437081,-78.19943575
9351,169102,309,4005,-0.33437054,-78.19852019
9352,169103,1898,4005,-0.33437054,-78.19849326
9353,169104,494,4006,-0.33437051,-78.19841247
9354,169105,46889,4024,-0.33437016,-78.1972007
9355,169106,542,4068,-0.33436968,-78.19550422
9356,169188,652,4041,-0.33439856,-78.20167079
9357,169189,1474,4040,-0.33439851,-78.20150922
9358,169190,5051,4040,-0.3343985,-78.20148229
9359,169191,1605,4042,-0.33439837,-78.20102451
9360,169192,1695,4004,-0.33439793,-78.1994896
9361,169193,1684,4004,-0.33439792,-78.19946267
9362,169194,1147,4004,-0.33439792,-78.19943574
9363,169195,310,4005,-0.33439765,-78.19852018
9364,169196,1899,4005,-0.33439764,-78.19849325
9365,169197,498,4005,-0.33439763,-78.19843939
9366,169198,46984,4023,-0.33439728,-78.19722762
9367,169199,552,4068,-0.33439678,-78.19550422
9368,169283,654,4041,-0.33442566,-78.20164385
9369,169284,1475,4040,-0.33442562,-78.20150921
9370,169285,5052,4040,-0.33442561,-78.20148228
9371,169286,1615,4042,-0.33442547,-78.20099757
9372,169287,3425,4003,-0.33442503,-78.19946266
9373,169288,1190,4003,-0.33442502,-78.19943573
9374,169289,327,4005,-0.3344249,-78.19900488
9375,169290,311,4004,-0.33442476,-78.19852017
9376,169291,1902,4004,-0.33442475,-78.19849324
9377,169292,499,4005,-0.33442474,-78.19843939
9378,169293,46994,4023,-0.33442439,-78.19722761
9379,169294,569,4067,-0.3344239,-78.19553114
9380,169374,656,4040,-0.33445276,-78.20161692
9381,169375,1497,4039,-0.33445273,-78.2015092
9382,169376,5066,4039,-0.33445272,-78.20148227
9383,169377,1616,4042,-0.33445258,-78.20099757
9384,169378,3426,4003,-0.33445214,-78.19946265
9385,169379,1191,4003,-0.33445213,-78.19943572
9386,169380,347,4005,-0.33445201,-78.19900487
9387,169381,312,4004,-0.33445187,-78.19852016
9388,169382,1903,4004,-0.33445186,-78.19849323
9389,169383,505,4004,-0.33445185,-78.19843938
9390,169384,47000,4023,-0.3344515,-78.19722761
9391,169385,607,4067,-0.33445102,-78.19555806
9392,169484,657,4040,-0.33447987,-78.20161691
9393,169485,1498,4039,-0.33447984,-78.2015092
9394,169486,5067,4039,-0.33447983,-78.20148227
9395,169487,1636,4042,-0.33447969,-78.20099756
9396,169488,3427,4003,-0.33447925,-78.19946264
9397,169489,1192,4003,-0.33447924,-78.19943572
9398,169490,354,4004,-0.33447911,-78.19897794
9399,169491,313,4003,-0.33447898,-78.19852015
9400,169492,1904,4003,-0.33447897,-78.19849323
9401,169493,508,4003,-0.33447896,-78.1984663
9402,169494,47011,4023,-0.33447861,-78.1972276
9403,169495,636,4066,-0.33447814,-78.19558498
9404,169573,310,4069,-0.33450725,-78.20255939
9405,169574,659,4039,-0.33450697,-78.20158997
9406,169575,1501,4039,-0.33450695,-78.20150919
9407,169576,5068,4039,-0.33450694,-78.20148226
9408,169577,1658,4042,-0.3345068,-78.20099755
9409,169578,3466,4002,-0.33450636,-78.19946264
9410,169579,1193,4002,-0.33450635,-78.19943571
9411,169580,360,4004,-0.33450622,-78.19897793
9412,169581,314,4003,-0.33450609,-78.19852015
9413,169582,1905,4003,-0.33450608,-78.19849322
9414,169583,509,4003,-0.33450607,-78.19846629
9415,169584,47017,4023,-0.33450572,-78.19722759
9416,169585,660,4066,-0.33450525,-78.1956119
9417,169674,332,4068,-0.33453435,-78.20253246
9418,169675,335,4067,-0.33453434,-78.20250553
9419,169676,336,4067,-0.33453434,-78.2024786
9420,169677,337,4066,-0.33453433,-78.20245167
9421,169678,338,4065,-0.33453432,-78.20242474
9422,169679,339,4064,-0.33453431,-78.20239782
9423,169680,340,4063,-0.33453431,-78.20237089
9424,169681,341,4062,-0.3345343,-78.20234396
9425,169682,342,4061,-0.33453429,-78.20231703
9426,169683,343,4060,-0.33453428,-78.2022901
9427,169684,937,4039,-0.33453407,-78.20156304
9428,169685,6599,4038,-0.33453405,-78.20148225
9429,169686,1690,4041,-0.3345339,-78.20097061
9430,169687,3492,4002,-0.33453347,-78.19946263
9431,169688,1194,4002,-0.33453346,-78.1994357
9432,169689,367,4003,-0.33453332,-78.19895099
9433,169690,315,4002,-0.3345332,-78.19852014
9434,169691,1906,4002,-0.33453319,-78.19849321
9435,169692,510,4002,-0.33453318,-78.19846628
9436,169693,47018,4023,-0.33453283,-78.19722758
9437,169694,385,4045,-0.33453259,-78.19639281
9438,169695,666,4065,-0.33453238,-78.19566575
9439,169696,665,4065,-0.33453237,-78.19563882
9440,169788,421,4059,-0.33456138,-78.20226317
9441,169789,422,4059,-0.33456138,-78.20223624
9442,169790,423,4058,-0.33456137,-78.20220931
9443,169791,424,4057,-0.33456136,-78.20218238
9444,169792,942,4038,-0.33456117,-78.2015361
9445,169793,6600,4038,-0.33456116,-78.20148224
9446,169794,1696,4041,-0.33456101,-78.20097061
9447,169795,3493,4002,-0.33456058,-78.19946262
9448,169796,1195,4002,-0.33456057,-78.19943569
9449,169797,379,4003,-0.33456043,-78.19895098
9450,169798,316,4002,-0.33456031,-78.19852013
9451,169799,1907,4002,-0.3345603,-78.1984932
9452,169800,511,4002,-0.33456029,-78.19846628
9453,169801,47065,4022,-0.33455994,-78.19722758
9454,169802,386,4045,-0.3345597,-78.1963928
9455,169803,716,4064,-0.33455949,-78.19569267
9456,169992,428,4056,-0.33458846,-78.20215544
9457,169993,429,4056,-0.33458845,-78.20212852
9458,169994,430,4055,-0.33458845,-78.20210159
9459,169995,945,4038,-0.33458828,-78.20150916
9460,169996,6601,4038,-0.33458827,-78.20148224
9461,169997,1713,4040,-0.33458811,-78.20094367
9462,169998,3501,4001,-0.33458769,-78.19946261
9463,169999,1196,4001,-0.33458768,-78.19943569
9464,170000,384,4002,-0.33458753,-78.19892405
9465,170001,385,4002,-0.33458753,-78.19889712
9466,170002,474,4001,-0.33458752,-78.19887019
9467,170003,317,4001,-0.33458742,-78.19852012
9468,170004,1908,4001,-0.33458741,-78.1984932
9469,170005,512,4001,-0.3345874,-78.19846627
9470,170006,47066,4022,-0.33458705,-78.19722757
9471,170007,387,4044,-0.3345868,-78.19639279
9472,170008,741,4063,-0.33458661,-78.19571959
9473,170124,472,4054,-0.33461555,-78.20207465
9474,170125,473,4054,-0.33461554,-78.20204772
9475,170126,474,4053,-0.33461553,-78.2020208
9476,170127,475,4052,-0.33461553,-78.20199387
9477,170128,476,4051,-0.33461552,-78.20196694
9478,170129,477,4050,-0.33461551,-78.20194001
