OBJECTID,pointid,FloAccu,ele,lat,lon
355,38846,2385,4040,-0.30086596,-78.20814261
356,38847,457,4041,-0.30086576,-78.20736169
357,38848,2425,4044,-0.30086556,-78.20660769
358,38849,602,4052,-0.30086538,-78.20588063
359,38850,601,4052,-0.30086537,-78.2058537
360,38965,3494,4033,-0.30089318,-78.20857346
361,38966,2698,4033,-0.30089317,-78.20854653
362,38967,2602,4034,-0.30089314,-78.20841189
363,38968,2600,4035,-0.30089313,-78.20838496
364,38969,2598,4037,-0.30089313,-78.20835803
365,38970,463,4041,-0.30089287,-78.20736168
366,38971,2437,4043,-0.30089268,-78.20663462
367,38972,599,4053,-0.30089247,-78.20582677
368,38973,598,4053,-0.30089247,-78.20579984
369,39044,3511,4033,-0.3009203,-78.20860038
370,39045,2699,4033,-0.30092028,-78.20854652
371,39046,2621,4034,-0.30092026,-78.20846574
372,39047,2619,4034,-0.30092026,-78.20843881
373,39048,477,4041,-0.30091998,-78.20736167
374,39049,2438,4043,-0.3009198,-78.20666154
375,39050,596,4054,-0.30091957,-78.2057729
376,39051,595,4054,-0.30091956,-78.20574597
377,39145,3512,4033,-0.30094741,-78.20860037
378,39146,2701,4033,-0.3009474,-78.20857345
379,39147,2640,4033,-0.30094739,-78.20851959
380,39148,2639,4033,-0.30094738,-78.20849266
381,39149,493,4040,-0.30094709,-78.2073886
382,39150,2439,4043,-0.30094691,-78.20668846
383,39151,523,4055,-0.30094666,-78.20571904
384,39351,6215,4033,-0.30097452,-78.20860037
385,39352,2642,4033,-0.3009745,-78.20854651
386,39353,507,4040,-0.30097421,-78.20741552
387,39354,2440,4043,-0.30097403,-78.20671538
388,39355,520,4056,-0.30097377,-78.2056921
389,39356,518,4056,-0.30097376,-78.20566517
390,39487,8875,4033,-0.30100163,-78.20860036
391,39488,2644,4033,-0.30100162,-78.20857343
392,39489,509,4040,-0.30100132,-78.20741551
393,39490,2441,4043,-0.30100115,-78.2067423
394,39491,511,4057,-0.30100086,-78.20563824
395,39492,467,4057,-0.30100085,-78.20561131
396,39592,8913,4032,-0.30102874,-78.20862728
397,39593,529,4039,-0.30102844,-78.20744243
398,39594,2442,4043,-0.30102826,-78.20676922
399,39595,444,4058,-0.30102796,-78.20558438
400,39702,8915,4032,-0.30105585,-78.20862727
401,39703,533,4039,-0.30105555,-78.20746935
402,39704,2443,4043,-0.30105538,-78.20679614
403,39705,409,4058,-0.30105507,-78.20558437
404,39796,322,4034,-0.30108318,-78.20948898
405,39797,8916,4032,-0.30108296,-78.20862727
406,39798,537,4038,-0.30108267,-78.20749628
407,39799,2444,4043,-0.3010825,-78.20682307
408,39800,404,4059,-0.30108217,-78.20555743
409,39894,393,4037,-0.30111038,-78.20981211
410,39895,323,4034,-0.30111029,-78.20948897
411,39896,8917,4032,-0.30111007,-78.20862726
412,39897,538,4038,-0.30110978,-78.20749627
413,39898,2445,4043,-0.30110961,-78.20684999
414,40062,394,4037,-0.30113748,-78.20978518
415,40063,324,4034,-0.3011374,-78.20948896
416,40064,8918,4032,-0.30113718,-78.20862725
417,40065,539,4038,-0.30113689,-78.20749626
418,40066,2446,4043,-0.30113673,-78.20687691
419,40170,400,4035,-0.30116458,-78.20975824
420,40171,325,4034,-0.30116451,-78.20948896
421,40172,8919,4032,-0.30116429,-78.20862725
422,40173,540,4038,-0.301164,-78.20749625
423,40174,2447,4043,-0.30116384,-78.20690383
424,40273,403,4035,-0.30119168,-78.20973131
425,40274,326,4034,-0.30119162,-78.20948895
426,40275,8920,4032,-0.3011914,-78.20862724
427,40276,541,4038,-0.30119111,-78.20749625
428,40277,2448,4043,-0.30119096,-78.20693075
429,40370,405,4034,-0.30121879,-78.20970437
430,40371,327,4034,-0.30121873,-78.20948894
431,40372,8921,4031,-0.30121851,-78.20862723
432,40373,542,4038,-0.30121822,-78.20749624
433,40374,2701,4043,-0.30121808,-78.20695767
434,40652,406,4034,-0.3012459,-78.20970436
435,40653,557,4034,-0.30124584,-78.20948894
436,40654,8922,4031,-0.30124563,-78.20865415
437,40655,543,4038,-0.30124533,-78.20749623
438,40656,2748,4042,-0.30124519,-78.20698459
439,40796,415,4034,-0.30127301,-78.20973128
