"Plot Title: LUXabajo_04							",,,,,,,
"#	""Date Time"," GMT-05:00""	""Temp", °C (LGR S/N: 10801154, SEN S/N: 10801154," LBL: Blue)""	""Intensity", Lux (LGR S/N: 10801154," SEN S/N: 10801154)""	Coupler Attached (LGR S/N: 10801154)	Host Connected (LGR S/N: 10801154)	Stopped (LGR S/N: 10801154)	End Of File (LGR S/N: 10801154)",
252,6/17/2021 5:15,7.381,0,,,,
253,6/17/2021 5:30,7.381,0,,,,
254,6/17/2021 5:45,7.381,0,,,,
255,6/17/2021 6:00,7.28,0,,,,
256,6/17/2021 6:15,7.28,21.5,,,,
257,6/17/2021 6:30,7.28,43.1,,,,
258,6/17/2021 6:45,7.28,107.6,,,,
259,6/17/2021 7:00,7.28,183,,,,
260,6/17/2021 7:15,7.179,441.3,,,,
261,6/17/2021 7:30,7.179,807.3,,,,
262,6/17/2021 7:45,7.179,699.7,,,,
263,6/17/2021 8:00,7.179,958,,,,
264,6/17/2021 8:15,7.28,2066.7,,,,
265,6/17/2021 8:30,7.28,2152.8,,,,
266,6/17/2021 8:45,7.28,2411.1,,,,
267,6/17/2021 9:00,7.28,2927.8,,,,
268,6/17/2021 9:15,7.381,3788.9,,,,
269,6/17/2021 9:30,7.481,3616.7,,,,
270,6/17/2021 9:45,7.582,3444.5,,,,
271,6/17/2021 10:00,7.682,4994.5,,,,
272,6/17/2021 10:15,7.782,6200,,,,
273,6/17/2021 10:30,7.882,6200,,,,
274,6/17/2021 10:45,8.182,11711.2,,,,
275,6/17/2021 11:00,8.879,24800.2,,,,
276,6/17/2021 11:15,8.879,5511.1,,,,
277,6/17/2021 11:30,8.978,5511.1,,,,
278,6/17/2021 11:45,8.978,9300.1,,,,
279,6/17/2021 12:00,8.879,6200,,,,
280,6/17/2021 12:15,9.077,12400.1,,,,
281,6/17/2021 12:30,9.176,15155.7,,,,
282,6/17/2021 12:45,9.077,5166.7,,,,
283,6/17/2021 13:00,9.373,10677.8,,,,
284,6/17/2021 13:15,9.373,11711.2,,,,
285,6/17/2021 13:30,9.669,14466.8,,,,
286,6/17/2021 13:45,9.571,8266.7,,,,
287,6/17/2021 14:00,9.669,6544.5,,,,
288,6/17/2021 14:15,9.669,5511.1,,,,
289,6/17/2021 14:30,9.669,6200,,,,
290,6/17/2021 14:45,9.768,10333.4,,,,
291,6/17/2021 15:00,9.768,10333.4,,,,
292,6/17/2021 15:15,9.768,7233.4,,,,
293,6/17/2021 15:30,9.768,5511.1,,,,
294,6/17/2021 15:45,9.768,5166.7,,,,
295,6/17/2021 16:00,9.669,5511.1,,,,
296,6/17/2021 16:15,9.571,4305.6,,,,
297,6/17/2021 16:30,9.472,3272.2,,,,
298,6/17/2021 16:45,9.373,4477.8,,,,
299,6/17/2021 17:00,9.275,3444.5,,,,
300,6/17/2021 17:15,9.176,2325,,,,
301,6/17/2021 17:30,9.077,1550,,,,
302,6/17/2021 17:45,8.978,656.6,,,,
303,6/17/2021 18:00,8.879,226,,,,
304,6/17/2021 18:15,8.68,21.5,,,,
305,6/17/2021 18:30,8.581,0,,,,
306,6/17/2021 18:45,8.481,0,,,,
307,6/17/2021 19:00,8.382,0,,,,
308,6/17/2021 19:15,8.382,0,,,,
309,6/17/2021 19:30,8.282,0,,,,
310,6/17/2021 19:45,8.182,0,,,,
311,6/17/2021 20:00,8.082,0,,,,
312,6/17/2021 20:15,7.983,0,,,,
313,6/17/2021 20:30,7.882,0,,,,
314,6/17/2021 20:45,7.782,0,,,,
315,6/17/2021 21:00,7.682,0,,,,
316,6/17/2021 21:15,7.582,0,,,,
317,6/17/2021 21:30,7.582,0,,,,
318,6/17/2021 21:45,7.481,0,,,,
319,6/17/2021 22:00,7.481,0,,,,
320,6/17/2021 22:15,7.481,0,,,,
321,6/17/2021 22:30,7.481,0,,,,
322,6/17/2021 22:45,7.381,0,,,,
323,6/17/2021 23:00,7.381,0,,,,
324,6/17/2021 23:15,7.381,0,,,,
325,6/17/2021 23:30,7.381,0,,,,
326,6/17/2021 23:45,7.381,0,,,,
327,6/18/2021 0:00,7.381,0,,,,
328,6/18/2021 0:15,7.381,0,,,,
329,6/18/2021 0:30,7.381,0,,,,
330,6/18/2021 0:45,7.381,0,,,,
331,6/18/2021 1:00,7.381,0,,,,
332,6/18/2021 1:15,7.381,0,,,,
333,6/18/2021 1:30,7.381,0,,,,
334,6/18/2021 1:45,7.381,0,,,,
335,6/18/2021 2:00,7.381,0,,,,
336,6/18/2021 2:15,7.381,0,,,,
337,6/18/2021 2:30,7.28,0,,,,
338,6/18/2021 2:45,7.28,0,,,,
339,6/18/2021 3:00,7.28,0,,,,
340,6/18/2021 3:15,7.28,0,,,,
341,6/18/2021 3:30,7.28,0,,,,
342,6/18/2021 3:45,7.28,0,,,,
343,6/18/2021 4:00,7.28,0,,,,
344,6/18/2021 4:15,7.28,0,,,,
345,6/18/2021 4:30,7.179,0,,,,
346,6/18/2021 4:45,7.179,0,,,,
347,6/18/2021 5:00,7.179,0,,,,
348,6/18/2021 5:15,7.179,0,,,,
349,6/18/2021 5:30,7.179,0,,,,
350,6/18/2021 5:45,7.079,0,,,,
351,6/18/2021 6:00,7.079,0,,,,
352,6/18/2021 6:15,7.079,0,,,,
353,6/18/2021 6:30,6.978,86.1,,,,
354,6/18/2021 6:45,6.978,279.9,,,,
355,6/18/2021 7:00,6.978,495.1,,,,
356,6/18/2021 7:15,6.978,559.7,,,,
357,6/18/2021 7:30,6.978,839.6,,,,
358,6/18/2021 7:45,6.978,1550,,,,
359,6/18/2021 8:00,6.978,861.1,,,,
360,6/18/2021 8:15,6.978,807.3,,,,
361,6/18/2021 8:30,7.079,1463.9,,,,
362,6/18/2021 8:45,7.079,1550,,,,
363,6/18/2021 9:00,7.079,2152.8,,,,
364,6/18/2021 9:15,7.179,2755.6,,,,
365,6/18/2021 9:30,7.179,2066.7,,,,
366,6/18/2021 9:45,7.28,2152.8,,,,
367,6/18/2021 10:00,7.381,3961.1,,,,
368,6/18/2021 10:15,7.381,2755.6,,,,
