"Plot Title: LUXarriba_04"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10801151, SEN S/N: 10801151)","Intensity, Lux (LGR S/N: 10801151, SEN S/N: 10801151)","Bad Battery (LGR S/N: 10801151)","Coupler Attached (LGR S/N: 10801151)","Host Connected (LGR S/N: 10801151)","Stopped (LGR S/N: 10801151)","End Of File (LGR S/N: 10801151)"
133,10/21/21 09:45:00 PM,3.788,0.0,,,,,
134,10/21/21 10:00:00 PM,3.578,0.0,,,,,
135,10/21/21 10:15:00 PM,3.261,0.0,,,,,
136,10/21/21 10:30:00 PM,2.730,0.0,,,,,
137,10/21/21 10:45:00 PM,2.730,0.0,,,,,
138,10/21/21 11:00:00 PM,3.049,0.0,,,,,
139,10/21/21 11:15:00 PM,3.472,0.0,,,,,
140,10/21/21 11:30:00 PM,3.683,0.0,,,,,
141,10/21/21 11:45:00 PM,3.893,0.0,,,,,
142,10/22/21 12:00:00 AM,3.893,0.0,,,,,
143,10/22/21 12:15:00 AM,3.683,0.0,,,,,
144,10/22/21 12:30:00 AM,3.788,0.0,,,,,
145,10/22/21 12:45:00 AM,3.683,0.0,,,,,
146,10/22/21 01:00:00 AM,3.788,0.0,,,,,
147,10/22/21 01:15:00 AM,3.788,0.0,,,,,
148,10/22/21 01:30:00 AM,3.683,0.0,,,,,
149,10/22/21 01:45:00 AM,3.578,0.0,,,,,
150,10/22/21 02:00:00 AM,3.261,0.0,,,,,
151,10/22/21 02:15:00 AM,3.367,0.0,,,,,
152,10/22/21 02:30:00 AM,3.261,0.0,,,,,
153,10/22/21 02:45:00 AM,3.472,0.0,,,,,
154,10/22/21 03:00:00 AM,3.367,0.0,,,,,
155,10/22/21 03:15:00 AM,3.367,0.0,,,,,
156,10/22/21 03:30:00 AM,2.943,0.0,,,,,
157,10/22/21 03:45:00 AM,2.195,0.0,,,,,
158,10/22/21 04:00:00 AM,1.656,0.0,,,,,
159,10/22/21 04:15:00 AM,1.330,0.0,,,,,
160,10/22/21 04:30:00 AM,0.674,0.0,,,,,
161,10/22/21 04:45:00 AM,0.343,0.0,,,,,
162,10/22/21 05:00:00 AM,0.121,0.0,,,,,
163,10/22/21 05:15:00 AM,0.121,0.0,,,,,
164,10/22/21 05:30:00 AM,-0.102,0.0,,,,,
165,10/22/21 05:45:00 AM,-0.102,43.1,,,,,
166,10/22/21 06:00:00 AM,-0.437,387.5,,,,,
167,10/22/21 06:15:00 AM,-0.213,807.3,,,,,
168,10/22/21 06:30:00 AM,0.010,2066.7,,,,,
169,10/22/21 06:45:00 AM,0.563,2497.2,,,,,
170,10/22/21 07:00:00 AM,1.112,3788.9,,,,,
171,10/22/21 07:15:00 AM,2.088,2755.6,,,,,
172,10/22/21 07:30:00 AM,2.624,3788.9,,,,,
173,10/22/21 07:45:00 AM,4.102,9300.1,,,,,
174,10/22/21 08:00:00 AM,7.481,26178.0,,,,,
175,10/22/21 08:15:00 AM,11.041,28933.5,,,,,
176,10/22/21 08:30:00 AM,12.497,49600.3,,,,,
177,10/22/21 08:45:00 AM,13.365,34444.7,,,,,
178,10/22/21 09:00:00 AM,12.594,88178.4,,,,,
179,10/22/21 09:15:00 AM,12.497,19289.0,,,,,
180,10/22/21 09:30:00 AM,14.709,31689.1,,,,,
