"Plot Title: LUXarriba_04"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 10801151, SEN S/N: 10801151)","Coupler Attached (LGR S/N: 10801151)","Host Connected (LGR S/N: 10801151)","Stopped (LGR S/N: 10801151)","End Of File (LGR S/N: 10801151)"
161,06/27/21 06:00:00 AM,21.5,,,,
162,06/27/21 06:15:00 AM,150.7,,,,
163,06/27/21 06:30:00 AM,581.3,,,,
164,06/27/21 06:45:00 AM,2669.5,,,,
165,06/27/21 07:00:00 AM,3961.1,,,,
166,06/27/21 07:15:00 AM,4477.8,,,,
167,06/27/21 07:30:00 AM,6200.0,,,,
168,06/27/21 07:45:00 AM,11022.3,,,,
169,06/27/21 08:00:00 AM,16533.4,,,,
170,06/27/21 08:15:00 AM,9644.5,,,,
171,06/27/21 08:30:00 AM,18600.1,,,,
172,06/27/21 08:45:00 AM,35822.5,,,,
173,06/27/21 09:00:00 AM,16533.4,,,,
174,06/27/21 09:15:00 AM,17911.2,,,,
175,06/27/21 09:30:00 AM,85422.8,,,,
176,06/27/21 09:45:00 AM,126756.4,,,,
177,06/27/21 10:00:00 AM,33066.9,,,,
178,06/27/21 10:15:00 AM,42711.4,,,,
179,06/27/21 10:30:00 AM,57867.0,,,,
180,06/27/21 10:45:00 AM,49600.3,,,,
181,06/27/21 11:00:00 AM,57867.0,,,,
182,06/27/21 11:15:00 AM,42711.4,,,,
183,06/27/21 11:30:00 AM,27555.7,,,,
184,06/27/21 11:45:00 AM,31689.1,,,,
185,06/27/21 12:00:00 PM,88178.4,,,,
186,06/27/21 12:15:00 PM,42711.4,,,,
187,06/27/21 12:30:00 PM,55111.5,,,,
188,06/27/21 12:45:00 PM,42711.4,,,,
189,06/27/21 01:00:00 PM,21355.7,,,,
190,06/27/21 01:15:00 PM,22044.6,,,,
191,06/27/21 01:30:00 PM,35822.5,,,,
192,06/27/21 01:45:00 PM,24800.2,,,,
193,06/27/21 02:00:00 PM,57867.0,,,,
194,06/27/21 02:15:00 PM,42711.4,,,,
195,06/27/21 02:30:00 PM,12400.1,,,,
196,06/27/21 02:45:00 PM,12400.1,,,,
197,06/27/21 03:00:00 PM,49600.3,,,,
198,06/27/21 03:15:00 PM,10677.8,,,,
199,06/27/21 03:30:00 PM,14466.8,,,,
200,06/27/21 03:45:00 PM,14466.8,,,,
201,06/27/21 04:00:00 PM,10677.8,,,,
202,06/27/21 04:15:00 PM,12400.1,,,,
203,06/27/21 04:30:00 PM,46844.8,,,,
204,06/27/21 04:45:00 PM,12400.1,,,,
205,06/27/21 05:00:00 PM,5166.7,,,,
206,06/27/21 05:15:00 PM,1894.5,,,,
207,06/27/21 05:30:00 PM,3961.1,,,,
208,06/27/21 05:45:00 PM,1894.5,,,,
209,06/27/21 06:00:00 PM,1377.8,,,,
210,06/27/21 06:15:00 PM,398.3,,,,
211,06/27/21 06:30:00 PM,118.4,,,,
212,06/27/21 06:45:00 PM,0.0,,,,
213,06/27/21 07:00:00 PM,0.0,,,,
214,06/27/21 07:15:00 PM,0.0,,,,
215,06/27/21 07:30:00 PM,0.0,,,,
216,06/27/21 07:45:00 PM,0.0,,,,
217,06/27/21 08:00:00 PM,0.0,,,,
218,06/27/21 08:15:00 PM,0.0,,,,
219,06/27/21 08:30:00 PM,0.0,,,,
220,06/27/21 08:45:00 PM,0.0,,,,
221,06/27/21 09:00:00 PM,0.0,,,,
222,06/27/21 09:15:00 PM,0.0,,,,
223,06/27/21 09:30:00 PM,0.0,,,,
224,06/27/21 09:45:00 PM,0.0,,,,
225,06/27/21 10:00:00 PM,0.0,,,,
226,06/27/21 10:15:00 PM,0.0,,,,
227,06/27/21 10:30:00 PM,0.0,,,,
228,06/27/21 10:45:00 PM,0.0,,,,
229,06/27/21 11:00:00 PM,0.0,,,,
230,06/27/21 11:15:00 PM,0.0,,,,
231,06/27/21 11:30:00 PM,0.0,,,,
232,06/27/21 11:45:00 PM,0.0,,,,
233,06/28/21 12:00:00 AM,0.0,,,,
234,06/28/21 12:15:00 AM,0.0,,,,
235,06/28/21 12:30:00 AM,0.0,,,,
236,06/28/21 12:45:00 AM,0.0,,,,
237,06/28/21 01:00:00 AM,0.0,,,,
238,06/28/21 01:15:00 AM,0.0,,,,
239,06/28/21 01:30:00 AM,0.0,,,,
240,06/28/21 01:45:00 AM,0.0,,,,
241,06/28/21 02:00:00 AM,0.0,,,,
242,06/28/21 02:15:00 AM,0.0,,,,
243,06/28/21 02:30:00 AM,0.0,,,,
244,06/28/21 02:45:00 AM,0.0,,,,
245,06/28/21 03:00:00 AM,0.0,,,,
246,06/28/21 03:15:00 AM,0.0,,,,
247,06/28/21 03:30:00 AM,0.0,,,,
248,06/28/21 03:45:00 AM,0.0,,,,
249,06/28/21 04:00:00 AM,0.0,,,,
250,06/28/21 04:15:00 AM,0.0,,,,
251,06/28/21 04:30:00 AM,0.0,,,,
252,06/28/21 04:45:00 AM,0.0,,,,
253,06/28/21 05:00:00 AM,0.0,,,,
254,06/28/21 05:15:00 AM,0.0,,,,
255,06/28/21 05:30:00 AM,0.0,,,,
256,06/28/21 05:45:00 AM,0.0,,,,
257,06/28/21 06:00:00 AM,0.0,,,,
258,06/28/21 06:15:00 AM,107.6,,,,
259,06/28/21 06:30:00 AM,1033.3,,,,
260,06/28/21 06:45:00 AM,1894.5,,,,
261,06/28/21 07:00:00 AM,1894.5,,,,
262,06/28/21 07:15:00 AM,3961.1,,,,
263,06/28/21 07:30:00 AM,5166.7,,,,
264,06/28/21 07:45:00 AM,8266.7,,,,
265,06/28/21 08:00:00 AM,10333.4,,,,
266,06/28/21 08:15:00 AM,10333.4,,,,
267,06/28/21 08:30:00 AM,11022.3,,,,
268,06/28/21 08:45:00 AM,11711.2,,,,
269,06/28/21 09:00:00 AM,10677.8,,,,
270,06/28/21 09:15:00 AM,9300.1,,,,
271,06/28/21 09:30:00 AM,13777.9,,,,
272,06/28/21 09:45:00 AM,19289.0,,,,
273,06/28/21 10:00:00 AM,9644.5,,,,
274,06/28/21 10:15:00 AM,11711.2,,,,
275,06/28/21 10:30:00 AM,20666.8,,,,
276,06/28/21 10:45:00 AM,10333.4,,,,
277,06/28/21 11:00:00 AM,26178.0,,,,
278,06/28/21 11:15:00 AM,22044.6,,,,
279,06/28/21 11:30:00 AM,71644.9,,,,
280,06/28/21 11:45:00 AM,49600.3,,,,
281,06/28/21 12:00:00 PM,20666.8,,,,
282,06/28/21 12:15:00 PM,41333.6,,,,
283,06/28/21 12:30:00 PM,39955.8,,,,
284,06/28/21 12:45:00 PM,52355.9,,,,
285,06/28/21 01:00:00 PM,209423.6,,,,
286,06/28/21 01:15:00 PM,231468.2,,,,
287,06/28/21 01:30:00 PM,88178.4,,,,
288,06/28/21 01:45:00 PM,63378.2,,,,
289,06/28/21 02:00:00 PM,33066.9,,,,
290,06/28/21 02:15:00 PM,20666.8,,,,
291,06/28/21 02:30:00 PM,8266.7,,,,
292,06/28/21 02:45:00 PM,10677.8,,,,
293,06/28/21 03:00:00 PM,17222.3,,,,
294,06/28/21 03:15:00 PM,18600.1,,,,
295,06/28/21 03:30:00 PM,10677.8,,,,
296,06/28/21 03:45:00 PM,12400.1,,,,
297,06/28/21 04:00:00 PM,8611.2,,,,
298,06/28/21 04:15:00 PM,4650.0,,,,
299,06/28/21 04:30:00 PM,5166.7,,,,
300,06/28/21 04:45:00 PM,8266.7,,,,
301,06/28/21 05:00:00 PM,11022.3,,,,
302,06/28/21 05:15:00 PM,10677.8,,,,
303,06/28/21 05:30:00 PM,5166.7,,,,
304,06/28/21 05:45:00 PM,4822.3,,,,
305,06/28/21 06:00:00 PM,2755.6,,,,
306,06/28/21 06:15:00 PM,376.7,,,,
307,06/28/21 06:30:00 PM,32.3,,,,
308,06/28/21 06:45:00 PM,0.0,,,,
309,06/28/21 07:00:00 PM,0.0,,,,
310,06/28/21 07:15:00 PM,0.0,,,,
311,06/28/21 07:30:00 PM,0.0,,,,
312,06/28/21 07:45:00 PM,0.0,,,,
313,06/28/21 08:00:00 PM,0.0,,,,
314,06/28/21 08:15:00 PM,0.0,,,,
315,06/28/21 08:30:00 PM,0.0,,,,
316,06/28/21 08:45:00 PM,0.0,,,,
317,06/28/21 09:00:00 PM,0.0,,,,
318,06/28/21 09:15:00 PM,0.0,,,,
319,06/28/21 09:30:00 PM,0.0,,,,
320,06/28/21 09:45:00 PM,0.0,,,,
321,06/28/21 10:00:00 PM,0.0,,,,
322,06/28/21 10:15:00 PM,0.0,,,,
323,06/28/21 10:30:00 PM,0.0,,,,
324,06/28/21 10:45:00 PM,0.0,,,,
325,06/28/21 11:00:00 PM,0.0,,,,
326,06/28/21 11:15:00 PM,0.0,,,,
327,06/28/21 11:30:00 PM,0.0,,,,
328,06/28/21 11:45:00 PM,0.0,,,,
329,06/29/21 12:00:00 AM,0.0,,,,
330,06/29/21 12:15:00 AM,0.0,,,,
331,06/29/21 12:30:00 AM,0.0,,,,
332,06/29/21 12:45:00 AM,0.0,,,,
333,06/29/21 01:00:00 AM,0.0,,,,
334,06/29/21 01:15:00 AM,0.0,,,,
335,06/29/21 01:30:00 AM,0.0,,,,
336,06/29/21 01:45:00 AM,0.0,,,,
337,06/29/21 02:00:00 AM,0.0,,,,
338,06/29/21 02:15:00 AM,0.0,,,,
339,06/29/21 02:30:00 AM,0.0,,,,
340,06/29/21 02:45:00 AM,0.0,,,,
341,06/29/21 03:00:00 AM,0.0,,,,
342,06/29/21 03:15:00 AM,0.0,,,,
343,06/29/21 03:30:00 AM,0.0,,,,
344,06/29/21 03:45:00 AM,0.0,,,,
345,06/29/21 04:00:00 AM,0.0,,,,
346,06/29/21 04:15:00 AM,0.0,,,,
347,06/29/21 04:30:00 AM,0.0,,,,
348,06/29/21 04:45:00 AM,0.0,,,,
349,06/29/21 05:00:00 AM,0.0,,,,
350,06/29/21 05:15:00 AM,0.0,,,,
351,06/29/21 05:30:00 AM,0.0,,,,
352,06/29/21 05:45:00 AM,0.0,,,,
353,06/29/21 06:00:00 AM,10.8,,,,
354,06/29/21 06:15:00 AM,204.5,,,,
355,06/29/21 06:30:00 AM,1894.5,,,,
356,06/29/21 06:45:00 AM,2325.0,,,,
357,06/29/21 07:00:00 AM,2755.6,,,,
358,06/29/21 07:15:00 AM,5166.7,,,,
359,06/29/21 07:30:00 AM,5511.1,,,,
360,06/29/21 07:45:00 AM,11022.3,,,,
361,06/29/21 08:00:00 AM,14466.8,,,,
362,06/29/21 08:15:00 AM,14466.8,,,,
363,06/29/21 08:30:00 AM,15155.7,,,,
364,06/29/21 08:45:00 AM,22044.6,,,,
365,06/29/21 09:00:00 AM,28933.5,,,,
366,06/29/21 09:15:00 AM,34444.7,,,,
367,06/29/21 09:30:00 AM,37200.2,,,,
