Device Name:,,OM-CP-VOLT101A,,,,,,,,,
Device Description:,,Voltage Data Logger,,,,,,,,,
Serial Number:,,R37297,,,,,,,,,
Device ID:,,SynopticOld,,,,,,,,,
,,,,,,,,,,,
,,Channel 1,,,,,,,,,
Date,Time,Voltage (ppm),Tract,Description,Point,lat,lon,elev,WS,Notes,Notes_2
7/5/2021,1:02:40 PM,742,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:02:45 PM,747,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:02:50 PM,752,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:02:55 PM,752,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:03:00 PM,752,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:03:05 PM,747,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:03:10 PM,752,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:03:15 PM,747,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:03:20 PM,747,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:03:25 PM,747,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:03:30 PM,752,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:03:35 PM,762,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:03:40 PM,772,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:03:45 PM,777,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:03:50 PM,777,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:03:55 PM,782,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:04:00 PM,787,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:04:05 PM,792,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:04:10 PM,802,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:04:15 PM,15,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:04:20 PM,20,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:04:25 PM,321,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:04:30 PM,326,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:04:35 PM,326,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:04:40 PM,777,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
7/5/2021,1:04:45 PM,777,1,Starting above Antenas,1,NA,NA,NA,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving,"this never stabalized, so removed coordinates lat -0.317527028, lon -78.19216599, ele 4050.879395"
