"TOA5","Station02","CR1000","16308","CR300.Std.08.01","CPU:cr300_2soilvais.CR300","49046","Vais_stat2"
"TIMESTAMP","RECORD","Vais_stat2_Avg"
"2021-07-14 10:13:00",41892,42.89
"2021-07-14 10:14:00",41893,43.69
"2021-07-14 10:15:00",41894,31.08
"2021-07-14 10:16:00",41895,26.11
"2021-07-14 10:17:00",41896,28.6
"2021-07-14 10:18:00",41897,25.28
"2021-07-14 10:19:00",41898,61.2
"2021-07-14 10:20:00",41899,96.3
"2021-07-14 10:21:00",41900,108.8
"2021-07-14 10:22:00",41901,146.9
"2021-07-14 10:23:00",41902,157
"2021-07-14 10:24:00",41903,158.7
"2021-07-14 10:25:00",41904,165.6
"2021-07-14 10:26:00",41905,168.7
"2021-07-14 10:27:00",41906,169.9
"2021-07-14 10:28:00",41907,174.2
"2021-07-14 10:29:00",41908,174.9
"2021-07-14 10:30:00",41909,177.7
"2021-07-14 10:31:00",41910,178.9
"2021-07-14 10:32:00",41911,180.8
"2021-07-14 10:33:00",41912,181.9
"2021-07-14 10:34:00",41913,181.2
"2021-07-14 10:35:00",41914,180.5
"2021-07-14 10:36:00",41915,180.9
"2021-07-14 10:37:00",41916,183.4
"2021-07-14 10:38:00",41917,181.8
"2021-07-14 10:39:00",41918,182.2
"2021-07-14 10:40:00",41919,181.1
"2021-07-14 10:41:00",41920,182.2
"2021-07-14 10:42:00",41921,180.6
"2021-07-14 10:43:00",41922,183.4
"2021-07-14 10:44:00",41923,182.7
"2021-07-14 10:45:00",41924,184.5
"2021-07-14 10:46:00",41925,183.3
"2021-07-14 10:47:00",41926,182.7
"2021-07-14 10:48:00",41927,182.8
"2021-07-14 10:49:00",41928,181.9
"2021-07-14 10:50:00",41929,183.6
"2021-07-14 10:51:00",41930,183.7
"2021-07-14 10:52:00",41931,186.1
"2021-07-14 10:53:00",41932,184
"2021-07-14 10:54:00",41933,184.4
"2021-07-14 10:55:00",41934,184.6
"2021-07-14 10:56:00",41935,184.7
"2021-07-14 10:57:00",41936,183.6
"2021-07-14 10:58:00",41937,183
"2021-07-14 10:59:00",41938,183.1
"2021-07-14 11:00:00",41939,183.7
"2021-07-14 11:01:00",41940,184.9
"2021-07-14 11:02:00",41941,185.4
"2021-07-14 11:03:00",41942,182.7
"2021-07-14 11:04:00",41943,184.2
"2021-07-14 11:05:00",41944,183.1
"2021-07-14 11:06:00",41945,186.9
"2021-07-14 11:07:00",41946,187.1
"2021-07-14 11:08:00",41947,188
"2021-07-14 11:09:00",41948,191.5
"2021-07-14 11:10:00",41949,194.7
"2021-07-14 11:11:00",41950,196.6
"2021-07-14 11:12:00",41951,197.4
"2021-07-14 11:13:00",41952,202.2
"2021-07-14 11:14:00",41953,205
"2021-07-14 11:15:00",41954,208.5
"2021-07-14 11:16:00",41955,211.3
"2021-07-14 11:17:00",41956,212.7
"2021-07-14 11:18:00",41957,216.2
"2021-07-14 11:19:00",41958,218.6
"2021-07-14 11:20:00",41959,219.7
"2021-07-14 11:21:00",41960,225.7
"2021-07-14 11:22:00",41961,226
"2021-07-14 11:23:00",41962,230.8
"2021-07-14 11:24:00",41963,231.6
"2021-07-14 11:25:00",41964,234.6
"2021-07-14 11:26:00",41965,238.8
"2021-07-14 11:27:00",41966,239.6
"2021-07-14 11:28:00",41967,243.9
"2021-07-14 11:29:00",41968,246.2
"2021-07-14 11:30:00",41969,248.8
"2021-07-14 11:31:00",41970,250.4
"2021-07-14 11:32:00",41971,251.6
"2021-07-14 11:33:00",41972,256.1
"2021-07-14 11:34:00",41973,256.3
"2021-07-14 11:35:00",41974,259
"2021-07-14 11:36:00",41975,260.2
"2021-07-14 11:37:00",41976,264.2
"2021-07-14 11:38:00",41977,264.9
"2021-07-14 11:39:00",41978,268
"2021-07-14 11:40:00",41979,271.2
"2021-07-14 11:41:00",41980,271.4
"2021-07-14 11:42:00",41981,276.9
"2021-07-14 11:43:00",41982,276.8
"2021-07-14 11:44:00",41983,279
"2021-07-14 11:45:00",41984,282.1
"2021-07-14 11:46:00",41985,285
"2021-07-14 11:47:00",41986,285.2
"2021-07-14 11:48:00",41987,289.1
"2021-07-14 11:49:00",41988,290.5
"2021-07-14 11:50:00",41989,292.9
"2021-07-14 11:51:00",41990,293.4
"2021-07-14 11:52:00",41991,296.8
"2021-07-14 11:53:00",41992,297.7
"2021-07-14 11:54:00",41993,300.8
"2021-07-14 11:55:00",41994,303.9
"2021-07-14 11:56:00",41995,304.6
"2021-07-14 11:57:00",41996,309.1
"2021-07-14 11:58:00",41997,308.7
"2021-07-14 11:59:00",41998,310.7
"2021-07-14 12:00:00",41999,312.2
"2021-07-14 12:01:00",42000,316.9
"2021-07-14 12:02:00",42001,317.8
"2021-07-14 12:03:00",42002,321.7
"2021-07-14 12:04:00",42003,320.3
"2021-07-14 12:05:00",42004,324.6
"2021-07-14 12:06:00",42005,327.5
"2021-07-14 12:07:00",42006,329.9
"2021-07-14 12:08:00",42007,331.3
"2021-07-14 12:09:00",42008,335.6
"2021-07-14 12:10:00",42009,334.1
"2021-07-14 12:11:00",42010,338
"2021-07-14 12:12:00",42011,339.5
"2021-07-14 12:13:00",42012,344.8
"2021-07-14 12:14:00",42013,345.8
"2021-07-14 12:15:00",42014,344.4
"2021-07-14 12:16:00",42015,352.1
"2021-07-14 12:17:00",42016,350.4
"2021-07-14 12:18:00",42017,354.5
"2021-07-14 12:19:00",42018,355.4
"2021-07-14 12:20:00",42019,359.9
"2021-07-14 12:21:00",42020,361.6
"2021-07-14 12:22:00",42021,362.9
"2021-07-14 12:23:00",42022,363.9
"2021-07-14 12:24:00",42023,368.4
"2021-07-14 12:25:00",42024,371.1
"2021-07-14 12:26:00",42025,373.5
"2021-07-14 12:27:00",42026,378.7
"2021-07-14 12:28:00",42027,380.8
"2021-07-14 12:29:00",42028,384.9
"2021-07-14 12:30:00",42029,386.1
"2021-07-14 12:31:00",42030,389.1
"2021-07-14 12:32:00",42031,390.1
"2021-07-14 12:33:00",42032,395
"2021-07-14 12:34:00",42033,397
"2021-07-14 12:35:00",42034,397.9
"2021-07-14 12:36:00",42035,400.2
"2021-07-14 12:37:00",42036,400.3
"2021-07-14 12:38:00",42037,406.2
"2021-07-14 12:39:00",42038,409.3
"2021-07-14 12:40:00",42039,408.1
"2021-07-14 12:41:00",42040,414
"2021-07-14 12:42:00",42041,412.5
"2021-07-14 12:43:00",42042,412.1
"2021-07-14 12:44:00",42043,419
"2021-07-14 12:45:00",42044,419.3
"2021-07-14 12:46:00",42045,421
"2021-07-14 12:47:00",42046,423.7
"2021-07-14 12:48:00",42047,424.6
"2021-07-14 12:49:00",42048,425.7
"2021-07-14 12:50:00",42049,429.5
"2021-07-14 12:51:00",42050,430.3
"2021-07-14 12:52:00",42051,432.1
"2021-07-14 12:53:00",42052,432.2
"2021-07-14 12:54:00",42053,435.6
"2021-07-14 12:55:00",42054,435.7
"2021-07-14 12:56:00",42055,438.7
"2021-07-14 12:57:00",42056,441.9
"2021-07-14 12:58:00",42057,444
"2021-07-14 12:59:00",42058,445.1
"2021-07-14 13:00:00",42059,446.5
"2021-07-14 13:01:00",42060,447.7
"2021-07-14 13:02:00",42061,450.4
"2021-07-14 13:03:00",42062,455
"2021-07-14 13:04:00",42063,455.4
"2021-07-14 13:05:00",42064,456.2
"2021-07-14 13:06:00",42065,459.8
"2021-07-14 13:07:00",42066,461.9
"2021-07-14 13:08:00",42067,464.9
"2021-07-14 13:09:00",42068,466.6
"2021-07-14 13:10:00",42069,468.3
"2021-07-14 13:11:00",42070,466.3
"2021-07-14 13:12:00",42071,469.1
"2021-07-14 13:13:00",42072,471.3
"2021-07-14 13:14:00",42073,473
"2021-07-14 13:15:00",42074,472
"2021-07-14 13:16:00",42075,472.5
"2021-07-14 13:17:00",42076,477
"2021-07-14 13:18:00",42077,478.2
"2021-07-14 13:19:00",42078,487.6
"2021-07-14 13:20:00",42079,490.7
"2021-07-14 13:21:00",42080,495.2
"2021-07-14 13:22:00",42081,498.8
"2021-07-14 13:23:00",42082,503.7
"2021-07-14 13:24:00",42083,508.2
"2021-07-14 13:25:00",42084,512
"2021-07-14 13:26:00",42085,514
"2021-07-14 13:27:00",42086,517
"2021-07-14 13:28:00",42087,521.8
"2021-07-14 13:29:00",42088,520.8
"2021-07-14 13:30:00",42089,528.1
"2021-07-14 13:31:00",42090,527.4
"2021-07-14 13:32:00",42091,529
"2021-07-14 13:33:00",42092,528.3
"2021-07-14 13:34:00",42093,531.3
"2021-07-14 13:35:00",42094,533
"2021-07-14 13:36:00",42095,532.1
"2021-07-14 13:37:00",42096,531.9
"2021-07-14 13:38:00",42097,529.4
"2021-07-14 13:39:00",42098,532.8
"2021-07-14 13:40:00",42099,535.5
"2021-07-14 13:41:00",42100,536.5
"2021-07-14 13:42:00",42101,535.2
"2021-07-14 13:43:00",42102,537.8
"2021-07-14 13:44:00",42103,536.1
"2021-07-14 13:45:00",42104,536.9
"2021-07-14 13:46:00",42105,537.5
"2021-07-14 13:47:00",42106,539.1
"2021-07-14 13:48:00",42107,540.2
"2021-07-14 13:49:00",42108,546.4
"2021-07-14 13:50:00",42109,543
"2021-07-14 13:51:00",42110,543.6
"2021-07-14 13:52:00",42111,541.2
"2021-07-14 13:53:00",42112,545.1
"2021-07-14 13:54:00",42113,547.5
"2021-07-14 13:55:00",42114,545.8
"2021-07-14 13:56:00",42115,547.8
"2021-07-14 13:57:00",42116,546.2
"2021-07-14 13:58:00",42117,549.7
"2021-07-14 13:59:00",42118,547.7
"2021-07-14 14:00:00",42119,548.6
"2021-07-14 14:01:00",42120,549.1
"2021-07-14 14:02:00",42121,549.2
"2021-07-14 14:03:00",42122,549.6
"2021-07-14 14:04:00",42123,552.7
"2021-07-14 14:05:00",42124,553.4
"2021-07-14 14:06:00",42125,552.7
"2021-07-14 14:07:00",42126,553.4
"2021-07-14 14:08:00",42127,531.4
"2021-07-14 14:09:00",42128,212.1
"2021-07-14 14:10:00",42129,65.05
"2021-07-14 14:11:00",42130,33.5
"2021-07-14 14:12:00",42131,30.39
"2021-07-14 14:13:00",42132,31.37
"2021-07-14 14:14:00",42133,32.31
"2021-07-14 14:15:00",42134,31.72
"2021-07-14 14:16:00",42135,30.53
"2021-07-14 14:17:00",42136,31.88
"2021-07-14 14:18:00",42137,32.86
"2021-07-14 14:19:00",42138,31.44
"2021-07-14 14:20:00",42139,36.64
"2021-07-14 14:21:00",42140,34.41
"2021-07-14 14:22:00",42141,32.73
"2021-07-14 14:23:00",42142,36.57
"2021-07-14 14:24:00",42143,42.76
"2021-07-14 14:25:00",42144,66.64
"2021-07-14 14:26:00",42145,85.2
"2021-07-14 14:27:00",42146,89.2
"2021-07-14 14:28:00",42147,87.6
"2021-07-14 14:29:00",42148,76.47
"2021-07-14 14:30:00",42149,50.69
"2021-07-14 14:31:00",42150,37.39
"2021-07-14 14:32:00",42151,37.32
"2021-07-14 14:33:00",42152,37.39
"2021-07-14 14:34:00",42153,34.71
"2021-07-14 14:35:00",42154,37.84
"2021-07-14 14:36:00",42155,35.93
"2021-07-14 14:37:00",42156,35.65
"2021-07-14 14:38:00",42157,32
"2021-07-14 14:39:00",42158,34.28
"2021-07-14 14:40:00",42159,38.88
"2021-07-14 14:41:00",42160,39.32
"2021-07-14 14:42:00",42161,35.61
"2021-07-14 14:43:00",42162,40.49
"2021-07-14 14:44:00",42163,43.55
"2021-07-14 14:45:00",42164,44.81
"2021-07-14 14:46:00",42165,116
"2021-07-14 14:47:00",42166,101.4
"2021-07-14 14:48:00",42167,94.4
"2021-07-14 14:49:00",42168,88.7
"2021-07-14 14:50:00",42169,91.3
"2021-07-14 14:51:00",42170,74.71
"2021-07-14 14:52:00",42171,58.83
"2021-07-14 14:53:00",42172,49.68
"2021-07-14 14:54:00",42173,44.61
"2021-07-14 14:55:00",42174,42.32
"2021-07-14 14:56:00",42175,42.76
"2021-07-14 14:57:00",42176,37.64
"2021-07-14 14:58:00",42177,34.46
"2021-07-14 14:59:00",42178,32.17
"2021-07-14 15:00:00",42179,34.51
"2021-07-14 15:01:00",42180,34.21
"2021-07-14 15:02:00",42181,35.29
"2021-07-14 15:03:00",42182,35.42
"2021-07-14 15:04:00",42183,35.4
"2021-07-14 15:05:00",42184,34.89
"2021-07-14 15:06:00",42185,35.12
"2021-07-14 15:07:00",42186,37.4
"2021-07-14 15:08:00",42187,35.3
"2021-07-14 15:09:00",42188,35.38
"2021-07-14 15:10:00",42189,35.33
"2021-07-14 15:11:00",42190,36.03
"2021-07-14 15:12:00",42191,37.34
"2021-07-14 15:13:00",42192,36.8
"2021-07-14 15:14:00",42193,35.38
"2021-07-14 15:15:00",42194,41.34
"2021-07-14 15:16:00",42195,36.89
"2021-07-14 15:17:00",42196,39.5
"2021-07-14 15:18:00",42197,42.34
"2021-07-14 15:19:00",42198,42.87
"2021-07-14 15:20:00",42199,45.5
"2021-07-14 15:21:00",42200,45.38
"2021-07-14 15:22:00",42201,39.12
"2021-07-14 15:23:00",42202,36.76
"2021-07-14 15:24:00",42203,38.12
"2021-07-14 15:25:00",42204,37.17
"2021-07-14 15:26:00",42205,37.76
