"","lon_fit","lat_fit","lon_dist","lat_dist","lon","lat","ele","time","lat_wypt","lon_wypt","ele_wypt","Date","EOS_no","Flux_ave","Tract","Point","CO2_ppm_ave","adjusted_ppm","DOC","TDN","AirTemp_c","VaisalaType","Total_hPa","GAVI_waterTempAve","ele_fit","slope","ante_slope","dist"
"274",-78.1940952421846,-0.31471041296339,-78.1940933874884,-0.31471141296339,-78.1940979324281,-0.314714144915342,4266.95,"2021-07-12 10:46:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.13827672185,0.0177396743607323,0.0164074128275953,449.461870530901
"273",-78.1940933874884,-0.31471141296339,-78.1940915378907,-0.31471241296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.14062231474,0.0177510330632102,0.0165080375528518,449.227311241953
"272",-78.1940915378907,-0.31471241296339,-78.1940896933786,-0.31471341296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.14296291357,0.0177617303662401,0.0166018542901163,448.993251358463
"271",-78.1940896933786,-0.31471341296339,-78.1940878539396,-0.31471441296339,-78.1941079907119,-0.314748007804155,4268.87,"2021-07-12 10:47:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.14529853391,0.0177717909836925,0.0166894699531217,448.759689324137
"270",-78.1940878539396,-0.31471441296339,-78.1940860195608,-0.31471541296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.14762919132,0.0177812383858766,0.0167714203288514,448.526623583018
"269",-78.1940860195608,-0.31471541296339,-78.1940841902296,-0.31471641296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.14995490137,0.0177900949159651,0.0168481802157404,448.294052578273
"268",-78.1940841902296,-0.31471641296339,-78.1940823659333,-0.31471741296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.1522756796,0.0177983818395979,0.0169201718796392,448.061974755909
"267",-78.1940823659333,-0.31471741296339,-78.194080546659,-0.31471841296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.15459154154,0.0178061194110886,0.0169877721817214,447.83038856107
"266",-78.194080546659,-0.31471841296339,-78.1940787323942,-0.31471941296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.15690250279,0.0178133269419357,0.0170513185344216,447.59929243679
"265",-78.1940787323942,-0.31471941296339,-78.194076923126,-0.31472041296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.15920857884,0.0178200228531187,0.0171111139354211,447.368684831468
"264",-78.194076923126,-0.31472041296339,-78.1940751188418,-0.31472141296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.16150978524,0.0178262247339106,0.0171674313092673,447.138564191406
"263",-78.1940751188418,-0.31472141296339,-78.1940733195288,-0.31472241296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.16380613752,0.0180424255713933,0.0172205171426849,446.908928963325
"262",-78.1940733195288,-0.31472241296339,-78.1940715251743,-0.31472341296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.16609765122,0.0180242125818265,0.0172705946317956,446.679777593112
"261",-78.1940715251743,-0.31472341296339,-78.1940697357656,-0.31472441296339,-78.1940851919353,-0.314745996147394,4266.95,"2021-07-12 10:48:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.16838434186,0.0182535287768775,0.017317866408642,446.451108529565
"260",-78.1940697357656,-0.31472441296339,-78.1940679512899,-0.31472541296339,-78.1941001117229,-0.314778769388795,4269.83,"2021-07-12 10:41:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.17066622496,0.0182344193944882,0.0173625168566387,446.22292021943
"259",-78.1940679512899,-0.31472541296339,-78.1940661717346,-0.31472641296339,-78.1940851919353,-0.314757227897644,4268.87,"2021-07-12 10:56:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.17294331603,0.0182150086668004,0.0174047141286519,445.995211112379
"258",-78.1940661717346,-0.31472641296339,-78.1940643970869,-0.31472741296339,-78.1940585374832,-0.314712217077613,4266.95,"2021-07-12 10:55:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.17521563061,0.0181953040163993,0.0174446119396477,445.767979654822
"257",-78.1940643970869,-0.31472741296339,-78.1940626273341,-0.31472841296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.17748318416,0.0181753127955608,0.0174823510713535,445.541224299801
"256",-78.1940626273341,-0.31472841296339,-78.1940608624635,-0.31472941296339,-78.1940558552742,-0.314716324210167,4274.16,"2021-07-12 10:51:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.17974599222,0.0181742790168445,0.0175180607389625,445.314943493436
"255",-78.1940626273341,-0.31472841296339,-78.1940608624635,-0.31472941296339,-78.1940598785877,-0.31472478993237,4273.2,"2021-07-12 10:50:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.17974599222,0.0181539075024911,0.0171708999060079,445.314943493436
"254",-78.1940608624635,-0.31472941296339,-78.1940591024622,-0.31473041296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.18200407025,0.0181332666237334,0.0172110743214498,445.089135690937
"253",-78.1940591024622,-0.31473041296339,-78.1940573473178,-0.31473141296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.18425743381,0.0181123634654558,0.0172492287328165,444.863799334466
"252",-78.1940573473178,-0.31473141296339,-78.1940555970173,-0.31473241296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.1865060983,0.0183344093523121,0.017285474900625,444.638932885147
