"","lat_fit","lon_fit","lon_dist","lat_dist","dist","lat","lon","ele","time","Date","EOS_no","Flux_ave","Point","CO2_ppm_ave","adjusted_ppm","AirTemp_c","VaisalaType","Total_hPa","COLM_waterTempAve","ele_fit"
"90",-0.34852041087091,-78.1994344946731,-78.1994340264149,-0.34853041087091,79.9435958398012,-0.348516767844558,-78.1994376238436,3898.28,2021-07-16 10:20:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3896.98042216094
"91",-0.34852041087091,-78.1994344946731,-78.1994340264149,-0.34853041087091,79.9435958398012,-0.348518528044224,-78.1994237098843,3896.36,2021-07-16 10:36:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3896.98042216094
"92",-0.34851041087091,-78.1994352757642,-78.1994344946731,-0.34852041087091,81.0601812782005,-0.348513415083289,-78.1994336843491,3898.76,2021-07-16 10:20:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.00064564724
"93",-0.34850041087091,-78.1994364841884,-78.1994352757642,-0.34851041087091,82.1814743608792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.02082919788
"94",-0.34849041087091,-78.1994382207754,-78.1994364841884,-0.34850041087091,83.3113294809221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.0410413205
"95",-0.34848041087091,-78.1994405695684,-78.1994382207754,-0.34849041087091,84.4548175964148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.06137040944
"96",-0.34847041087091,-78.1994435955433,-78.1994405695684,-0.34848041087091,85.6178595644094,-0.348469242453575,-78.1994531303644,3898.76,2021-07-16 10:21:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.08191761941
"97",-0.34847041087091,-78.1994435955433,-78.1994405695684,-0.34848041087091,85.6178595644094,-0.348474774509668,-78.199454639107,3894.92,2021-07-16 10:34:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.08191761941
"98",-0.34846041087091,-78.1994473431821,-78.1994435955433,-0.34847041087091,86.8066572717635,-0.348453484475613,-78.1994393002242,3894.44,2021-07-16 10:22:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.10278642048
"99",-0.34846041087091,-78.1994473431821,-78.1994435955433,-0.34847041087091,86.8066572717635,-0.348459100350738,-78.1994351930916,3896.36,2021-07-16 10:22:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3897.10278642048
