"","lat_fit","lon_fit","lon_dist","lat_dist","lat","lon","ele","time","Date","EOS_no","Flux_ave","Point","VaisalaType","CO2_ppm_ave","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm","ele_fit","dist_diff","dist","slope50m"
"16528",-0.328868713073492,-78.2015962371496,-78.2015962254987,-0.328868813073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.01556576694,0.011207245332514,29.9043530215737,-0.102686046062996
"16527",-0.328868813073492,-78.2015962254987,-78.2015962138162,-0.328868913073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.01317210264,0.0112076552823339,29.915560676856,-0.102727589476068
"16526",-0.328868913073492,-78.2015962138162,-78.2015962021019,-0.328869013073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.01077573948,0.0112080646750883,29.9267687415311,-0.102769190549329
"16525",-0.328869013073492,-78.2015962021019,-78.2015961903561,-0.328869113073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.00837667073,0.0112084743400374,29.9379772158711,-0.10281084943985
"16524",-0.328869113073492,-78.2015961903561,-78.2015961785787,-0.328869213073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.00597488949,0.0112088841047751,29.9491860999759,-0.102852566311159
"16523",-0.328869213073492,-78.2015961785787,-78.2015961667699,-0.328869313073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.0035703889,0.011209293612751,29.9603953935887,-0.102894341326479
"16522",-0.328869313073492,-78.2015961667699,-78.2015961549298,-0.328869413073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.00116316216,0.0112097038689001,29.9716050974576,-0.102936174642972
"16521",-0.328869413073492,-78.2015961549298,-78.2015961430585,-0.328869513073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.99875320227,0.0112101126946982,29.9828152101523,-0.102978066432072
"16520",-0.328869513073492,-78.2015961430585,-78.2015961311559,-0.328869613073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.99634050269,0.0112105232562385,29.9940257334085,-0.103020016838653
"16519",-0.328869613073492,-78.2015961311559,-78.2015961192222,-0.328869713073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.99392505618,0.011210932857125,30.0052366662656,-0.103062026039414
"16518",-0.328869713073492,-78.2015961192222,-78.2015961072575,-0.328869813073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.99150685612,0.0112113428441205,30.0164480091098,-0.103104094186741
"16517",-0.328869813073492,-78.2015961072575,-78.2015960952618,-0.328869913073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.98908589555,0.0112117520312438,30.027659761141,-0.103146221446765
"16516",-0.328869913073492,-78.2015960952618,-78.2015960832353,-0.328870013073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.9866621678,0.0112121619096399,30.0388719230506,-0.103188407971555
"16515",-0.328870013073492,-78.2015960832353,-78.2015960711781,-0.328870113073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.98423566586,0.0112125713064586,30.0500844943571,-0.103230653927811
"16514",-0.328870113073492,-78.2015960711781,-78.2015960590901,-0.328870213073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.98180638298,0.0112129805499706,30.0612974749071,-0.103272959472562
"16513",-0.328870213073492,-78.2015960590901,-78.2015960469715,-0.328870313073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4097.97937431234,0.0112133906368967,30.072510865544,-0.103315324761445
