"","lon_fit","lat_fit","ele_fit","width","depth","dist","dist_ANTE","dist_GAVI","dist_COLM","dist_GAVItrib1","dist_GAVItrib2","dist_GAVItrib3","slope50m","Wetland","Wetland_2","Wetland_3","Wetland_4","Wetland_5","CatchmentSize_ha","CatchmentSize_m2","CatchmentSize_km2","Date","EOS_no","VaisalaType","CO2_ppm_ave","pCO2_ppm","F_CO2_umol_m2_s","flux_umolpers","Flux_gCO2asCperM2perDay","Totalflux_umolpers","WaterTemp_c","AirTemp_c","air_pressure_hpa","surface_area","DOC","TDN","pCO2_air_ppm","air_pressure_hpa_adjust","air_pressure_atm","water_pressure_atm","pCO2_w_atm","pCO2_air_atm","KH_mol.l.atm","KH_mol.m3.atm","Flux_mol_m2_d","k_m_d","Sc","K600"
"21",-78.19976445,-0.347530411,3898.481785,500,30.5,1070.935823,NA,NA,1070.935823,NA,NA,NA,-0.010204451,"COLM","Colmillo","COLM","COLM","COLM",193.833,1938330,1.93833,"7/6/21","EOS1","new",830.3646154,921.4522092,1.005,36.0403978,1.041984,1320.645307,6.978,6.849,626.8694,35.86109234,NA,NA,416.45,658.0945298,0.649488825062164,0.61963985791702,0.000570968515986012,0.000270479621197138,0.0595242545835881,59.5242545835881,0.086832,4.85464427502433,1236.62697373722,6.96949233563143
"22",-78.19975087,-0.346920411,3899.003342,175,53.5,1002.255376,NA,NA,1002.255376,NA,NA,NA,0.0000069,"COLM","Colmillo","COLM","COLM","COLM",193.8069,1938069,1.938069,"7/6/21","EOS1","new",765.3294048,849.2232479,0.22,26.76235928,0.228096,1239.967634,6.978,6.847928571,626.9213643,121.6470877,NA,NA,416.45,658.08390726,0.649478341429933,0.619691142695458,0.000526256124894699,0.000270475255288496,0.0595242545835881,59.5242545835881,0.019008,1.24845932709829,1236.62697373722,1.79233064641291
"23",-78.1997358,-0.347230411,3898.863607,590,22,1036.839049,NA,NA,1036.839049,NA,NA,NA,-0.003149472,"COLM","Colmillo","COLM","COLM","COLM",193.8177,1938177,1.938177,"7/6/21","EOS2","old",738.8461538,1103.597847,1.485,44.63727485,1.539648,1284.604909,6.978,6.847,626.9664,30.05877094,NA,NA,416.45,658.14571116,0.649539337138874,0.61973558947712,0.000683938862256225,0.000270500656951484,0.0595242545835881,59.5242545835881,0.128304,5.21357498104258,1236.62697373722,7.48478545761912
"24",-78.19967273,-0.347920411,3897.820983,112.5,20.5,1117.91863,NA,NA,1117.91863,NA,NA,NA,-0.013963533,"COLM","Colmillo","COLM","COLM","COLM",193.8402,1938402,1.938402,"7/6/21","EOS2","old",660.6153846,987.1542729,2.15,121.8014268,2.22912,1442.446733,7.079,6.852,626.8684,56.65182642,NA,NA,416.45,658.17282604,0.649566097445723,0.61963887099372,0.000611679159156382,0.000270511801281271,0.0593407332200717,59.3407332200717,0.18576,9.1755439973463,1229.02670199554,13.1321808835956
"25",-78.19956692,-0.348310411,3897.523723,104.5,40.5,1164.414129,NA,NA,1164.414129,NA,NA,NA,-0.006617569,"COLM","Colmillo","COLM","COLM","COLM",193.8555,1938555,1.938555,"7/6/21","EOS1","new",882.2923077,979.2442331,1.06,54.36167589,1.099008,1496.808409,7.129,6.853,626.7424,51.28459989,NA,NA,416.45,658.08249724,0.649476949848342,0.61951451865792,0.00060665601971749,0.000270474675764342,0.0592501393538645,59.2501393538645,0.091584,4.5978693086848,1225.28512268663,6.57051751874162
"26",-78.1993405,-0.348780411,3896.444919,89,85,1223.971345,NA,NA,1223.971345,NA,NA,NA,-0.020700665,"COLM","Colmillo","COLM","COLM","COLM",210.2958,2102958,2.102958,"7/6/21","EOS1",NA,NA,NA,2.675,122.3442756,2.77344,1619.152685,NA,NA,NA,45.73617778,NA,NA,416.45,NA,NA,NA,NA,NA,NA,NA,0.23112,NA,NA,NA
"27",-78.1992679,-0.348860411,3895.989738,88,72,1236.194501,NA,NA,1236.194501,NA,NA,NA,-0.027551328,"COLM","Colmillo","COLM","COLM","COLM",210.3696,2103696,2.103696,"7/6/21","EOS2","old",684.0769231,1022.632975,1.345,31.49760514,1.394496,1650.65029,7.179,6.855,626.7694,23.41829378,NA,NA,416.45,658.29357544,0.649685267842044,0.61954116558702,0.000633563225299222,0.000270561429792819,0.0591597160378301,59.1597160378301,0.116208,5.41129453255766,1221.55733919432,7.72115865305153
"28",-78.19996523,-0.346350411,3899.002867,165,28,933.2268754,NA,NA,933.2268754,NA,NA,NA,-0.065027877,"COLM","Colmillo","COLM","COLM","COLM",190.8738,1908738,1.908738,"7/7/21","EOS2","old",556.3846154,836.6046946,0.135,10.31259008,0.139968,1120.018276,8.68,6.899,625.6314,76.38955613,NA,NA,416.45,656.79399996,0.648205301860723,0.61841804687162,0.00051737144123816,0.000269945097959898,0.0565227829131289,56.5227829131289,0.011664,0.834023020216545,1115.832165108,1.13737021489454
"29",-78.19994467,-0.346520411,3899.002999,165,28,952.534841,NA,NA,952.534841,NA,NA,NA,-0.02646224,"COLM","Colmillo","COLM","COLM","COLM",193.1535,1931535,1.931535,"7/7/21","EOS2","old",894.6923077,1345.388003,0.08,5.170667278,0.082944,1125.188943,8.7295,6.903,625.7264,64.63334097,1.719,0.0869,416.45,656.88898412,0.648299043941358,0.61851180458512,0.000832138361602701,0.000269984136849379,0.0564383202878561,56.4383202878561,0.006912,0.217858330278725,1112.54160581643,0.296658417869393
"30",-78.19993737,-0.346140411,3899.735309,154,24,909.6432784,NA,NA,909.6432784,NA,NA,NA,-0.116939886,"COLM","Colmillo","COLM","COLM","COLM",190.4778,1904778,1.904778,"7/7/21","EOS1","new",737.1446154,819.375235,1.81,47.15564017,1.876608,1109.705686,8.68,6.899,625.6314,26.05283987,1.507,0.0712,416.45,656.70610692,0.648118558171639,0.61841804687162,0.000506716432483675,0.000269908973550579,0.0565227829131289,56.5227829131289,0.156384,11.6835118513127,1115.832165108,15.9329875350446
"31",-78.1999367,-0.346540411,3899.003016,143,20,954.9547151,NA,NA,954.9547151,NA,NA,NA,-0.022097218,"COLM","Colmillo","COLM","COLM","COLM",193.3668,1933668,1.933668,"7/7/21","EOS2","old",837,1257.75926,0.44,88.0163318,0.456192,1213.205275,8.481,6.888,625.6324,200.0371177,NA,NA,416.45,656.79498208,0.648206271137834,0.61841903379492,0.000777822266315814,0.000269945501615351,0.0568639188376262,56.8639188376262,0.038016,1.31634972895266,1129.18317536063,1.80583415325801
"32",-78.19986573,-0.345870411,3903.098292,128,40,878.3681408,NA,NA,878.3681408,NA,NA,NA,-0.119903464,"COLM","Colmillo","COLM","COLM","COLM",190.3257,1903257,1.903257,"7/7/21","EOS1","new",687.4446154,764.1083701,0.785,35.41739974,0.813888,1062.550045,8.581,6.897,625.6534,45.11770668,NA,NA,416.45,656.32454896,0.647741989730615,0.61843975918422,0.000472554996395291,0.000269752151623314,0.0566921769336476,56.6921769336477,0.067824,5.89910630810273,1122.44955122019,8.06852247011438
"33",-78.19973816,-0.345690411,3906.476466,105.5,20,853.8253044,NA,NA,853.8253044,NA,NA,NA,-0.095345361,"COLM","Colmillo","COLM","COLM","COLM",187.7076,1877076,1.877076,"7/7/21","EOS1","new",678.6923077,754.3712352,0,0,0,1027.132646,8.507923077,6.890692308,625.6620154,63.64807351,1.642,0.07594,416.45,655.92778348,0.647350412633767,0.618448261923219,0.000466539579254312,0.000269589079341332,0.0568176175125787,56.8176175125787,0,0,1127.36537207571,0
"34",-78.19954955,-0.345230411,3911.819395,110,16.5,795.2167193,NA,NA,795.2167193,NA,NA,NA,-0.105123239,"COLM","Colmillo","COLM","COLM","COLM",175.5684,1755684,1.755684,"7/7/21","EOS2","old",828.5384615,1245.17563,0.33,39.89821594,0.342144,1027.132646,8.531,6.893,625.6874,120.9036847,NA,NA,416.45,655.3120166,0.646742697952527,0.61847331457642,0.000770107899115882,0.00026933599656233,0.0567779677075319,56.7779677075319,0.028512,1.00278513046846,1125.81013485167,1.37361440727441
