"","...1","lon_fit","lat_fit","ele_fit","width","depth","dist","dist_ANTE","dist_GAVI","dist_COLM","dist_GAVItrib1","dist_GAVItrib2","dist_GAVItrib3","slope50m","Wetland","Wetland_2","Wetland_3","Wetland_4","Wetland_5","CatchmentSize_ha","CatchmentSize_m2","CatchmentSize_km2","Date","EOS_no","VaisalaType","CO2_ppm_ave","adjusted_ppm","Flux_ave","flux_umolpers","Flux_gCO2asCperM2perDay","Totalflux_umolpers","WaterTemp_c","AirTemp_c","Total_hPa","air_pressure_atm","VaporPressure_atm","KH_mol.L.atm","k_m.d","Sc","K600.effective","surface_area","DOC","TDN","Join_ID","Catchment_Name","Water_area","Wet_area","Dry_area","water_precent","wet_precent","dry_precent"
"31",45,-78.19773368,-0.342970411,3928.951287,130,74.5,432.8403863,NA,NA,432.8403863,NA,NA,NA,-0.004509095,"COLM","Colmillo","COLM","COLM","COLM",166.4082,1664082,1.664082,"7/7/21","EOS1","new",949.4507692,1055.136888,0.485,22.20701619,0.502848,410.3545777,7.983,6.872,625.7914,0.617608114,0.009924491,0.056973902,14.97902714,1167.241276,20.89239849,45.78766225,NA,NA,11,"COLM_11",2768.68747335,17813.3101182,40850.8416715,4.50685253451289,28.9963972557495,66.4967502097377
"32",43,-78.19791545,-0.343410411,3927.779235,31.5,24,488.8557894,NA,NA,488.8557894,NA,NA,NA,-0.023229651,"COLM","Colmillo","COLM","COLM","COLM",169.7688,1697688,1.697688,"7/7/21","EOS2","old",833.1538462,1250.423056,2.31,55.22378311,2.395008,465.5783608,8.082,6.875,625.6154,0.617434415,0.009926536,0.056802942,58.54339236,1160.247865,81.40998005,23.90639962,NA,NA,12,"COLM_12",2739.97159794,17745.0600325,40609.696291,4.48479220901557,29.0451576367078,66.4700501542766
"33",42,-78.19807751,-0.343660411,3926.42748,60.5,61,522.1127788,NA,NA,522.1127788,NA,NA,NA,-0.038067721,"COLM","Colmillo","COLM","COLM","COLM",169.7769,1697769,1.697769,"7/7/21","EOS1","new",917.3723077,1019.784908,2.105,47.71586985,2.182464,513.2942306,8.182,6.877,625.5754,0.617394938,0.0099279,0.056630898,68.70791285,1153.232586,95.2553953,22.66787166,NA,NA,13,"COLM_13",2208.32313902,10519.3676261,25905.2760477,5.71616244157357,27.2289924743995,67.054845084027
"34",39,-78.19826536,-0.343890411,3925.455883,56.5,46,555.0581202,NA,NA,555.0581202,NA,NA,NA,-0.032702973,"COLM","Colmillo","COLM","COLM","COLM",171.0621,1710621,1.710621,"7/7/21","EOS2","old",811.6153846,1218.528675,1.95,46.45760715,2.02176,559.7518378,8.182,6.877,625.5754,0.617394938,0.0099279,0.056630898,51.29681775,1153.232586,71.1169711,23.82441392,NA,NA,14,"COLM_14",1864.91767223,8835.7240802,29062.1741823,4.69010463265789,22.2210723071115,73.0888230602306
"35",40,-78.19821968,-0.344100411,3924.651575,70,75,580.5325716,NA,NA,580.5325716,NA,NA,NA,-0.030480825,"COLM","Colmillo","COLM","COLM","COLM",172.3824,1723824,1.723824,"7/7/21","EOS1","new",1181.890769,1313.90785,1.185,36.55686787,1.228608,596.3087056,8.232,6.879,625.5334,0.617353487,0.009929264,0.056545117,28.61056869,1149.74325,39.6051169,30.84967753,NA,NA,15,"COLM_15",1482.1282564,8600.55396462,27922.9464141,3.89975987669996,22.6296847953528,73.4705553279473
"36",41,-78.19818622,-0.344320411,3923.856088,87.5,71,607.8024248,NA,NA,607.8024248,NA,NA,NA,-0.029763768,"COLM","Colmillo","COLM","COLM","COLM",173.1636,1731636,1.731636,"7/7/21","EOS2","old",892.3846154,1340.152269,1.23,15.63823108,1.275264,611.9469367,8.282,6.881,625.6254,0.617444284,0.009930627,0.056459497,29.11291103,1146.266076,40.23951409,12.71400901,NA,NA,16,"COLM_16",1404.97481283,8586.56066566,33506.9474599,3.22993980001548,19.7399083499573,77.0301518500272
"37",38,-78.19852276,-0.344560411,3922.707348,30,25.5,654.3711052,NA,NA,654.3711052,NA,NA,NA,-0.024863958,"COLM","Colmillo","COLM","COLM","COLM",174.3336,1743336,1.743336,"7/7/21","EOS2","old",877.7692308,1318.547174,4.315,375.287493,4.473792,987.2344297,8.382,6.882,625.6834,0.617501526,0.009931309,0.056288735,104.7851782,1139.348087,144.3950964,86.97276779,NA,NA,17,"COLM_17",1324.74835949,8548.41940927,32552.871215,3.12248890356484,20.1489924914796,76.7285186049556
"38",34,-78.19954955,-0.345230411,3911.819395,110,16.5,795.2167193,NA,NA,795.2167193,NA,NA,NA,-0.105123239,"COLM","Colmillo","COLM","COLM","COLM",175.5684,1755684,1.755684,"7/7/21","EOS2","old",828.5384615,1245.17563,0.33,39.89821594,0.342144,1027.132646,8.531,6.893,625.6874,0.617505474,0.009938814,0.056035482,8.658809557,1129.129758,11.87830546,120.9036847,NA,NA,18,"COLM_18",1118.8234842,7643.84525152,30301.6622528,2.86405387187814,19.5673266585989,77.5686194695229
"39",33,-78.19973816,-0.345690411,3906.476466,105.5,20,853.8253044,NA,NA,853.8253044,NA,NA,NA,-0.095345361,"COLM","Colmillo","COLM","COLM","COLM",187.7076,1877076,1.877076,"7/7/21","EOS1","new",678.6923077,754.3712352,0,0,0,1027.132646,8.507923077,6.890692308,625.6620154,0.617480421,0.009937239,0.056074614,0,1130.705378,0,63.64807351,1.642,0.07594,19,"COLM_19",644.58068124,4268.41112859,22231.7057624,2.37460991976359,15.7246589954892,81.9007310847472
"40",32,-78.19986573,-0.345870411,3903.098292,128,40,878.3681408,NA,NA,878.3681408,NA,NA,NA,-0.119903464,"COLM","Colmillo","COLM","COLM","COLM",190.3257,1903257,1.903257,"7/7/21","EOS1","new",687.4446154,764.1083701,0.785,35.41739974,0.813888,1062.550045,8.581,6.897,625.6534,0.617471918,0.009941544,0.055950813,38.18865446,1125.724661,52.30880777,45.11770668,NA,NA,20,"COLM_20",1563.63246418,6951.71673844,29666.9816358,4.0951728976342,18.2066327167356,77.6981943856302
