"","lon_fit","lat_fit","ele_fit","width","depth","dist","dist_ANTE","dist_GAVI","dist_COLM","dist_GAVItrib1","dist_GAVItrib2","dist_GAVItrib3","slope50m","Wetland","Wetland_2","Wetland_3","Wetland_4","Wetland_5","CatchmentSize_ha","CatchmentSize_m2","CatchmentSize_km2","Date","EOS_no","VaisalaType","CO2_ppm_ave","adjusted_ppm","Flux_ave","flux_umolpers","Flux_gCO2asCperM2perDay","Totalflux_umolpers","WaterTemp_c","AirTemp_c","Total_hPa","air_pressure_atm","VaporPressure_atm","KH_mol.L.atm","k_m.d","Sc","K600.effective","surface_area","DOC","TDN"
"39",-78.19826536,-0.343890411,3925.455883,56.5,46,555.0581202,NA,NA,555.0581202,NA,NA,NA,-0.032702973,"COLM","Colmillo","COLM","COLM","COLM",171.0621,1710621,1.710621,"7/7/21","EOS2","old",811.6153846,1218.528675,1.95,46.45760715,2.02176,559.7518378,8.182,6.877,625.5754,0.617394938,0.0099279,0.056630898,51.29681775,1153.232586,71.1169711,23.82441392,NA,NA
"40",-78.19821968,-0.344100411,3924.651575,70,75,580.5325716,NA,NA,580.5325716,NA,NA,NA,-0.030480825,"COLM","Colmillo","COLM","COLM","COLM",172.3824,1723824,1.723824,"7/7/21","EOS1","new",1181.890769,1313.90785,1.185,36.55686787,1.228608,596.3087056,8.232,6.879,625.5334,0.617353487,0.009929264,0.056545117,28.61056869,1149.74325,39.6051169,30.84967753,NA,NA
"41",-78.19818622,-0.344320411,3923.856088,87.5,71,607.8024248,NA,NA,607.8024248,NA,NA,NA,-0.029763768,"COLM","Colmillo","COLM","COLM","COLM",173.1636,1731636,1.731636,"7/7/21","EOS2","old",892.3846154,1340.152269,1.23,15.63823108,1.275264,611.9469367,8.282,6.881,625.6254,0.617444284,0.009930627,0.056459497,29.11291103,1146.266076,40.23951409,12.71400901,NA,NA
"42",-78.19807751,-0.343660411,3926.42748,60.5,61,522.1127788,NA,NA,522.1127788,NA,NA,NA,-0.038067721,"COLM","Colmillo","COLM","COLM","COLM",169.7769,1697769,1.697769,"7/7/21","EOS1","new",917.3723077,1019.784908,2.105,47.71586985,2.182464,513.2942306,8.182,6.877,625.5754,0.617394938,0.0099279,0.056630898,68.70791285,1153.232586,95.2553953,22.66787166,NA,NA
"43",-78.19791545,-0.343410411,3927.779235,31.5,24,488.8557894,NA,NA,488.8557894,NA,NA,NA,-0.023229651,"COLM","Colmillo","COLM","COLM","COLM",169.7688,1697688,1.697688,"7/7/21","EOS2","old",833.1538462,1250.423056,2.31,55.22378311,2.395008,465.5783608,8.082,6.875,625.6154,0.617434415,0.009926536,0.056802942,58.54339236,1160.247865,81.40998005,23.90639962,NA,NA
"44",-78.19784387,-0.342620411,3929.160172,105,50.5,391.5225427,NA,NA,391.5225427,NA,NA,NA,-0.000882555,"COLM","Colmillo","COLM","COLM","COLM",166.113,1661130,1.66113,"7/7/21","EOS2","old",848.5384615,1273.369103,2.45,267.577282,2.54016,388.1475615,8.0325,6.873,625.5694,0.617389017,0.009925173,0.056888343,60.57233228,1163.73855,84.35802073,109.2152171,NA,NA
"45",-78.19773368,-0.342970411,3928.951287,130,74.5,432.8403863,NA,NA,432.8403863,NA,NA,NA,-0.004509095,"COLM","Colmillo","COLM","COLM","COLM",166.4082,1664082,1.664082,"7/7/21","EOS1","new",949.4507692,1055.136888,0.485,22.20701619,0.502848,410.3545777,7.983,6.872,625.7914,0.617608114,0.009924491,0.056973902,14.97902714,1167.241276,20.89239849,45.78766225,NA,NA
"46",NA,NA,NA,105,58,NA,NA,NA,NA,NA,NA,NA,NA,"COLM","Colmillo","COLM","COLM","COLM",NA,NA,NA,"7/7/21","EOS1","new",NA,NA,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",-78.19957917,-0.340520411,3946.810428,53.5,27,51.02666786,NA,NA,51.02666786,NA,NA,NA,-0.036774976,"COLM","Colmillo","COLM","COLM","COLM",53.4267,534267,0.534267,"7/9/21","EOS1",NA,NA,NA,0.175,4.431923785,0.18144,-8.524839015,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.32527877,2.824,0.1087
"48",-78.19950772,-0.340090411,3948.605975,47.5,39,1.463504132,NA,NA,1.463504132,NA,NA,NA,-0.028262695,"COLM","Colmillo","COLM","COLM","COLM",50.5062,505062,0.505062,"7/9/21","EOS2","old",468.6923077,701.356737,-0.665,-12.9567628,-0.689472,-12.9567628,7.28,6.932,626.0484,0.617861753,0.009965462,0.05820633,-33.11527485,1218.304348,-47.18789842,19.48385383,2.753,0.1637
"49",-78.19934683,-0.340800411,3944.615601,55,24,94.15681054,NA,NA,94.15681054,NA,NA,NA,-0.050678935,"COLM","Colmillo","COLM","COLM","COLM",75.6369,756369,0.756369,"7/9/21","EOS2","old",591,883.8983801,0.16,4.869524079,0.165888,-3.655314936,7.179,6.927,626.2844,0.618094667,0.009962042,0.058386084,5.833501572,1225.845651,8.338186205,30.43452549,NA,NA
