"","lat_fit","lon_fit","lon_dist","lat_dist","lat","lon","ele","time","Date","EOS_no","Flux_ave","Point","VaisalaType","CO2_ppm_ave","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm","ele_fit","dist_diff","dist","slope50m"
"2705",-0.329433993153572,-78.2009576996256,-78.2009584613248,-0.329434993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4088.41495478319,0.139933805495559,656.356517471826,-0.105343189992224
"2704",-0.329434993153572,-78.2009584613248,-78.2009592231127,-0.329435993153572,-0.32941784709692,-78.2009818218648,4090.07,2021-12-18 11:23:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4088.40886203888,0.139939787712933,656.496457259539,-0.105214043304098
"2703",-0.329435993153572,-78.2009592231127,-78.2009599849915,-0.329436993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4088.40274311688,0.139945911987468,656.636403171526,-0.105107006471927
"2702",-0.329436993153572,-78.2009599849915,-78.200960746963,-0.329437993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4088.39659561785,0.139952171484595,656.776355343011,-0.105020074028179
"2701",-0.329437993153572,-78.200960746963,-78.2009615090293,-0.329438993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4088.39041714202,0.139958570514011,656.916313913525,-0.104951234467654
"2700",-0.329438993153572,-78.2009615090293,-78.2009622711926,-0.329439993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4088.38420528869,0.139965109984644,657.056279023509,-0.104898470286461
"2699",-0.329439993153572,-78.2009622711926,-78.200963033455,-0.329440993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4088.3779576563,0.139971798497868,657.196250822007,-0.104859757953859
"2698",-0.329440993153572,-78.200963033455,-78.2009637958186,-0.329441993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4088.37167184211,0.139978629239067,657.336229451246,-0.104833067978732
"2697",-0.329441993153572,-78.2009637958186,-78.2009645582856,-0.329442993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4088.36534544283,0.139985608232507,657.476215059479,-0.10481636486923
"2696",-0.329442993153572,-78.2009645582856,-78.2009653208582,-0.329443993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4088.35897605405,0.13999273898196,657.616207798461,-0.104807607176296
"2695",-0.329443993153572,-78.2009653208582,-78.2009660835387,-0.329444993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4088.35256127027,0.14000001891975,657.756207817381,-0.104804747499061
"2694",-0.329444993153572,-78.2009660835387,-78.2009668463293,-0.329445993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4088.34609868522,0.140007452402131,657.896215269783,-0.104805732482369
"2693",-0.329445993153572,-78.2009668463293,-78.2009676092324,-0.329446993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4088.33958589145,0.140015042889218,658.036230312672,-0.10497341143037
"2692",-0.329446993153572,-78.2009676092324,-78.2009683722501,-0.329447993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4088.33302048036,0.140022788724025,658.176253101396,-0.104972438323836
"2691",-0.329447993153572,-78.2009683722501,-78.2009691353849,-0.329448993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4088.32640004246,0.140030694228699,658.316283795625,-0.104966977722414
"2690",-0.329448993153572,-78.2009691353849,-78.2009698986392,-0.329449993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4088.31972216696,0.140038758607716,658.456322554232,-0.104954941004121
"2689",-0.329449993153572,-78.2009698986392,-78.2009706620153,-0.329450993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4088.31298444207,0.140046989624068,658.596369543857,-0.104934233705721
"2688",-0.329450993153572,-78.2009706620153,-78.2009714255156,-0.329451993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4088.30618445451,0.140055380470187,658.736424924327,-0.104902755553128
"2687",-0.329451993153572,-78.2009714255156,-78.2009721891426,-0.329452993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4088.2993197902,0.140063942350764,658.876488866677,-0.104858400432853
