"","x_pred","x","d","w","ele_arcpro","dist_diff","slope_mid","slope_up","catchment_ha","site"
"86",389.7769606,390,22,15,4276.847656,10,0.078222202,0.160535153,5.9562,"Ante"
"87",394.4336276,395,4,20,4276.48877,NA,NA,NA,5.9571,"Ante"
"88",399.1903176,400,7,22,4276.101563,10,0.081110441,0.078222202,5.958,"Ante"
"89",403.9470076,405,4,16,4275.71582,NA,NA,NA,5.9589,"Ante"
"90",408.7036977,410,4,16,4275.3125,10,0.097775553,0.081110441,5.9598,"Ante"
"91",413.4603877,415,4,18,4274.90918,NA,NA,NA,6.0975,"Ante"
"92",418.2170777,420,4,9,4274.241211,10,0.204635733,0.097775553,6.1254,"Ante"
"93",422.9737677,425,5,20,4273.127441,NA,NA,NA,6.1272,"Ante"
"94",427.7304578,430,2.54,15,4271.418945,10,0.306440296,0.204635733,6.129,"Ante"
"95",432.4871478,435,2.54,12,4270.350098,NA,NA,NA,6.1299,"Ante"
"96",437.2438378,440,5,14,4268.410645,10,0.199258894,0.306440296,6.1605,"Ante"
"97",442.8567321,445.9,NA,NA,4267.509766,NA,NA,NA,10.0629,"Ante"
"98",444.1906035,446,NA,NA,4267.509766,NA,NA,NA,10.0629,"Ante"
"99",451.2971085,455,31,62,4267.509766,NA,NA,NA,10.2807,"Ante"
"100",452.0867201,456,NA,NA,4267.509766,NA,NA,NA,10.2807,"Ante"
"101",455.2451668,460,20,120,4267.509766,10,NA,0.050045138,10.3284,"Ante"
"102",-20,NA,NA,NA,3946.52002,NA,NA,NA,50.2047,"Colm"
"103",-10,NA,NA,NA,3946.228516,NA,NA,NA,NA,"Colm"
"104",2.774599164,0,53,35,3946.07251,10,0.006297579,0.019649523,50.4729,"Colm"
"105",14.77237845,10,25,60,3946.07251,10,0.017265987,0.006297579,50.5512,"Colm"
"106",26.77015774,20,20,84,3945.658203,10,0.072065336,0.017265987,50.5899,"Colm"
"107",38.76793703,30,27,60,3944.343262,10,0.092251364,0.072065336,53.3835,"Colm"
"108",50.76571632,40,14,84,3943.44458,10,0.06718616,0.092251364,53.4222,"Colm"
"109",53.16527218,42,NA,NA,3943.261963,NA,NA,NA,53.4267,"Colm"
"110",59.99293351,50,30,57,3942.917236,10,0.033483442,0.06718616,75.591,"Colm"
"111",68.52751017,60,24,50,3942.849854,10,0.003947589,0.033483442,75.6306,"Colm"
"112",77.06208683,70,25,55,3942.849854,10,0,0.003947589,75.6324,"Colm"
"113",85.59666349,80,25,95,3942.849854,10,0,0,75.6342,"Colm"
"114",94.13124015,90,24,40,3942.849854,10,0,0,75.636,"Colm"
"115",96.69161314,93,NA,NA,3942.849854,NA,NA,NA,75.6369,"Colm"
"116",102.9427095,100,24,70,3942.849854,10,0,0,75.6378,"Colm"
"117",111.8728471,110,31,30,3942.849854,10,0,0,75.6396,"Colm"
"118",120.8029847,120,26,60,3942.849854,10,0,0,75.6414,"Colm"
"119",129.7331223,130,18,75,3942.849854,10,0,0,75.6432,"Colm"
"120",137.7702462,139,NA,NA,3942.849854,NA,NA,NA,75.645,"Colm"
"121",138.6632599,140,47,58,3942.849854,10,0,0,75.645,"Colm"
"122",146.7003838,149,NA,NA,3942.849854,NA,NA,NA,78.12,"Colm"
"123",147.5933975,150,22,80,3942.849854,10,0,0,78.12,"Colm"
