"","x_pred","name","x","depth","width","ele_arcpro","slope_mid","slope_up20","dist_diff","catchment_ha","Q_m3s","Flux_ave","adjusted_ppm","WaterTemp_c","Total_hPa","AirTemp_c","v_ms","eD","k600_eq1","k600_eq1_ulsethcorrection","k600_eq1_final","pCO2_air_ppm","air_pressure_atm","water_pressure_atm","pCO2_air_atm","pCO2_w_atm","KH_mol.l.atm","KH_mol.m3.atm","Sc_co2","k.m.d_eq1","F_mol_m2_d_eq1","F_CO2_molperd_eq1","dist","flux_sum"
"123810",102.9,"Colm",100,24,70,3942.849854,0.00025,0.00025,10,75.6378,0.0131968218705634,0.32688995215311,874.45108742769,7.17513059250302,626.285173881499,6.92684522370012,0.0785525111343062,0.000192650033556886,16.4543151844654,0.0256177535708755,16.4543151844654,418.53,0.618849,0.619816841,0.00025900687197,0.000541999510618446,0.0591667076510024,59.1667076510024,1221.84533408262,15.8794904634981,0.265882102818484,0.558352415918816,NA,4.53920883439505
"13291",111.9,"Colm",110,31,30,3942.849854,0.00025,0.00025,10,75.6396,0.0131971775801719,0.564186602870813,861.01821815925,7.16962877871826,626.286274244256,6.92662515114873,0.141905135270666,0.000348022344251309,16.7984473829665,0.0514766089463864,16.7984473829665,418.53,0.618849,0.619816841,0.00025900687197,0.000533673592022915,0.0591766506061154,59.1766506061154,1222.25496861085,16.2113288390929,0.263496613041544,0.23714695173739,NA,4.77635578613244
"12964",120.8,"Colm",120,26,60,3942.849854,0.00025,0.00025,10,75.6414,0.0131975332909032,0.798875598086125,847.732962838815,7.16418742442564,626.287362515115,6.92640749697703,0.0845995723775848,0.000207480451256027,16.4970805654755,0.0279606070190919,16.4970805654755,418.53,0.618849,0.619816841,0.00025900687197,0.000525439167038325,0.0591864863254476,59.1864863254476,1222.66026548063,15.9202311076568,0.251049171289279,0.451888508320702,NA,5.22824429445314
"12965",129.7,"Colm",130,18,75,3942.849854,0.00025,0.00025,10,75.6432,0.0131978890027573,1.03617224880383,834.300093570375,7.15868561064087,626.288462877872,6.92618742442563,0.0977621407611649,0.000239761650216757,16.5807886707645,0.0331629829135136,16.5807886707645,418.53,0.618849,0.619816841,0.00025900687197,0.000517113248442794,0.0591964333810358,59.1964333810358,1223.07023135392,16.0007439967959,0.24447499823135,0.550068746020537,NA,5.77831304047368
"12966",138.7,"Colm",140,47,58,3942.849854,0.00025,0.00025,10,75.645,0.013198244715734,1.21839853300734,820.571996405925,7.15306287787183,626.289587424426,6.92596251511487,0.0484161581648351,0.000118740627899258,16.1779642299172,0.0144724061243204,16.1779642299172,418.53,0.618849,0.619816841,0.00025900687197,0.000508604342625384,0.0592066011840337,59.2066011840337,1223.48937968781,15.6117440726246,0.230707511032205,0.401431069196037,NA,6.17974410966972
"12968",147.6,"Colm",150,22,80,3942.849854,0.00025,0.00025,10,78.12,0.0136884022533536,0.951222493887531,806.843899241475,7.14744014510278,626.290711970979,6.92573760580411,0.0777750128031454,0.000190743218899714,16.4485876217696,0.0253188202355464,16.4485876217696,418.53,0.618849,0.619816841,0.00025900687197,0.000500095436807973,0.0592167711415268,59.2167711415268,1223.90870218471,15.8726238351258,0.226605297820048,0.543852714768114,NA,6.72359682443783
"17821",157,"Colm",160,31,96,3942.849854,0.027687849,0.00025,10,79.2963,0.0139220879696496,0.675427872860636,792.672960233011,7.14163603385732,626.291872793229,6.92550544135429,0.0467812095754353,0.0127066091649353,19.0525860783427,3.59143930674125,19.0525860783427,418.53,0.618849,0.619816841,0.00025900687197,0.000491312050157743,0.0592272714225977,59.2272714225977,1224.3417339688,18.3851154872953,0.252957160820957,0.728516623164357,NA,7.45211344760219
"18761",166.3,"Colm",170,25,100,3942.331299,0.15980468,0.027687849,10,79.2981,0.0139224459148545,0.405378973105134,778.797249120556,7.13595284159613,626.293009431681,6.92527811366385,0.0556897836594181,0.0873039778388025,20.3821073680345,34.9087000285292,34.9087000285292,418.53,0.618849,0.619816841,0.00025900687197,0.000482711650729393,0.0592375551734246,59.2375551734246,1224.76592422511,33.6851576412062,0.446386417829695,1.33915925348909,NA,8.79127270109128
"12969",175.7,"Colm",180,24,65,3939.856934,0.295284762,0.15980468,10,79.2999,0.0139228038611372,0.132457212713936,764.773924060097,7.13020918984281,626.294158162031,6.92504836759371,0.0892487426995974,0.258530716656597,21.1714605275738,125.683381174543,125.683381174543,418.53,0.618849,0.619816841,0.00025900687197,0.000474019757690103,0.0592479505638733,59.2479505638733,1225.1948081429,121.276082795241,1.54494485050655,3.01264245848777,NA,11.803915159579
"12971",185.1,"Colm",190,30,60,3936.801025,0.293172966,0.295284762,10,79.3206,0.0139269203208414,0.642811550151976,780.580546402736,7.29566869300912,626.238922796353,6.91243465045593,0.0773717795602303,0.222523311305018,21.0606144100494,105.297152049939,105.297152049939,418.53,0.618849,0.619816841,0.00025900687197,0.000483816968417397,0.0589493857957174,58.9493857957174,1212.91240256786,101.655929504916,1.3471867791227,2.42493620242086,NA,14.2288513619999
"21591",194.4,"Colm",200,35,44,3934.366211,0.128317651,0.293172966,10,79.4538,0.0139534122512553,1.34165653495441,803.668424929179,7.50079939209726,626.170643161094,6.89696960486322,0.0906065730600993,0.114055205904474,20.5736772643489,47.8530200633056,47.8530200633056,418.53,0.618849,0.619816841,0.00025900687197,0.00049812722435105,0.0585818085501512,58.5818085501512,1197.89219020653,46.2270338272475,0.647553037536323,0.854770009547946,NA,15.0836213715479
"22561",204,"Colm",210,42,32,3934.366211,0.00025,0.128317651,10,79.5384,0.013970241266859,2.0477811550152,826.996802190274,7.70806686930091,626.101652279635,6.88134346504559,0.103945247521272,0.00025492571954592,16.6164165872232,0.0356518138389168,16.6164165872232,418.53,0.618849,0.619816841,0.00025900687197,0.000512586545450677,0.0582132705073551,58.2132705073551,1182.94514394822,16.0618920970342,0.237100866740425,0.227616832070808,NA,15.3112382036187
"12972",213.6,"Colm",220,27,48,3934.366211,0.003848619,0.00025,10,79.8822,0.0140386559298545,2.23396396396396,832.347759171212,7.832,626.0604,6.872,0.108322962421717,0.00408972828897567,18.3114274166014,0.942568617973621,18.3114274166014,418.53,0.618849,0.619816841,0.00025900687197,0.000515903158702929,0.0579942740569908,57.9942740569908,1174.11658687172,17.7069679494625,0.263807503819356,0.379882805499872,NA,15.6911210091185
"12973",223.2,"Colm",230,27,30,3934.292236,0.020970411,0.003848619,10,80.2377,0.0141094399222243,1.65567567567568,811.282733580682,7.832,626.0604,6.872,0.174190616323757,0.0358344468913609,19.7566551151427,12.2064211793899,12.2064211793899,418.53,0.618849,0.619816841,0.00025900687197,0.000502846701085823,0.0579942740569908,57.9942740569908,1174.11658687172,11.8034877174645,0.166916824641259,0.150225142177133,NA,15.8413461512957
