"","lon_fit","lat_fit","dist","x_pred","w","d","notes","midpoint","length","area"
"62",-78.1982521520378,-0.34405041087091,573.857887784956,620,120,16,"",569.00040569103,9.54101050430245,11.4492126051629
"63",-78.1982061935574,-0.34412041087091,583.224944605709,630,130,45,"slower moving wetland",578.541416195332,9.68887690786801,12.5955399802284
"64",-78.1981621287837,-0.34420041087091,593.235641600692,640,71,13,"",588.2302931032,9.58440133255613,6.80492494611485
"65",-78.1981625916831,-0.34428041087091,602.393747270821,650,20,13,"underground",597.814694435757,9.65966464541896,1.93193292908379
"66",-78.1982137990891,-0.34435041087091,612.55497089153,660,40,38,"syn 13, mostly underground but turbulent when apears",607.474359081176,10.6966558382395,4.2786623352958
"67",-78.1982909198303,-0.34441041087091,623.7870589473,670,60,70,"mostly underground but turbulent when apears",618.171014919415,10.8390229088229,6.50341374529376
"68",-78.1983689880995,-0.34446041087091,634.233016709176,680,140,45,"",629.010037828238,10.4505457151525,14.6307640012136
"69",-78.1984493496495,-0.34451041087091,644.688150377605,690,60,60,"",639.46058354339,10.0690442249835,6.04142653499009
"70",-78.1985227582809,-0.34456041087091,654.371105159143,700,90,35,"",649.529627768374,6.62189361859498,5.95970425673548
"71",-78.1985486700805,-0.34458041087091,657.931937614795,710,80,62,"syn 14",656.151521386969,2.61786756120398,2.09429404896318
"72",-78.1985608616367,-0.34459041087091,659.606840281551,720,40,20,"",658.769388948173,13.7969407092355,5.51877628369421
"73",-78.198697734839,-0.34478041087091,685.525819033266,730,144,45,"",672.566329657408,3.12863290197606,4.50523137884553
"74",-78.1986027069738,-0.34463041087091,665.864106085503,740,65,55,"",675.694962559385,-8.39731114421397,-5.45825224373908
"75",-78.1986201429129,-0.34465041087091,668.731196744838,750,112,38,"estimate x",667.297651415171,1.43354532966748,1.60557076922758
"76",-78.1986201429129,-0.34465041087091,668.731196744838,760,43,10,"",668.731196744838,0,0
"77",-78.1986201429129,-0.34465041087091,668.731196744838,760,92,22,"estimate x",668.731196744838,0,0
"78",-78.1986201429129,-0.34465041087091,668.731196744838,770,130,57,"estimate x",668.731196744838,0,0
"79",-78.1986201429129,-0.34465041087091,668.731196744838,780,109,54,"",668.731196744838,0,0
"80",-78.1986201429129,-0.34465041087091,668.731196744838,790,135,9,"",668.731196744838,0,0
"81",-78.1986201429129,-0.34465041087091,668.731196744838,800,85,24,"",668.731196744838,0,0
"82",-78.1986201429129,-0.34465041087091,668.731196744838,810,115,29,"",668.731196744838,0,0
"83",-78.1986201429129,-0.34465041087091,668.731196744838,820,120,24,"",668.731196744838,0,0
"84",-78.1986201429129,-0.34465041087091,668.731196744838,830,130,24,"",668.731196744838,0,0
"85",-78.1986201429129,-0.34465041087091,668.731196744838,840,124,35,"",668.731196744838,0,0
"86",-78.1986201429129,-0.34465041087091,668.731196744838,850,136,20,"",668.731196744838,0,0
"87",-78.1986201429129,-0.34465041087091,668.731196744838,860,75,20,"",668.731196744838,0,0
"88",-78.1986201429129,-0.34465041087091,668.731196744838,870,164,38,"",668.731196744838,0,0
"89",-78.1986201429129,-0.34465041087091,668.731196744838,880,92,42,"",668.731196744838,0,0
"90",-78.1986201429129,-0.34465041087091,668.731196744838,890,157,8,"",668.731196744838,0,0
"91",-78.1986201429129,-0.34465041087091,668.731196744838,900,182,11,"",668.731196744838,0,0
"92",-78.1986201429129,-0.34465041087091,668.731196744838,910,163,35,"in waterfall",668.731196744838,0,0
"93",-78.1986201429129,-0.34465041087091,668.731196744838,920,102,27,"",668.731196744838,0,0
"94",-78.1986201429129,-0.34465041087091,668.731196744838,921,142,16,"syn 9",668.731196744838,0,0
"95",-78.1986201429129,-0.34465041087091,668.731196744838,930,164,19,"",668.731196744838,0,0
"96",-78.1986201429129,-0.34465041087091,668.731196744838,940,150,22,"",668.731196744838,0,0
"97",-78.1986201429129,-0.34465041087091,668.731196744838,950,165,28,"",668.731196744838,0,0
"98",-78.1986201429129,-0.34465041087091,668.731196744838,960,143,20,"",668.731196744838,0,0
"99",-78.1986201429129,-0.34465041087091,668.731196744838,966,143,23,"syn 8",668.731196744838,0,0
"100",-78.1986201429129,-0.34465041087091,668.731196744838,970,161,10,"",668.731196744838,0,0
"101",-78.1986201429129,-0.34465041087091,668.731196744838,980,112,25,"",668.731196744838,0,0
"102",-78.1986201429129,-0.34465041087091,668.731196744838,990,121,24,"turbulent, rock substrate",668.731196744838,0,0
"103",-78.1986201429129,-0.34465041087091,668.731196744838,1000,100,22,"syn 7",668.731196744838,0,0
"104",-78.1986201429129,-0.34465041087091,668.731196744838,1021,250,85,"syn 6",668.731196744838,0,0
"105",-78.1986201429129,-0.34465041087091,668.731196744838,1030,380,22,"",668.731196744838,0,0
"106",-78.1986201429129,-0.34465041087091,668.731196744838,1040,800,NA,"",668.731196744838,0,0
"107",-78.1986201429129,-0.34465041087091,668.731196744838,1045,1000,NA,"",668.731196744838,0,0
"108",-78.1986201429129,-0.34465041087091,668.731196744838,1050,1000,NA,"",668.731196744838,0,0
"109",-78.1986201429129,-0.34465041087091,668.731196744838,1060,600,100,"",668.731196744838,0,0
"110",-78.1986201429129,-0.34465041087091,668.731196744838,1070,400,11,"",668.731196744838,0,0
"111",-78.1986201429129,-0.34465041087091,668.731196744838,1080,600,50,"",668.731196744838,0,0
"112",-78.1986201429129,-0.34465041087091,668.731196744838,1090,50,48,"",668.731196744838,0,0
