"","lat_fit","lon_fit","lon_dist","lat_dist","dist","lat","lon","ele","time","Date","EOS_no","Flux_ave","Point","adjusted_ppm","ele_fit"
"2858",-0.328845,-78.2006123338897,-78.2006125411922,-0.328846,506.478091678104,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.18839446497
"2859",-0.328844,-78.2006121282151,-78.2006123338897,-0.328845,506.591741227823,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.20887122139
"2860",-0.328843,-78.2006119241682,-78.2006121282151,-0.328844,506.705354411284,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.22927625585
"2861",-0.328842,-78.2006117217491,-78.2006119241682,-0.328843,506.818931509333,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.24960871432
"2862",-0.328841,-78.2006115209576,-78.2006117217491,-0.328842,506.932472800468,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.26986774356
"2863",-0.32884,-78.2006113217936,-78.2006115209576,-0.328841,507.045978566494,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.29005249203
"2864",-0.328839,-78.2006111242568,-78.2006113217936,-0.32884,507.159449089931,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.31016210945
"2865",-0.328838,-78.2006109283472,-78.2006111242568,-0.328839,507.272884652078,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.33019574642
"2866",-0.328837,-78.2006107340644,-78.2006109283472,-0.328838,507.386285536601,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.35015255501
"2867",-0.328836,-78.2006105414082,-78.2006107340644,-0.328837,507.499652028615,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.37003168859
"2868",-0.328835,-78.2006103503783,-78.2006105414082,-0.328836,507.612984412558,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.38983230143
"2869",-0.328834,-78.2006101609744,-78.2006103503783,-0.328835,507.726282973216,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.40955354882
"2870",-0.328833,-78.2006099731962,-78.2006101609744,-0.328834,507.839547998135,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.42919458752
"2871",-0.328832,-78.2006097870432,-78.2006099731962,-0.328833,507.95277977434,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.44875457511
"2872",-0.328831,-78.200609602515,-78.2006097870432,-0.328832,508.065978589193,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.46823267014
"2873",-0.32883,-78.2006094196113,-78.200609602515,-0.328831,508.179144731091,-0.328834298998117,-78.2005867827684,4104.97,2021-12-18 11:32:00,NA,NA,NA,NA,NA,4099.4876280322
"2874",-0.328829,-78.2006092383314,-78.2006094196113,-0.32883,508.292278489982,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.50693982202
"2875",-0.328828,-78.2006090586749,-78.2006092383314,-0.328829,508.405380154509,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.52616720091
"2876",-0.328827,-78.2006088806413,-78.2006090586749,-0.328828,508.518450014583,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.54530933121
"2877",-0.328826,-78.20060870423,-78.2006088806413,-0.328827,508.631488362516,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.56436537642
"2878",-0.328825,-78.2006085294404,-78.20060870423,-0.328826,508.744495489079,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.58333450054
"2879",-0.328824,-78.2006083562718,-78.2006085294404,-0.328825,508.857471685682,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.60221586838
"2880",-0.328823,-78.2006081847235,-78.2006083562718,-0.328824,508.970417246302,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.62100864587
"2881",-0.328822,-78.200608014795,-78.2006081847235,-0.328823,509.083332461414,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.63971199902
"2882",-0.328821,-78.2006078464854,-78.200608014795,-0.328822,509.196217625438,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.65832509515
"2883",-0.32882,-78.2006076797939,-78.2006078464854,-0.328821,509.309073033753,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.67684710234
"2884",-0.328819,-78.2006075147199,-78.2006076797939,-0.32882,509.421898978539,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.6952771887
"2885",-0.328818,-78.2006073512623,-78.2006075147199,-0.328819,509.534695755928,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.71361452358
"2886",-0.328817,-78.2006071894205,-78.2006073512623,-0.328818,509.64746365933,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.73185827641
"2887",-0.328816,-78.2006070291934,-78.2006071894205,-0.328817,509.760202985974,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.75000761774
"2888",-0.328815,-78.2006068705801,-78.2006070291934,-0.328816,509.8729140297,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.76806171804
"2889",-0.328814,-78.2006067135798,-78.2006068705801,-0.328815,509.985597087618,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.78601974878
"2890",-0.328813,-78.2006065581913,-78.2006067135798,-0.328814,510.098252456089,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.80388088173
"2891",-0.328812,-78.2006064044136,-78.2006065581913,-0.328813,510.210880430958,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.82164428897
"2892",-0.328811,-78.2006062522457,-78.2006064044136,-0.328812,510.323481309644,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.83930914321
"2893",-0.32881,-78.2006061016865,-78.2006062522457,-0.328811,510.436055388164,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.85687461729
"2894",-0.328809,-78.2006059527348,-78.2006061016865,-0.32881,510.548602964883,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.87433988474
"2895",-0.328808,-78.2006058053895,-78.2006059527348,-0.328809,510.661124336313,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.89170411911
"2896",-0.328807,-78.2006056596493,-78.2006058053895,-0.328808,510.773619800803,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.90896649447
"2897",-0.328806,-78.2006055155131,-78.2006056596493,-0.328807,510.886089655047,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.92612618494
"2898",-0.328805,-78.2006053729795,-78.2006055155131,-0.328806,510.998534196896,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.94318236498
"2899",-0.328804,-78.2006052320473,-78.2006053729795,-0.328805,511.110953723542,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.96013420919
"2900",-0.328803,-78.2006050927151,-78.2006052320473,-0.328804,511.223348534025,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.9769808926
"2901",-0.328802,-78.2006049549815,-78.2006050927151,-0.328803,511.335718925693,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.99372159014
"2902",-0.328801,-78.2006048188451,-78.2006049549815,-0.328802,511.448065195923,NA,NA,NA,NA,NA,NA,NA,NA,NA,4100.01035547684
"2903",-0.3288,-78.2006046843044,-78.2006048188451,-0.328801,511.560387642706,NA,NA,NA,NA,NA,NA,NA,NA,NA,4100.02688172796
"2904",-0.328799,-78.200604551358,-78.2006046843044,-0.3288,511.672686564177,NA,NA,NA,NA,NA,NA,NA,NA,NA,4100.04329951883
"2905",-0.328798,-78.2006044200044,-78.200604551358,-0.328799,511.784962257324,NA,NA,NA,NA,NA,NA,NA,NA,NA,4100.05960802465
"2906",-0.328797,-78.200604290242,-78.2006044200044,-0.328798,511.897215019797,NA,NA,NA,NA,NA,NA,NA,NA,NA,4100.07580642076
"2907",-0.328796,-78.2006041620692,-78.200604290242,-0.328797,512.009445149165,NA,NA,NA,NA,NA,NA,NA,NA,NA,4100.09189388247
"2908",-0.328795,-78.2006040354843,-78.2006041620692,-0.328796,512.121652942668,NA,NA,NA,NA,NA,NA,NA,NA,NA,4100.10786958503
