,lon_fit,lat_fit,lon_dist,lat_dist,dist_old,dist,lon,lat,ele,time,lat_wypt,lon_wypt,ele_wypt,Date,EOS_no,Flux_ave,Tract,Point,CO2_ppm_ave,adjusted_ppm,DOC,TDN,ele_fit
396,-78.19400207,-0.314764413,-78.19398629,-0.314774413,440.4617735,15.8120659,-78.19399701,-0.314745074,4268.87,7/12/2021 10:52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4269.144606
397,-78.19401829,-0.314754413,-78.19400207,-0.314764413,442.5830515,13.69078787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4269.031786
398,-78.19403497,-0.314744413,-78.19401829,-0.314754413,444.747621,11.52621844,-78.19401998,-0.314717162,4267.91,7/12/2021 10:49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4268.922891
399,-78.19403497,-0.314744413,-78.19401829,-0.314754413,444.747621,11.52621844,-78.19401043,-0.314705763,4270.31,7/12/2021 10:51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4268.922891
400,-78.19403497,-0.314744413,-78.19401829,-0.314754413,444.747621,11.52621844,-78.1940468,-0.314745242,4266.47,7/12/2021 10:55,-0.31474499,-78.19404697,4266.26123,NA,NA,NA,NA,NA,NA,NA,NA,NA,4268.922891
401,-78.19403497,-0.314744413,-78.19401829,-0.314754413,444.747621,11.52621844,-78.19403901,-0.314737698,4268.87,7/12/2021 10:56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4268.922891
402,-78.19405211,-0.314734413,-78.19403497,-0.314744413,446.9570188,9.316820613,-78.19405795,-0.314754043,4269.35,7/12/2021 10:41,NA,NA,NA,7/5/2021,EOS1,0.11,1,1,330.0243056,370.1084994,3.866,0.1229,4268.855705
403,-78.19405211,-0.314734413,-78.19403497,-0.314744413,446.9570188,9.316820613,-78.19405183,-0.314735938,4270.31,7/12/2021 10:42,NA,NA,NA,7/5/2021,EOS1,0.11,1,1,330.0243056,370.1084994,3.866,0.1229,4268.855705
404,-78.19405211,-0.314734413,-78.19403497,-0.314744413,446.9570188,9.316820613,-78.19404035,-0.31470459,4268.39,7/12/2021 10:48,-0.314711966,-78.19404102,4269.350098,7/5/2021,EOS1,0.11,1,1,330.0243056,370.1084994,3.866,0.1229,4268.855705
405,-78.19405211,-0.314734413,-78.19403497,-0.314744413,446.9570188,9.316820613,-78.19403918,-0.314729651,4269.35,7/12/2021 10:49,NA,NA,NA,7/5/2021,EOS1,0.11,1,1,330.0243056,370.1084994,3.866,0.1229,4268.855705
406,-78.19405211,-0.314734413,-78.19403497,-0.314744413,446.9570188,9.316820613,-78.19404404,-0.314734261,4263.58,7/12/2021 10:54,NA,NA,NA,7/5/2021,EOS1,0.11,1,1,330.0243056,370.1084994,3.866,0.1229,4268.855705
407,-78.19406974,-0.314724413,-78.19405211,-0.314734413,449.2127884,7.061050945,-78.19410011,-0.314778769,4269.83,7/12/2021 10:41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4268.832532
408,-78.19406974,-0.314724413,-78.19405211,-0.314734413,449.2127884,7.061050945,-78.19408519,-0.314745996,4266.95,7/12/2021 10:48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4268.832532
409,-78.19406974,-0.314724413,-78.19405211,-0.314734413,449.2127884,7.061050945,-78.19405988,-0.31472479,4273.2,7/12/2021 10:50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4268.832532
410,-78.19406974,-0.314724413,-78.19405211,-0.314734413,449.2127884,7.061050945,-78.19405586,-0.314716324,4274.16,7/12/2021 10:51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4268.832532
411,-78.19406974,-0.314724413,-78.19405211,-0.314734413,449.2127884,7.061050945,-78.19405854,-0.314712217,4266.95,7/12/2021 10:55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4268.832532
412,-78.19406974,-0.314724413,-78.19405211,-0.314734413,449.2127884,7.061050945,-78.19408519,-0.314757228,4268.87,7/12/2021 10:56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4268.832532
413,-78.19408785,-0.314714413,-78.19406974,-0.314724413,451.5164789,4.757360517,-78.19409793,-0.314714145,4266.95,7/12/2021 10:46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4268.840376
