"","lat_fit","lon_fit","lon_dist","lat_dist","dist","lat","lon","ele","time","Date","EOS_no","Flux_ave","Point","VaisalaType","CO2_ppm_ave","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm","ele_fit","slope","ante_slope"
"5623",-0.331115372898483,-78.2031796434089,-78.2031796495704,-0.331115472898483,50.5389047482297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.5903004577,0.111174496484138,0.12400096719935
"5624",-0.331115272898483,-78.2031796372465,-78.2031796434089,-0.331115372898483,50.550057813635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.59154276176,0.111211520936611,0.124018139937384
"5625",-0.331115172898483,-78.2031796310832,-78.2031796372465,-0.331115272898483,50.5612108853234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.59278562552,0.111248519105904,0.124035239021403
"5626",-0.331115072898483,-78.2031796249189,-78.2031796310832,-0.331115172898483,50.5723639631922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.59402904813,0.111285490916178,0.12405226445079
"5627",-0.331114972898483,-78.2031796187537,-78.2031796249189,-0.331115072898483,50.583517047422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.59527302881,0.111322436292127,0.12406921622556
"5628",-0.331114872898483,-78.2031796125876,-78.2031796187537,-0.331114972898483,50.5946701380195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.59651756673,0.111359355159283,0.12408609434579
"5629",-0.331114772898483,-78.2031796064206,-78.2031796125876,-0.331114872898483,50.6058232349744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.59776266107,0.111396247441548,0.124102898810887
"5630",-0.331114672898483,-78.2031796002527,-78.2031796064206,-0.331114772898483,50.6169763381189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.599008311,0.111433113065217,0.12411962962058
"5631",-0.331114572898483,-78.2031795940838,-78.2031796002527,-0.331114672898483,50.6281294476338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.60025451571,0.111469951953795,0.124136286774869
"5632",-0.331114472898483,-78.203179587914,-78.2031795940838,-0.331114572898483,50.6392825634218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.60150127437,0.111506764033294,0.124152870273517
"5633",-0.331114372898483,-78.2031795817433,-78.203179587914,-0.331114472898483,50.6504356856638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.60274858619,0.111543549227808,0.124169380116355
"5634",-0.331114272898483,-78.2031795755717,-78.2031795817433,-0.331114372898483,50.6615888142735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.60399645032,0.111580307462332,0.124185816303335
"5635",-0.331114172898483,-78.2031795693991,-78.2031795755717,-0.331114272898483,50.6727419491702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.60524486595,0.111617038662108,0.124202178833934
"5636",-0.331114072898483,-78.2031795632256,-78.2031795693991,-0.331114172898483,50.6838950906056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.60649383229,0.111653742751453,0.124218467708322
"5637",-0.331113972898483,-78.2031795570511,-78.2031795632256,-0.331114072898483,50.695048238237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.60774334846,0.111690419655535,0.124234682925771
"5638",-0.331113872898483,-78.2031795508758,-78.2031795570511,-0.331113972898483,50.7062013922456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.60899341368,0.111727069299815,0.124250824486361
