"","lat_fit","lon_fit","ele_fit","dist","Date","Point","Flux_ave","CO2_ppm_ave","adjusted_ppm","DOC","TDN","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","VaisalaType","EOS_no"
"361",-0.331294993153572,-78.2032782198561,4065.38135289069,480.17511008997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362",-0.331293993153572,-78.2032767678912,4065.387843845,479.978855010956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363",-0.331292993153572,-78.2032753160017,4065.39437603677,479.782606835446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364",-0.331291993153572,-78.2032738641864,4065.40095017899,479.586365474693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365",-0.331290993153572,-78.2032724124445,4065.40756698465,479.390130837608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366",-0.331289993153572,-78.2032709607753,4065.41422716583,479.193902857612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367",-0.331288993153572,-78.2032695091779,4065.42093143436,478.997681473945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368",-0.331287993153572,-78.2032680576521,4065.4276805012,478.80146664686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369",-0.331286993153572,-78.2032666061975,4065.43447507714,478.605258340089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370",-0.331285993153572,-78.2032651548138,4065.44131587183,478.409056545374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371",-0.331284993153572,-78.2032637035012,4065.44820359487,478.212861253276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372",-0.331283993153572,-78.2032622522596,4065.45513895484,478.016672478861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373",-0.331282993153572,-78.2032608010893,4065.46212266015,477.820490237179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374",-0.331281993153572,-78.2032593499907,4065.4691554182,477.62431456778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375",-0.331280993153572,-78.2032578989642,4065.47623793606,477.4281455137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376",-0.331279993153572,-78.2032564480106,4065.48337091993,477.231983136641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377",-0.331278993153572,-78.2032549971307,4065.49055507552,477.035827506453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378",-0.331277993153572,-78.2032535463252,4065.49779110791,476.839678703488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379",-0.331276993153572,-78.2032520955952,4065.50507972139,476.643536823242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380",-0.331275993153572,-78.203250644942,4065.51242161934,476.447401978706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381",-0.331274993153572,-78.2032491943667,4065.51981750539,476.251274268863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382",-0.331273993153572,-78.2032477438707,4065.52726808123,476.05515383701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383",-0.331272993153572,-78.2032462934557,4065.53477404865,475.859040814763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384",-0.331271993153572,-78.2032448431231,4065.54233610829,475.662935355896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385",-0.331270993153572,-78.2032433928748,4065.54995496046,475.466837614164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386",-0.331269993153572,-78.2032419427125,4065.55763130432,475.270747763144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387",-0.331268993153572,-78.2032404926384,4065.56536583826,475.074665986882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388",-0.331267993153572,-78.2032390426544,4065.57315926034,474.878592467098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389",-0.331266993153572,-78.2032375927627,4065.58101226723,474.682527411139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390",-0.331265993153572,-78.2032361429657,4065.58892555514,474.48647102633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391",-0.331264993153572,-78.2032346932656,4065.59689981939,474.290423530496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"392",-0.331263993153572,-78.2032332436652,4065.60493575429,474.094385155418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393",-0.331262993153572,-78.2032317941668,4065.61303405345,473.898356137538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"394",-0.331261993153572,-78.2032303447732,4065.62119540949,473.702336724928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395",-0.331260993153572,-78.2032288954873,4065.6294205142,473.506327172645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396",-0.331259993153572,-78.2032274463119,4065.63771005845,473.310327745045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397",-0.331258993153572,-78.20322599725,4065.64606473205,473.114338716962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
