Serial Number:,,OM-CP-VOLT101A
7/21/2021,6:00:00 AM,2637.62
7/21/2021,6:15:00 AM,2622.35
7/21/2021,6:30:00 AM,2599.06
7/21/2021,6:45:00 AM,2629.11
7/21/2021,7:00:00 AM,2644.39
7/21/2021,7:15:00 AM,2721.77
7/21/2021,7:30:00 AM,2678.7
7/21/2021,7:45:00 AM,2661.17
7/21/2021,8:00:00 AM,2701.99
7/21/2021,8:15:00 AM,2740.3
7/21/2021,8:30:00 AM,2748.82
7/21/2021,8:45:00 AM,2823.95
7/21/2021,9:00:00 AM,2811.68
7/21/2021,9:15:00 AM,2827.21
7/21/2021,9:30:00 AM,2816.94
7/21/2021,9:45:00 AM,2801.66
7/21/2021,10:00:00 AM,2808.92
7/21/2021,10:15:00 AM,2816.94
7/21/2021,10:30:00 AM,2798.16
7/21/2021,10:45:00 AM,2782.13
7/21/2021,11:00:00 AM,2777.12
7/21/2021,11:15:00 AM,2767.6
7/21/2021,11:30:00 AM,2759.09
7/21/2021,11:45:00 AM,2743.81
7/21/2021,12:00:00 PM,2732.79
7/21/2021,12:15:00 PM,2745.31
7/21/2021,12:30:00 PM,2767.35
7/21/2021,12:45:00 PM,2783.38
7/21/2021,1:00:00 PM,2750.32
7/21/2021,1:15:00 PM,2727.03
7/21/2021,1:30:00 PM,2691.47
7/21/2021,1:45:00 PM,2625.1
7/21/2021,2:00:00 PM,2613.83
7/21/2021,2:15:00 PM,2511.9
7/21/2021,2:30:00 PM,2654.15
7/21/2021,2:45:00 PM,2620.85
7/21/2021,3:00:00 PM,2607.57
7/21/2021,3:15:00 PM,2611.83
7/21/2021,3:30:00 PM,2628.61
7/21/2021,3:45:00 PM,2622.6
7/21/2021,4:00:00 PM,2590.29
7/21/2021,4:15:00 PM,2575.77
7/21/2021,4:30:00 PM,2547.72
7/21/2021,4:45:00 PM,2522.67
7/21/2021,5:00:00 PM,2534.94
7/21/2021,5:15:00 PM,2529.94
7/21/2021,5:30:00 PM,2520.67
7/21/2021,5:45:00 PM,2457.81
7/21/2021,6:00:00 PM,2469.33
7/21/2021,6:15:00 PM,2307.55
7/21/2021,6:30:00 PM,2352.88
7/21/2021,6:45:00 PM,2346.11
7/21/2021,7:00:00 PM,2438.78
7/21/2021,7:15:00 PM,2430.76
7/21/2021,7:30:00 PM,2455.3
7/21/2021,7:45:00 PM,2446.54
7/21/2021,8:00:00 PM,2456.06
7/21/2021,8:15:00 PM,2443.78
7/21/2021,8:30:00 PM,2449.04
7/21/2021,8:45:00 PM,2459.81
7/21/2021,9:00:00 PM,2466.32
7/21/2021,9:15:00 PM,2483.6
7/21/2021,9:30:00 PM,2481.35
7/21/2021,9:45:00 PM,2474.34
7/21/2021,10:00:00 PM,2496.38
7/21/2021,10:15:00 PM,2506.64
7/21/2021,10:30:00 PM,2498.38
7/21/2021,10:45:00 PM,2376.67
7/21/2021,11:00:00 PM,2459.81
7/21/2021,11:15:00 PM,2503.89
7/21/2021,11:30:00 PM,2434.52
7/21/2021,11:45:00 PM,2419.49
7/22/2021,12:00:00 AM,2381.43
7/22/2021,12:15:00 AM,2431.01
7/22/2021,12:30:00 AM,2465.82
7/22/2021,12:45:00 AM,2355.88
7/22/2021,1:00:00 AM,2397.2
7/22/2021,1:15:00 AM,2406.97
7/22/2021,1:30:00 AM,2365.9
7/22/2021,1:45:00 AM,2325.58
7/22/2021,2:00:00 AM,2383.93
7/22/2021,2:15:00 AM,2367.9
7/22/2021,2:30:00 AM,2364.4
7/22/2021,2:45:00 AM,2384.43
7/22/2021,3:00:00 AM,2317.56
7/22/2021,3:15:00 AM,2267.98
7/22/2021,3:30:00 AM,2312.3
7/22/2021,3:45:00 AM,2271.98
7/22/2021,4:00:00 AM,2344.86
7/22/2021,4:15:00 AM,2319.32
7/22/2021,4:30:00 AM,2340.6
7/22/2021,4:45:00 AM,2275.99
7/22/2021,5:00:00 AM,2330.34
7/22/2021,5:15:00 AM,2233.42
7/22/2021,5:30:00 AM,2259.46
7/22/2021,5:45:00 AM,2192.34
7/22/2021,6:00:00 AM,2141.25
7/22/2021,6:15:00 AM,2143.01
7/22/2021,6:30:00 AM,2145.26
7/22/2021,6:45:00 AM,2099.93
7/22/2021,7:00:00 AM,2095.17
7/22/2021,7:15:00 AM,2081.65
7/22/2021,7:30:00 AM,2070.63
7/22/2021,7:45:00 AM,2091.42
7/22/2021,8:00:00 AM,2157.03
7/22/2021,8:15:00 AM,2229.66
7/22/2021,8:30:00 AM,2109.45
7/22/2021,8:45:00 AM,2196.85
7/22/2021,9:00:00 AM,2371.41
7/22/2021,9:15:00 AM,2403.96
7/22/2021,9:30:00 AM,2412.48
7/22/2021,9:45:00 AM,2328.33
7/22/2021,10:00:00 AM,2366.9
7/22/2021,10:15:00 AM,2547.47
7/22/2021,10:30:00 AM,2539.45
7/22/2021,10:45:00 AM,2456.31
7/22/2021,11:00:00 AM,2546.97
7/22/2021,11:15:00 AM,2625.85
7/22/2021,11:30:00 AM,2575.27
7/22/2021,11:45:00 AM,2656.16
7/22/2021,12:00:00 PM,2611.33
7/22/2021,12:15:00 PM,2533.69
7/22/2021,12:30:00 PM,2616.09
7/22/2021,12:45:00 PM,2582.53
7/22/2021,1:00:00 PM,2749.82
7/22/2021,1:15:00 PM,2752.33
7/22/2021,1:30:00 PM,2629.36
7/22/2021,1:45:00 PM,2728.28
7/22/2021,2:00:00 PM,2709.5
7/22/2021,2:15:00 PM,2702.99
7/22/2021,2:30:00 PM,2831.97
7/22/2021,2:45:00 PM,2710
7/22/2021,3:00:00 PM,2815.44
7/22/2021,3:15:00 PM,2541.46
7/22/2021,3:30:00 PM,2823.7
7/22/2021,3:45:00 PM,2580.77
7/22/2021,4:00:00 PM,2616.34
7/22/2021,4:15:00 PM,2570.51
7/22/2021,4:30:00 PM,2785.63
7/22/2021,4:45:00 PM,2750.57
7/22/2021,5:00:00 PM,2715.51
7/22/2021,5:15:00 PM,2605.32
7/22/2021,5:30:00 PM,2617.09
7/22/2021,5:45:00 PM,2652.4
7/22/2021,6:00:00 PM,2563.49
7/22/2021,6:15:00 PM,2630.61
7/22/2021,6:30:00 PM,2616.09
7/22/2021,6:45:00 PM,2612.08
7/22/2021,7:00:00 PM,2405.72
7/22/2021,7:15:00 PM,2468.58
7/22/2021,7:30:00 PM,2419.49
7/22/2021,7:45:00 PM,2358.64
7/22/2021,8:00:00 PM,2521.42
7/22/2021,8:15:00 PM,2415.23
7/22/2021,8:30:00 PM,2579.52
7/22/2021,8:45:00 PM,2561.99
7/22/2021,9:00:00 PM,2487.61
7/22/2021,9:15:00 PM,2497.88
7/22/2021,9:30:00 PM,2513.41
7/22/2021,9:45:00 PM,2437.77
7/22/2021,10:00:00 PM,2555.73
7/22/2021,10:15:00 PM,2510.9
7/22/2021,10:30:00 PM,2382.43
7/22/2021,10:45:00 PM,2380.67
7/22/2021,11:00:00 PM,2337.1
7/22/2021,11:15:00 PM,2398.46
7/22/2021,11:30:00 PM,2567.75
7/22/2021,11:45:00 PM,2515.41
7/23/2021,12:00:00 AM,2607.57
7/23/2021,12:15:00 AM,2499.88
7/23/2021,12:30:00 AM,2598.81
7/23/2021,12:45:00 AM,2570.76
7/23/2021,1:00:00 AM,2551.47
7/23/2021,1:15:00 AM,2531.19
7/23/2021,1:30:00 AM,2575.01
7/23/2021,1:45:00 AM,2608.57
7/23/2021,2:00:00 AM,2601.06
7/23/2021,2:15:00 AM,2601.31
7/23/2021,2:30:00 AM,2627.36
7/23/2021,2:45:00 AM,2642.88
7/23/2021,3:00:00 AM,2646.39
7/23/2021,3:15:00 AM,2640.13
7/23/2021,3:30:00 AM,2651.4
7/23/2021,3:45:00 AM,2643.38
7/23/2021,4:00:00 AM,2607.57
7/23/2021,4:15:00 AM,2563.24
7/23/2021,4:30:00 AM,2619.59
7/23/2021,4:45:00 AM,2568.25
7/23/2021,5:00:00 AM,2574.01
7/23/2021,5:15:00 AM,2539.95
7/23/2021,5:30:00 AM,2536.95
7/23/2021,5:45:00 AM,2548.72
7/23/2021,6:00:00 AM,2561.99
7/23/2021,6:15:00 AM,2580.77
7/23/2021,6:30:00 AM,2550.22
7/23/2021,6:45:00 AM,2557.98
7/23/2021,7:00:00 AM,2581.03
7/23/2021,7:15:00 AM,2503.39
7/23/2021,7:30:00 AM,2578.02
7/23/2021,7:45:00 AM,2561.24
7/23/2021,8:00:00 AM,2524.18
7/23/2021,8:15:00 AM,2599.06
7/23/2021,8:30:00 AM,2616.09
7/23/2021,8:45:00 AM,2605.57
7/23/2021,9:00:00 AM,2646.89
7/23/2021,9:15:00 AM,2600.81
7/23/2021,9:30:00 AM,2596.8
7/23/2021,9:45:00 AM,2520.92
7/23/2021,10:00:00 AM,2616.09
7/23/2021,10:15:00 AM,2651.9
7/23/2021,10:30:00 AM,2659.66
7/23/2021,10:45:00 AM,2501.14
7/23/2021,11:00:00 AM,2589.79
7/23/2021,11:15:00 AM,2728.28
7/23/2021,11:30:00 AM,2739.3
7/23/2021,11:45:00 AM,2625.6
7/23/2021,12:00:00 PM,2554.73
7/23/2021,12:15:00 PM,2503.64
7/23/2021,12:30:00 PM,2551.72
7/23/2021,12:45:00 PM,2494.62
7/23/2021,1:00:00 PM,2432.77
7/23/2021,1:15:00 PM,2470.33
7/23/2021,1:30:00 PM,2464.57
7/23/2021,1:45:00 PM,2432.51
7/23/2021,2:00:00 PM,2439.03
7/23/2021,2:15:00 PM,2497.88
7/23/2021,2:30:00 PM,2453.8
7/23/2021,2:45:00 PM,2418.24
7/23/2021,3:00:00 PM,2422.5
7/23/2021,3:15:00 PM,2338.85
7/23/2021,3:30:00 PM,2390.44
7/23/2021,3:45:00 PM,2520.42
7/23/2021,4:00:00 PM,2383.43
7/23/2021,4:15:00 PM,2426.25
7/23/2021,4:30:00 PM,2379.42
7/23/2021,4:45:00 PM,2390.44
7/23/2021,5:00:00 PM,2453.8
7/23/2021,5:15:00 PM,2447.79
7/23/2021,5:30:00 PM,2435.77
7/23/2021,5:45:00 PM,2397.7
7/23/2021,6:00:00 PM,2362.64
7/23/2021,6:15:00 PM,2333.34
7/23/2021,6:30:00 PM,2267.73
7/23/2021,6:45:00 PM,2365.15
7/23/2021,7:00:00 PM,2325.33
7/23/2021,7:15:00 PM,2328.58
7/23/2021,7:30:00 PM,2354.63
7/23/2021,7:45:00 PM,2354.63
7/23/2021,8:00:00 PM,2348.87
7/23/2021,8:15:00 PM,2338.85
7/23/2021,8:30:00 PM,2329.83
7/23/2021,8:45:00 PM,2337.6
7/23/2021,9:00:00 PM,2310.55
7/23/2021,9:15:00 PM,2394.95
7/23/2021,9:30:00 PM,2382.43
7/23/2021,9:45:00 PM,2485.61
7/23/2021,10:00:00 PM,2528.68
7/23/2021,10:15:00 PM,2593.8
7/23/2021,10:30:00 PM,2406.22
7/23/2021,10:45:00 PM,2520.67
7/23/2021,11:00:00 PM,2467.08
7/23/2021,11:15:00 PM,2508.9
7/23/2021,11:30:00 PM,2624.1
7/23/2021,11:45:00 PM,2508.9
7/24/2021,12:00:00 AM,2471.83
7/24/2021,12:15:00 AM,2488.61
7/24/2021,12:30:00 AM,2451.05
7/24/2021,12:45:00 AM,2505.39
7/24/2021,1:00:00 AM,2717.77
7/24/2021,1:15:00 AM,2504.64
7/24/2021,1:30:00 AM,2486.61
7/24/2021,1:45:00 AM,2452.8
7/24/2021,2:00:00 AM,2406.72
7/24/2021,2:15:00 AM,2467.08
7/24/2021,2:30:00 AM,2405.22
7/24/2021,2:45:00 AM,2419.24
7/24/2021,3:00:00 AM,2450.55
7/24/2021,3:15:00 AM,2463.57
7/24/2021,3:30:00 AM,2450.55
7/24/2021,3:45:00 AM,2489.36
7/24/2021,4:00:00 AM,2480.35
7/24/2021,4:15:00 AM,2535.95
7/24/2021,4:30:00 AM,2601.31
7/24/2021,4:45:00 AM,2517.91
7/24/2021,5:00:00 AM,2512.15
7/24/2021,5:15:00 AM,2519.42
7/24/2021,5:30:00 AM,2466.32
7/24/2021,5:45:00 AM,2439.53
7/24/2021,6:00:00 AM,2586.03
7/24/2021,6:15:00 AM,2342.11
7/24/2021,6:30:00 AM,2409.72
7/24/2021,6:45:00 AM,2496.38
7/24/2021,7:00:00 AM,2335.09
7/24/2021,7:15:00 AM,2497.38
7/24/2021,7:30:00 AM,2436.77
7/24/2021,7:45:00 AM,2462.57
7/24/2021,8:00:00 AM,2464.82
7/24/2021,8:15:00 AM,2259.96
7/24/2021,8:30:00 AM,2402.21
7/24/2021,8:45:00 AM,2579.27
7/24/2021,9:00:00 AM,2623.85
7/24/2021,9:15:00 AM,2492.37
7/24/2021,9:30:00 AM,2339.6
7/24/2021,9:45:00 AM,2548.97
7/24/2021,10:00:00 AM,2430.76
7/24/2021,10:15:00 AM,2363.64
7/24/2021,10:30:00 AM,2549.97
7/24/2021,10:45:00 AM,2491.87
7/24/2021,11:00:00 AM,2323.82
7/24/2021,11:15:00 AM,2532.44
7/24/2021,11:30:00 AM,2309.3
7/24/2021,11:45:00 AM,2310.8
7/24/2021,12:00:00 PM,2291.02
7/24/2021,12:15:00 PM,2293.02
7/24/2021,12:30:00 PM,2349.37
7/24/2021,12:45:00 PM,2451.55
7/24/2021,1:00:00 PM,2440.53
7/24/2021,1:15:00 PM,2499.38
7/24/2021,1:30:00 PM,2436.52
7/24/2021,1:45:00 PM,2494.12
7/24/2021,2:00:00 PM,2485.36
7/24/2021,2:15:00 PM,2510.9
7/24/2021,2:30:00 PM,2473.09
7/24/2021,2:45:00 PM,2490.12
7/24/2021,3:00:00 PM,2482.85
7/24/2021,3:15:00 PM,2789.14
7/24/2021,3:30:00 PM,2697.98
7/24/2021,3:45:00 PM,2736.55
7/24/2021,4:00:00 PM,2662.17
7/24/2021,4:15:00 PM,2734.04
7/24/2021,4:30:00 PM,2617.34
7/24/2021,4:45:00 PM,2711
7/24/2021,5:00:00 PM,2694.72
7/24/2021,5:15:00 PM,2630.11
7/24/2021,5:30:00 PM,2621.1
7/24/2021,5:45:00 PM,2615.09
7/24/2021,6:00:00 PM,2571.76
7/24/2021,6:15:00 PM,2582.78
7/24/2021,6:30:00 PM,2544.96
7/24/2021,6:45:00 PM,2558.49
7/24/2021,7:00:00 PM,2593.05
7/24/2021,7:15:00 PM,2573.51
7/24/2021,7:30:00 PM,2590.79
7/24/2021,7:45:00 PM,2598.56
7/24/2021,8:00:00 PM,2614.33
7/24/2021,8:15:00 PM,2618.84
7/24/2021,8:30:00 PM,2626.1
7/24/2021,8:45:00 PM,2627.36
7/24/2021,9:00:00 PM,2631.36
7/24/2021,9:15:00 PM,2631.36
7/24/2021,9:30:00 PM,2626.35
7/24/2021,9:45:00 PM,2648.64
7/24/2021,10:00:00 PM,2627.61
7/24/2021,10:15:00 PM,2617.09
7/24/2021,10:30:00 PM,2646.14
7/24/2021,10:45:00 PM,2753.58
7/24/2021,11:00:00 PM,2774.36
7/24/2021,11:15:00 PM,2766.35
7/24/2021,11:30:00 PM,2774.61
7/24/2021,11:45:00 PM,2755.33
7/25/2021,12:00:00 AM,2765.85
7/25/2021,12:15:00 AM,2769.36
7/25/2021,12:30:00 AM,2757.33
7/25/2021,12:45:00 AM,2752.08
7/25/2021,1:00:00 AM,2747.32
7/25/2021,1:15:00 AM,2740.3
7/25/2021,1:30:00 AM,2744.06
7/25/2021,1:45:00 AM,2733.29
7/25/2021,2:00:00 AM,2739.05
7/25/2021,2:15:00 AM,2739.55
7/25/2021,2:30:00 AM,2741.31
7/25/2021,2:45:00 AM,2735.8
7/25/2021,3:00:00 AM,2732.54
7/25/2021,3:15:00 AM,2734.04
7/25/2021,3:30:00 AM,2743.06
7/25/2021,3:45:00 AM,2729.29
7/25/2021,4:00:00 AM,2723.02
7/25/2021,4:15:00 AM,2720.27
7/25/2021,4:30:00 AM,2695.73
7/25/2021,4:45:00 AM,2746.82
7/25/2021,5:00:00 AM,2783.88
7/25/2021,5:15:00 AM,2787.64
7/25/2021,5:30:00 AM,2747.82
7/25/2021,5:45:00 AM,2738.8
7/25/2021,6:00:00 AM,2736.3
7/25/2021,6:15:00 AM,2730.54
7/25/2021,6:30:00 AM,2719.52
7/25/2021,6:45:00 AM,2744.06
7/25/2021,7:00:00 AM,2746.57
7/25/2021,7:15:00 AM,2785.38
7/25/2021,7:30:00 AM,2796.15
7/25/2021,7:45:00 AM,2784.13
7/25/2021,8:00:00 AM,2836.47
7/25/2021,8:15:00 AM,2844.49
7/25/2021,8:30:00 AM,2861.52
7/25/2021,8:45:00 AM,2845.74
7/25/2021,9:00:00 AM,2898.08
7/25/2021,9:15:00 AM,2883.81
7/25/2021,9:30:00 AM,2857.01
7/25/2021,9:45:00 AM,2805.92
7/25/2021,10:00:00 AM,2800.66
7/25/2021,10:15:00 AM,2800.66
7/25/2021,10:30:00 AM,2823.95
7/25/2021,10:45:00 AM,2859.01
7/25/2021,11:00:00 AM,2914.11
7/25/2021,11:15:00 AM,3002.01
7/25/2021,11:30:00 AM,3015.29
7/25/2021,11:45:00 AM,2964.95
7/25/2021,12:00:00 PM,3051.35
7/25/2021,12:15:00 PM,3031.57
7/25/2021,12:30:00 PM,3063.87
7/25/2021,12:45:00 PM,3001.76
7/25/2021,1:00:00 PM,2967.7
7/25/2021,1:15:00 PM,2828.46
7/25/2021,1:30:00 PM,2866.03
7/25/2021,1:45:00 PM,2842.73
7/25/2021,2:00:00 PM,2795.65
7/25/2021,2:15:00 PM,2818.44
7/25/2021,2:30:00 PM,2862.02
7/25/2021,2:45:00 PM,2844.24
7/25/2021,3:00:00 PM,2800.91
7/25/2021,3:15:00 PM,2772.36
7/25/2021,3:30:00 PM,2686.71
7/25/2021,3:45:00 PM,2662.92
7/25/2021,4:00:00 PM,2725.03
7/25/2021,4:15:00 PM,2708.25
7/25/2021,4:30:00 PM,2708
7/25/2021,4:45:00 PM,2675.44
7/25/2021,5:00:00 PM,2646.64
7/25/2021,5:15:00 PM,2623.85
7/25/2021,5:30:00 PM,2622.6
7/25/2021,5:45:00 PM,2660.41
7/25/2021,6:00:00 PM,2580.52
7/25/2021,6:15:00 PM,2528.18
7/25/2021,6:30:00 PM,2527.68
7/25/2021,6:45:00 PM,2530.44
7/25/2021,7:00:00 PM,2522.92
7/25/2021,7:15:00 PM,2527.68
7/25/2021,7:30:00 PM,2455.05
7/25/2021,7:45:00 PM,2503.89
7/25/2021,8:00:00 PM,2518.67
7/25/2021,8:15:00 PM,2508.9
7/25/2021,8:30:00 PM,2492.87
7/25/2021,8:45:00 PM,2483.6
7/25/2021,9:00:00 PM,2480.6
7/25/2021,9:15:00 PM,2491.37
7/25/2021,9:30:00 PM,2478.6
7/25/2021,9:45:00 PM,2481.85
7/25/2021,10:00:00 PM,2473.09
7/25/2021,10:15:00 PM,2479.6
7/25/2021,10:30:00 PM,2480.6
7/25/2021,10:45:00 PM,2491.37
7/25/2021,11:00:00 PM,2502.14
7/25/2021,11:15:00 PM,2471.08
7/25/2021,11:30:00 PM,2446.54
7/25/2021,11:45:00 PM,2436.77
7/26/2021,12:00:00 AM,2479.6
7/26/2021,12:15:00 AM,2485.86
7/26/2021,12:30:00 AM,2493.62
7/26/2021,12:45:00 AM,2503.14
7/26/2021,1:00:00 AM,2497.63
7/26/2021,1:15:00 AM,2512.66
7/26/2021,1:30:00 AM,2507.15
7/26/2021,1:45:00 AM,2526.18
7/26/2021,2:00:00 AM,2510.65
7/26/2021,2:15:00 AM,2532.19
7/26/2021,2:30:00 AM,2539.95
7/26/2021,2:45:00 AM,2522.17
7/26/2021,3:00:00 AM,2498.13
7/26/2021,3:15:00 AM,2478.85
7/26/2021,3:30:00 AM,2471.08
7/26/2021,3:45:00 AM,2472.33
7/26/2021,4:00:00 AM,2485.86
7/26/2021,4:15:00 AM,2530.19
7/26/2021,4:30:00 AM,2474.09
7/26/2021,4:45:00 AM,2481.6
7/26/2021,5:00:00 AM,2489.62
7/26/2021,5:15:00 AM,2513.91
7/26/2021,5:30:00 AM,2502.39
7/26/2021,5:45:00 AM,2504.39
7/26/2021,6:00:00 AM,2488.61
7/26/2021,6:15:00 AM,2515.41
7/26/2021,6:30:00 AM,2518.17
7/26/2021,6:45:00 AM,2540.96
7/26/2021,7:00:00 AM,2520.17
7/26/2021,7:15:00 AM,2559.24
7/26/2021,7:30:00 AM,2587.54
7/26/2021,7:45:00 AM,2589.29
7/26/2021,8:00:00 AM,2658.41
7/26/2021,8:15:00 AM,2646.64
7/26/2021,8:30:00 AM,2647.64
7/26/2021,8:45:00 AM,2696.73
7/26/2021,9:00:00 AM,2781.88
7/26/2021,9:15:00 AM,2662.67
7/26/2021,9:30:00 AM,2643.89
7/26/2021,9:45:00 AM,2647.14
7/26/2021,10:00:00 AM,2677.95
7/26/2021,10:15:00 AM,2658.66
7/26/2021,10:30:00 AM,2633.37
7/26/2021,10:45:00 AM,2616.59
7/26/2021,11:00:00 AM,2649.65
7/26/2021,11:15:00 AM,2627.36
7/26/2021,11:30:00 AM,2617.84
7/26/2021,11:45:00 AM,2607.32
7/26/2021,12:00:00 PM,2595.05
7/26/2021,12:15:00 PM,2615.59
7/26/2021,12:30:00 PM,2610.83
7/26/2021,12:45:00 PM,2608.82
7/26/2021,1:00:00 PM,2601.56
7/26/2021,1:15:00 PM,2601.56
7/26/2021,1:30:00 PM,2599.06
7/26/2021,1:45:00 PM,2592.8
7/26/2021,2:00:00 PM,2593.3
7/26/2021,2:15:00 PM,2554.23
7/26/2021,2:30:00 PM,2614.33
7/26/2021,2:45:00 PM,2611.08
7/26/2021,3:00:00 PM,2590.29
7/26/2021,3:15:00 PM,2585.53
7/26/2021,3:30:00 PM,2608.07
7/26/2021,3:45:00 PM,2616.59
7/26/2021,4:00:00 PM,2625.6
7/26/2021,4:15:00 PM,2616.84
7/26/2021,4:30:00 PM,2614.83
7/26/2021,4:45:00 PM,2572.51
7/26/2021,5:00:00 PM,2586.79
7/26/2021,5:15:00 PM,2605.82
7/26/2021,5:30:00 PM,2640.13
7/26/2021,5:45:00 PM,2673.44
7/26/2021,6:00:00 PM,2627.36
7/26/2021,6:15:00 PM,2613.83
7/26/2021,6:30:00 PM,2603.06
7/26/2021,6:45:00 PM,2569
7/26/2021,7:00:00 PM,2564.75
7/26/2021,7:15:00 PM,2564
7/26/2021,7:30:00 PM,2588.29
7/26/2021,7:45:00 PM,2574.01
7/26/2021,8:00:00 PM,2559.49
7/26/2021,8:15:00 PM,2570.51
7/26/2021,8:30:00 PM,2574.26
7/26/2021,8:45:00 PM,2555.98
7/26/2021,9:00:00 PM,2563.75
7/26/2021,9:15:00 PM,2534.44
7/26/2021,9:30:00 PM,2535.95
7/26/2021,9:45:00 PM,2518.17
7/26/2021,10:00:00 PM,2524.93
7/26/2021,10:15:00 PM,2520.92
7/26/2021,10:30:00 PM,2537.45
7/26/2021,10:45:00 PM,2523.67
7/26/2021,11:00:00 PM,2524.43
7/26/2021,11:15:00 PM,2531.19
7/26/2021,11:30:00 PM,2528.93
7/26/2021,11:45:00 PM,2527.43
7/27/2021,12:00:00 AM,2540.7
7/27/2021,12:15:00 AM,2538.45
7/27/2021,12:30:00 AM,2522.42
7/27/2021,12:45:00 AM,2524.68
7/27/2021,1:00:00 AM,2513.16
7/27/2021,1:15:00 AM,2529.69
7/27/2021,1:30:00 AM,2515.41
7/27/2021,1:45:00 AM,2506.64
7/27/2021,2:00:00 AM,2507.15
7/27/2021,2:15:00 AM,2505.64
7/27/2021,2:30:00 AM,2479.35
7/27/2021,2:45:00 AM,2471.58
7/27/2021,3:00:00 AM,2480.6
7/27/2021,3:15:00 AM,2490.37
7/27/2021,3:30:00 AM,2504.64
7/27/2021,3:45:00 AM,2534.69
7/27/2021,4:00:00 AM,2507.15
7/27/2021,4:15:00 AM,2515.91
7/27/2021,4:30:00 AM,2513.66
7/27/2021,4:45:00 AM,2511.15
7/27/2021,5:00:00 AM,2503.89
7/27/2021,5:15:00 AM,2503.89
7/27/2021,5:30:00 AM,2495.63
7/27/2021,5:45:00 AM,2507.65
7/27/2021,6:00:00 AM,2516.66
7/27/2021,6:15:00 AM,2501.14
7/27/2021,6:30:00 AM,2510.9
7/27/2021,6:45:00 AM,2555.48
7/27/2021,7:00:00 AM,2546.46
7/27/2021,7:15:00 AM,2544.96
7/27/2021,7:30:00 AM,2586.28
7/27/2021,7:45:00 AM,2598.31
7/27/2021,8:00:00 AM,2611.33
7/27/2021,8:15:00 AM,2619.34
7/27/2021,8:30:00 AM,2613.08
7/27/2021,8:45:00 AM,2660.66
7/27/2021,9:00:00 AM,2656.41
7/27/2021,9:15:00 AM,2668.18
7/27/2021,9:30:00 AM,2644.14
7/27/2021,9:45:00 AM,2649.4
7/27/2021,10:00:00 AM,2679.95
7/27/2021,10:15:00 AM,2674.19
7/27/2021,10:30:00 AM,2708.25
7/27/2021,10:45:00 AM,2699.23
7/27/2021,11:00:00 AM,2788.39
7/27/2021,11:15:00 AM,2793.15
7/27/2021,11:30:00 AM,2688.46
