dist,pCO2_ppm,Totalflux_umolpers,Wetland,Wetland_4,shape,Totalfux_gpers
118.2412668,NA,33.27025585,COLM,COLM,shape,0.001463891
167.9981451,761.8216451,57.84064855,COLM,COLM,shape,0.002544989
199.4261238,840.9457288,71.27107394,COLM,COLM,shape,0.003135927
222.7128691,NA,87.3977252,COLM,COLM,shape,0.0038455
248.4343576,727.4525297,101.1605256,COLM,COLM,shape,0.004451063
273.7834954,1011.31155,122.5762788,COLM,COLM,shape,0.005393356
339.7689337,1273.369103,267.3156833,COLM,COLM,shape,0.01176189
410.7179604,1055.136888,412.2078324,COLM,COLM,shape,0.018137145
459.3845837,1250.423056,450.9232321,COLM,COLM,shape,0.019840622
504.02078,1019.784908,502.3930585,COLM,COLM,shape,0.022105295
537.1219454,1218.528675,549.479797,COLM,COLM,shape,0.024177111
566.3318418,1313.90785,590.9870345,COLM,COLM,shape,0.02600343
592.7039941,1340.152269,617.084584,COLM,COLM,shape,0.027151722
629.6232609,1318.547174,812.547446,COLM,COLM,shape,0.035752088
723.3304081,1245.17563,1020.140301,COLM,COLM,shape,0.044886173
823.0575077,754.3712352,1040.089409,COLM,COLM,shape,0.045763934
864.6332185,764.1083701,1057.798108,COLM,COLM,shape,0.046543117
892.5422055,819.375235,1099.084628,COLM,COLM,shape,0.048359724
919.9715728,836.6046946,1127.818744,COLM,COLM,shape,0.049624025
941.4173541,1345.388003,1135.560372,COLM,COLM,shape,0.049964656
952.2812739,1257.75926,1182.153872,COLM,COLM,shape,0.05201477
977.1415414,849.2232479,1239.543217,COLM,COLM,shape,0.054539902
1018.083708,1103.597847,1275.243034,COLM,COLM,shape,0.056110694
1052.423932,921.4522092,1315.581871,COLM,COLM,shape,0.057885602
1092.963722,987.1542729,1394.502783,COLM,COLM,shape,0.061358122
1139.702875,979.2442331,1482.584334,COLM,COLM,shape,0.065233711
1192.729233,NA,1570.93731,COLM,COLM,shape,0.069121242
1228.619419,1022.632975,1647.85825,COLM,COLM,shape,0.072505763
NA,NA,NA,COLM,COLM,shape,NA
0,566.4882038,0,Gavi-mainstem,Gavi-mainstem,shape,0
11.07534717,1556.697444,6.807846875,Gavi-mainstem,Gavi-mainstem,shape,0.000299545
36.6251706,788.703259,14.68959332,Gavi-mainstem,Gavi-mainstem,shape,0.000646342
62.69859302,1111.944302,30.85264314,Gavi-mainstem,Gavi-mainstem,shape,0.001357516
86.18775907,619.022998,48.57111674,Gavi-mainstem,Gavi-mainstem,shape,0.002137129
101.8587353,1215.550548,51.93659225,Gavi-mainstem,Gavi-mainstem,shape,0.00228521
116.9020465,921.9810527,55.01176642,Gavi-mainstem,Gavi-mainstem,shape,0.002420518
134.4490996,544.0804486,57.69867476,Gavi-mainstem,Gavi-mainstem,shape,0.002538742
149.8009137,496.5489676,58.9165007,Gavi-mainstem,Gavi-mainstem,shape,0.002592326
168.4286543,NA,63.39134248,Gavi-mainstem,Gavi-mainstem,shape,0.002789219
177.2949778,924.8185183,66.93284244,Gavi-mainstem,Gavi-mainstem,shape,0.002945045
194.7673665,1407.279904,67.17646907,Gavi-mainstem,Gavi-mainstem,shape,0.002955765
214.6367373,789.0074568,67.17646907,Gavi-mainstem,Gavi-mainstem,shape,0.002955765
233.5977453,811.6096596,67.17646907,Gavi-mainstem,Gavi-mainstem,shape,0.002955765
535.8821106,7288.120455,88.72284,Gavi-mainstem,Gavi-mainstem,shape,0.003903805
559.6153466,4817.05608,98.16742612,Gavi-mainstem,Gavi-mainstem,shape,0.004319367
583.6661108,2236.719952,104.0109266,Gavi-mainstem,Gavi-mainstem,shape,0.004576481
599.0576747,1758.938182,107.3988097,Gavi-mainstem,Gavi-mainstem,shape,0.004725548
612.0602457,899.4165224,109.0270852,Gavi-mainstem,Gavi-mainstem,shape,0.004797192
631.6389643,794.6122934,118.8942041,Gavi-mainstem,Gavi-mainstem,shape,0.005231345
654.6379076,760.3268293,133.6123521,Gavi-mainstem,Gavi-mainstem,shape,0.005878943
682.5579212,920.4262494,139.9314618,Gavi-mainstem,Gavi-mainstem,shape,0.006156984
708.6160647,1095.07967,144.2405398,Gavi-mainstem,Gavi-mainstem,shape,0.006346584
744.9217706,859.3492507,168.6644009,Gavi-mainstem,Gavi-mainstem,shape,0.007421234
781.4863935,1183.100985,198.5494243,Gavi-mainstem,Gavi-mainstem,shape,0.008736175
815.4980713,1485.95789,213.0930152,Gavi-mainstem,Gavi-mainstem,shape,0.009376093
849.5911009,1715.493786,220.3672408,Gavi-mainstem,Gavi-mainstem,shape,0.009696159
872.8552778,605.5983241,222.4636487,Gavi-mainstem,Gavi-mainstem,shape,0.009788401
896.3110292,605.5399379,224.0794345,Gavi-mainstem,Gavi-mainstem,shape,0.009859495
920.8132794,583.1253581,231.4868323,Gavi-mainstem,Gavi-mainstem,shape,0.010185421
937.8754913,577.62168,240.0581634,Gavi-mainstem,Gavi-mainstem,shape,0.010562559
964.6469535,537.6402185,244.4359395,Gavi-mainstem,Gavi-mainstem,shape,0.010755181
987.1661338,567.7224979,247.301264,Gavi-mainstem,Gavi-mainstem,shape,0.010881256
1008.317215,466.8255368,262.3033588,Gavi-mainstem,Gavi-mainstem,shape,0.011541348
1040.294675,475.4753116,276.3300025,Gavi-mainstem,Gavi-mainstem,shape,0.01215852
1055.481175,443.9843501,276.4872894,Gavi-mainstem,Gavi-mainstem,shape,0.012165441
-12.29614095,7288.120455,-6.289777535,Gavi-mainstem,Gavilan Outlet,shape,-0.00027675
11.43709505,4817.05608,3.154808585,Gavi-mainstem,Gavilan Outlet,shape,0.000138812
35.48785925,2236.719952,8.99830902,Gavi-mainstem,Gavilan Outlet,shape,0.000395926
50.87942315,1758.938182,12.38619217,Gavi-mainstem,Gavilan Outlet,shape,0.000544992
63.8819942,899.4165224,14.01446767,Gavi-mainstem,Gavilan Outlet,shape,0.000616637
83.46071275,794.6122934,23.88158652,Gavi-mainstem,Gavilan Outlet,shape,0.00105079
106.4596561,760.3268293,38.59973452,Gavi-mainstem,Gavilan Outlet,shape,0.001698388
134.3796697,920.4262494,44.91884427,Gavi-mainstem,Gavilan Outlet,shape,0.001976429
160.4378132,1095.07967,49.22792222,Gavi-mainstem,Gavilan Outlet,shape,0.002166029
196.7435191,859.3492507,73.65178337,Gavi-mainstem,Gavilan Outlet,shape,0.003240678
233.308142,1183.100985,103.5368068,Gavi-mainstem,Gavilan Outlet,shape,0.004555619
