Plot Title: Injection_july20,,,,,,,,
#,"Date Time, GMT-05:00","Low Range, ?S/cm (LGR S/N: 20974616, SEN S/N: 20974616)","Temp, °C (LGR S/N: 20974616, SEN S/N: 20974616)",Coupler Detached (LGR S/N: 20974616),Coupler Attached (LGR S/N: 20974616),Host Connected (LGR S/N: 20974616),Stopped (LGR S/N: 20974616),End Of File (LGR S/N: 20974616)
941,7/20/2021 14:05,8.5,9.02,,,,,
942,7/20/2021 14:05,8.2,9.02,,,,,
943,7/20/2021 14:05,7.9,9,,,,,
944,7/20/2021 14:05,7.8,9.02,,,,,
945,7/20/2021 14:05,7.6,9.02,,,,,
946,7/20/2021 14:05,7.5,9.02,,,,,
947,7/20/2021 14:06,7.3,9.02,,,,,
948,7/20/2021 14:06,7.2,9.02,,,,,
949,7/20/2021 14:06,7.2,9.03,,,,,
950,7/20/2021 14:06,7.1,9.03,,,,,
951,7/20/2021 14:06,7.1,9.04,,,,,
952,7/20/2021 14:06,7,9.03,,,,,
953,7/20/2021 14:07,7,9.03,,,,,
954,7/20/2021 14:07,7,9.04,,,,,
955,7/20/2021 14:07,7,9.04,,,,,
956,7/20/2021 14:07,7.2,9.04,,,,,
957,7/20/2021 14:07,7.7,9.05,,,,,
958,7/20/2021 14:07,8.6,9.05,,,,,
959,7/20/2021 14:08,9.9,9.06,,,,,
960,7/20/2021 14:08,11.3,9.06,,,,,
961,7/20/2021 14:08,12.9,9.06,,,,,
962,7/20/2021 14:08,14.3,9.06,,,,,
963,7/20/2021 14:08,15.8,9.06,,,,,
964,7/20/2021 14:08,17.1,9.06,,,,,
965,7/20/2021 14:09,18.3,9.08,,,,,
966,7/20/2021 14:09,19.4,9.06,,,,,
967,7/20/2021 14:09,20.1,9.08,,,,,
968,7/20/2021 14:09,20.7,9.08,,,,,
969,7/20/2021 14:09,21.2,9.06,,,,,
970,7/20/2021 14:09,21.6,9.08,,,,,
971,7/20/2021 14:10,21.8,9.08,,,,,
972,7/20/2021 14:10,22.1,9.08,,,,,
973,7/20/2021 14:10,22.1,9.08,,,,,
974,7/20/2021 14:10,22.1,9.08,,,,,
975,7/20/2021 14:10,22.1,9.09,,,,,
976,7/20/2021 14:10,22.1,9.08,,,,,
977,7/20/2021 14:11,22.1,9.09,,,,,
978,7/20/2021 14:11,22.1,9.09,,,,,
979,7/20/2021 14:11,22.1,9.1,,,,,
980,7/20/2021 14:11,22.2,9.1,,,,,
981,7/20/2021 14:11,22.4,9.09,,,,,
982,7/20/2021 14:11,22.6,9.1,,,,,
983,7/20/2021 14:12,22.6,9.1,,,,,
984,7/20/2021 14:12,22.7,9.1,,,,,
985,7/20/2021 14:12,22.9,9.1,,,,,
986,7/20/2021 14:12,22.9,9.11,,,,,
987,7/20/2021 14:12,22.9,9.1,,,,,
988,7/20/2021 14:12,22.9,9.1,,,,,
989,7/20/2021 14:13,22.9,9.11,,,,,
990,7/20/2021 14:13,22.9,9.11,,,,,
