"Plot Title: Injection_july20"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20974616, SEN S/N: 20974616)","Temp, °C (LGR S/N: 20974616, SEN S/N: 20974616)","Coupler Detached (LGR S/N: 20974616)","Coupler Attached (LGR S/N: 20974616)","Host Connected (LGR S/N: 20974616)","Stopped (LGR S/N: 20974616)","End Of File (LGR S/N: 20974616)"
158,07/20/21 11:54:30 AM,3.4,10.70,,,,,
159,07/20/21 11:54:40 AM,1.9,10.69,,,,,
160,07/20/21 11:54:50 AM,3.4,10.69,,,,,
161,07/20/21 11:55:00 AM,3.7,10.69,,,,,
162,07/20/21 11:55:10 AM,1.8,10.70,,,,,
163,07/20/21 11:55:20 AM,1.9,10.69,,,,,
164,07/20/21 11:55:30 AM,1.8,10.69,,,,,
165,07/20/21 11:55:40 AM,1.9,10.68,,,,,
166,07/20/21 11:55:50 AM,1.8,10.69,,,,,
167,07/20/21 11:56:00 AM,1.9,10.69,,,,,
168,07/20/21 11:56:10 AM,1.8,10.68,,,,,
169,07/20/21 11:56:20 AM,1.9,10.68,,,,,
170,07/20/21 11:56:30 AM,1.8,10.68,,,,,
171,07/20/21 11:56:40 AM,1.9,10.67,,,,,
172,07/20/21 11:56:50 AM,1.8,10.68,,,,,
173,07/20/21 11:57:00 AM,1.8,10.68,,,,,
174,07/20/21 11:57:10 AM,1.9,10.68,,,,,
175,07/20/21 11:57:20 AM,1.9,10.67,,,,,
176,07/20/21 11:57:30 AM,1.9,10.67,,,,,
177,07/20/21 11:57:40 AM,1.8,10.65,,,,,
178,07/20/21 11:57:50 AM,3.7,10.67,,,,,
179,07/20/21 11:58:00 AM,1.8,10.65,,,,,
180,07/20/21 11:58:10 AM,1.9,10.65,,,,,
181,07/20/21 11:58:20 AM,3.4,10.64,,,,,
182,07/20/21 11:58:30 AM,3.4,10.64,,,,,
183,07/20/21 11:58:40 AM,1.9,10.65,,,,,
184,07/20/21 11:58:50 AM,1.9,10.65,,,,,
185,07/20/21 11:59:00 AM,1.8,10.64,,,,,
186,07/20/21 11:59:10 AM,1.8,10.64,,,,,
187,07/20/21 11:59:20 AM,3.7,10.64,,,,,
188,07/20/21 11:59:30 AM,3.4,10.64,,,,,
189,07/20/21 11:59:40 AM,1.8,10.64,,,,,
190,07/20/21 11:59:50 AM,1.9,10.63,,,,,
191,07/20/21 12:00:00 PM,3.7,10.63,,,,,
192,07/20/21 12:00:10 PM,3.7,10.63,,,,,
193,07/20/21 12:00:20 PM,1.9,10.62,,,,,
194,07/20/21 12:00:30 PM,1.8,10.63,,,,,
195,07/20/21 12:00:40 PM,1.9,10.63,,,,,
196,07/20/21 12:00:50 PM,1.9,10.62,,,,,
197,07/20/21 12:01:00 PM,1.8,10.63,,,,,
198,07/20/21 12:01:10 PM,1.8,10.62,,,,,
199,07/20/21 12:01:20 PM,3.7,10.62,,,,,
200,07/20/21 12:01:30 PM,1.9,10.61,,,,,
201,07/20/21 12:01:40 PM,1.9,10.62,,,,,
202,07/20/21 12:01:50 PM,3.4,10.62,,,,,
203,07/20/21 12:02:00 PM,3.4,10.61,,,,,
204,07/20/21 12:02:10 PM,1.9,10.61,,,,,
205,07/20/21 12:02:20 PM,3.4,10.61,,,,,
206,07/20/21 12:02:30 PM,1.8,10.61,,,,,
207,07/20/21 12:02:40 PM,3.4,10.61,,,,,
208,07/20/21 12:02:50 PM,3.4,10.61,,,,,
209,07/20/21 12:03:00 PM,3.4,10.59,,,,,
210,07/20/21 12:03:10 PM,1.8,10.61,,,,,
211,07/20/21 12:03:20 PM,1.9,10.59,,,,,
212,07/20/21 12:03:30 PM,1.8,10.59,,,,,
213,07/20/21 12:03:40 PM,3.7,10.59,,,,,
214,07/20/21 12:03:50 PM,1.8,10.59,,,,,
215,07/20/21 12:04:00 PM,1.8,10.59,,,,,
216,07/20/21 12:04:10 PM,1.8,10.59,,,,,
217,07/20/21 12:04:20 PM,3.7,10.59,,,,,
218,07/20/21 12:04:30 PM,1.9,10.58,,,,,
219,07/20/21 12:04:40 PM,1.9,10.59,,,,,
220,07/20/21 12:04:50 PM,1.8,10.59,,,,,
221,07/20/21 12:05:00 PM,1.9,10.59,,,,,
222,07/20/21 12:05:10 PM,3.7,10.58,,,,,
223,07/20/21 12:05:20 PM,1.9,10.58,,,,,
224,07/20/21 12:05:30 PM,3.4,10.58,,,,,
225,07/20/21 12:05:40 PM,3.4,10.58,,,,,
226,07/20/21 12:05:50 PM,1.9,10.58,,,,,
227,07/20/21 12:06:00 PM,1.8,10.58,,,,,
228,07/20/21 12:06:10 PM,1.9,10.58,,,,,
229,07/20/21 12:06:20 PM,3.7,10.58,,,,,
230,07/20/21 12:06:30 PM,1.9,10.58,,,,,
231,07/20/21 12:06:40 PM,1.8,10.57,,,,,
232,07/20/21 12:06:50 PM,1.9,10.57,,,,,
233,07/20/21 12:07:00 PM,3.4,10.56,,,,,
234,07/20/21 12:07:10 PM,3.4,10.57,,,,,
235,07/20/21 12:07:20 PM,1.9,10.57,,,,,
236,07/20/21 12:07:30 PM,1.9,10.56,,,,,
237,07/20/21 12:07:40 PM,1.9,10.57,,,,,
238,07/20/21 12:07:50 PM,3.4,10.56,,,,,
239,07/20/21 12:08:00 PM,1.9,10.56,,,,,
240,07/20/21 12:08:10 PM,3.4,10.56,,,,,
241,07/20/21 12:08:20 PM,1.9,10.56,,,,,
242,07/20/21 12:08:30 PM,1.8,10.57,,,,,
243,07/20/21 12:08:40 PM,1.9,10.56,,,,,
244,07/20/21 12:08:50 PM,1.9,10.56,,,,,
